3861 274 -1550; 103 0 -26
3915 247 -1503; 71 -117 -16
3890 314 -1471; 79 -121 -15
3872 318 -1475; 65 -122 -17
3837 272 -1469; 47 -120 -18
3841 267 -1499; 42 -121 -18
3851 251 -1507; 52 -119 -19
3833 304 -1511; 65 -117 -19
3818 289 -1510; 64 -116 -19
3790 277 -1499; 60 -114 -19
3832 326 -1493; 65 -113 -18
3816 306 -1539; 50 -114 -21
3792 303 -1518; 45 -111 -20
3803 331 -1529; 48 -113 -22
3779 318 -1545; 39 -111 -25
3775 332 -1542; 32 -109 -25
3787 318 -1538; 19 -109 -27
3766 309 -1561; 6 -107 -28
3769 255 -1512; 6 -105 -28
3769 274 -1530; 8 -104 -29
3767 273 -1511; 11 -103 -31
3751 256 -1517; 5 -99 -30
3776 261 -1496; 8 -98 -32
3835 306 -1553; 10 -97 -35
3851 292 -1544; 6 -93 -39
3866 300 -1527; -2 -92 -44
3877 316 -1508; -12 -93 -49
3825 296 -1511; -29 -90 -57
3832 288 -1461; -38 -86 -63
3832 304 -1463; -39 -82 -71
3789 298 -1468; -50 -76 -78
3785 259 -1465; -58 -68 -83
3830 303 -1499; -64 -64 -91
3834 305 -1511; -71 -59 -97
3852 252 -1531; -85 -53 -101
3861 227 -1531; -94 -50 -107
3844 181 -1532; -95 -47 -110
3811 137 -1522; -82 -42 -109
3805 149 -1508; -58 -41 -109
3783 171 -1543; -38 -37 -106
3824 208 -1561; -33 -34 -102
3855 162 -1615; -43 -35 -101
3910 181 -1622; -39 -37 -96
3944 229 -1623; -22 -39 -91
3946 218 -1625; -15 -43 -90
3947 245 -1612; -16 -50 -87
3954 169 -1623; -23 -54 -84
3911 165 -1612; -15 -57 -81
3899 185 -1586; 9 -62 -75
3875 185 -1582; 18 -63 -71
3857 182 -1559; 17 -66 -66
3880 190 -1587; 11 -69 -61
3922 211 -1624; 11 -72 -60
3948 226 -1632; 19 -72 -54
3921 175 -1613; 30 -78 -52
3919 195 -1620; 46 -82 -49
3920 219 -1579; 72 -86 -46
3923 230 -1519; 86 -88 -45
3933 229 -1478; 87 -90 -44
3930 176 -1437; 78 -89 -43
3921 87 -1418; 74 -88 -42
3892 50 -1382; 89 -86 -40
3916 78 -1422; 112 -83 -35
3951 71 -1396; 127 -80 -32
3947 24 -1414; 117 -74 -30
3957 -58 -1433; 108 -72 -26
3947 -119 -1438; 117 -69 -22
3936 -177 -1406; 143 -63 -19
3923 -152 -1378; 182 -61 -15
3918 -105 -1371; 213 -60 -13
3900 -75 -1370; 217 -54 -13
3932 -110 -1403; 191 -53 -17
3965 -253 -1436; 144 -52 -25
3976 -339 -1484; 119 -50 -32
3962 -381 -1506; 138 -51 -38
3937 -410 -1490; 172 -49 -45
3942 -448 -1488; 205 -49 -57
3964 -423 -1501; 247 -45 -66
3969 -407 -1486; 277 -42 -82
3918 -466 -1503; 268 -33 -102
3884 -401 -1498; 265 -26 -125
3831 -372 -1465; 264 -18 -154
3849 -385 -1428; 225 -9 -191
3739 -411 -1425; 175 3 -232
3762 -441 -1481; 167 17 -279
3764 -308 -1492; 229 32 -330
3776 -238 -1536; 279 50 -388
3795 -168 -1575; 296 65 -455
3753 5 -1570; 304 80 -526
3768 49 -1539; 279 102 -611
3692 112 -1544; 227 117 -702
3622 168 -1453; 213 140 -793
3657 202 -1461; 206 164 -903
3730 307 -1513; 199 183 -1013
3748 469 -1618; 238 207 -1128
3833 827 -1662; 294 226 -1257
3741 1076 -1533; 314 243 -1386
3620 1041 -1403; 236 269 -1519
3553 1017 -1353; 110 283 -1668
3634 1026 -1495; 40 311 -1801
3700 1100 -1498; 56 340 -1930
3665 1172 -1559; 82 369 -2052
3661 1250 -1563; 118 394 -2176
3628 1468 -1468; 176 412 -2289
3540 1672 -1338; 192 439 -2395
3569 1762 -1299; 113 455 -2504
3417 1871 -1310; 20 483 -2587
3321 1676 -1163; -28 525 -2650
3295 1569 -1186; -77 556 -2708
3169 1618 -1202; -78 602 -2727
3057 1537 -1124; -63 651 -2722
2992 1495 -1141; -45 687 -2704
2909 1650 -1090; 36 729 -2648
2869 1722 -1025; 118 767 -2587
2773 2085 -1023; 167 793 -2516
2823 2269 -1004; 158 823 -2420
2766 2176 -1176; 62 839 -2328
2794 2166 -1296; 35 850 -2217
2735 2353 -1214; 106 859 -2087
2698 2407 -1188; 141 856 -1960
2679 2510 -1167; 149 847 -1820
2709 2562 -1149; 176 831 -1677
2699 2664 -1173; 207 809 -1535
2738 2800 -1152; 246 779 -1390
2778 2830 -1177; 256 746 -1246
2769 2920 -1080; 304 709 -1106
2821 3044 -960; 381 668 -973
2793 3216 -902; 445 627 -845
2817 3252 -829; 485 583 -729
2880 3339 -813; 505 539 -622
2910 3377 -774; 507 493 -519
2892 3367 -730; 492 450 -430
2910 3472 -595; 492 407 -348
2944 3514 -565; 473 362 -276
2949 3530 -559; 433 320 -210
2950 3467 -583; 398 279 -153
2915 3382 -604; 397 237 -104
2914 3344 -566; 432 197 -57
2874 3405 -527; 471 158 -16
2910 3352 -533; 471 117 13
2892 3346 -488; 462 81 41
2853 3408 -448; 460 44 59
2842 3427 -431; 422 8 71
2837 3406 -441; 356 -23 79
2823 3290 -474; 286 -53 77
2770 3224 -487; 255 -80 80
2715 3149 -468; 255 -102 79
2672 3127 -470; 269 -122 75
2660 3110 -445; 282 -139 71
2660 3056 -457; 285 -155 64
2647 3074 -483; 290 -165 57
2633 3124 -498; 288 -175 46
2614 3140 -539; 263 -187 32
2632 3188 -577; 225 -193 18
2638 3187 -560; 189 -203 -1
2611 3165 -561; 154 -203 -20
2588 3148 -579; 134 -205 -37
2614 3048 -585; 120 -204 -54
2610 3009 -632; 113 -196 -67
2613 2984 -670; 115 -189 -75
2584 2990 -714; 114 -182 -84
2671 3011 -739; 83 -177 -91
2714 2912 -865; 17 -168 -97
2724 2896 -877; -1 -164 -101
2787 2887 -891; 17 -161 -104
2809 2931 -896; 36 -155 -107
2815 2982 -887; 41 -152 -110
2841 2952 -894; 26 -146 -116
2832 2945 -924; 21 -140 -122
2844 2931 -917; 27 -134 -125
2849 2925 -935; 32 -130 -129
2846 2961 -911; 38 -124 -134
2880 2959 -895; 33 -120 -139
2869 2952 -884; 10 -113 -142
2902 2954 -877; -3 -106 -145
2904 2952 -880; -21 -100 -149
2934 2905 -901; -43 -95 -152
2941 2878 -879; -48 -87 -153
2933 2864 -854; -36 -80 -151
2886 2853 -861; -31 -70 -149
2906 2881 -825; -17 -61 -141
2909 2915 -783; -3 -50 -134
2926 2984 -743; 6 -43 -127
2938 3010 -715; 2 -35 -120
2943 3017 -690; -15 -25 -115
2927 2985 -703; -42 -18 -107
2944 2969 -708; -61 -14 -101
2938 2996 -700; -60 -10 -94
2934 3014 -724; -61 -6 -85
2944 3057 -733; -63 -6 -76
2940 3101 -709; -68 -5 -66
2926 3087 -730; -77 -6 -58
2959 3093 -727; -74 -7 -46
2936 3101 -738; -62 -9 -35
2977 3118 -706; -52 -12 -24
2962 3124 -730; -55 -17 -9
2923 3104 -698; -76 -21 3
2914 3094 -681; -85 -28 19
2887 3150 -585; -77 -30 37
2853 3187 -528; -81 -34 55
2861 3219 -507; -100 -38 74
2881 3194 -540; -125 -36 94
2866 3178 -566; -144 -40 114
2873 3164 -590; -148 -47 135
2893 3144 -591; -144 -52 157
2902 3212 -566; -141 -60 181
2892 3247 -573; -163 -70 203
2921 3211 -593; -205 -81 224
2906 3165 -619; -231 -95 247
2899 3216 -583; -229 -110 270
2886 3209 -575; -244 -126 293
2857 3172 -563; -272 -140 318
2870 3088 -569; -293 -158 341
2880 3074 -533; -281 -173 370
2860 3096 -531; -257 -190 402
2889 3121 -490; -249 -207 432
2889 3140 -487; -260 -227 463
2888 3075 -495; -288 -245 494
2887 3037 -497; -304 -267 526
2882 3048 -492; -300 -290 558
2881 2992 -502; -309 -314 589
2919 2952 -550; -321 -339 620
2945 2942 -587; -317 -370 652
2981 2948 -581; -303 -400 685
2997 2913 -591; -314 -433 715
2995 2855 -623; -338 -467 746
2971 2761 -609; -347 -500 777
2973 2707 -644; -348 -534 809
3008 2658 -665; -339 -567 842
3015 2662 -652; -330 -596 875
3038 2694 -623; -329 -627 907
3030 2619 -632; -355 -653 938
3016 2522 -666; -395 -677 967
3045 2452 -683; -404 -704 996
3039 2367 -726; -402 -722 1025
3035 2371 -746; -393 -745 1055
3107 2236 -782; -410 -765 1082
3155 2077 -872; -449 -784 1106
3173 2035 -910; -445 -808 1135
3233 1959 -934; -431 -827 1158
3234 1885 -942; -434 -845 1180
3244 1900 -924; -416 -863 1203
3261 1814 -971; -409 -878 1219
3261 1738 -1027; -412 -890 1233
3304 1685 -1059; -385 -902 1246
3342 1567 -1159; -362 -912 1257
3314 1531 -1187; -331 -918 1269
3322 1504 -1216; -305 -926 1278
3378 1498 -1274; -317 -932 1281
3448 1384 -1340; -356 -939 1284
3468 1188 -1414; -394 -942 1283
3454 1116 -1413; -366 -948 1282
3452 1088 -1430; -308 -954 1279
3424 1015 -1429; -273 -954 1275
3451 908 -1447; -251 -954 1272
3494 798 -1473; -217 -955 1267
3525 835 -1482; -176 -951 1263
3531 921 -1432; -158 -944 1258
3534 747 -1516; -218 -936 1240
3518 717 -1421; -245 -927 1228
3494 669 -1448; -247 -916 1213
3458 594 -1459; -265 -897 1196
3439 553 -1471; -259 -877 1183
3475 495 -1566; -265 -856 1163
3496 403 -1626; -281 -835 1144
3534 336 -1656; -266 -813 1126
3514 336 -1663; -248 -791 1106
3475 311 -1648; -246 -763 1084
3458 283 -1654; -246 -739 1060
3493 337 -1701; -255 -714 1032
3539 293 -1795; -288 -688 999
3583 265 -1849; -313 -660 968
3631 226 -1897; -318 -637 931
3649 216 -1935; -306 -614 893
3668 194 -1932; -279 -588 855
3653 184 -1925; -268 -563 811
3634 169 -1947; -275 -538 769
3607 103 -1961; -293 -512 727
3592 35 -1969; -299 -488 683
3607 54 -1982; -287 -461 640
3661 123 -2010; -270 -437 597
3666 62 -2074; -289 -413 552
3681 -23 -2098; -294 -389 510
3626 -56 -2104; -272 -365 468
3594 -63 -2084; -243 -343 430
3528 -125 -2071; -220 -319 394
3493 -90 -2048; -207 -296 362
3535 -31 -2036; -209 -272 329
3541 -48 -2117; -261 -250 296
3538 -176 -2109; -300 -226 268
3557 -148 -2095; -287 -208 238
3580 -125 -2127; -261 -192 209
3608 -144 -2187; -257 -174 182
3615 -190 -2202; -251 -161 156
3636 -185 -2222; -232 -150 126
3611 -100 -2234; -209 -143 101
3650 -131 -2234; -216 -135 73
3651 -191 -2285; -252 -128 44
3663 -182 -2235; -257 -126 21
3654 -225 -2250; -250 -119 -4
3657 -189 -2223; -232 -112 -28
3673 -197 -2186; -199 -109 -46
3648 -184 -2197; -175 -100 -66
3618 -97 -2137; -148 -96 -83
3613 -111 -2122; -135 -88 -98
3619 -152 -2170; -143 -81 -115
3627 -129 -2177; -137 -78 -123
3631 -221 -2233; -140 -72 -132
3602 -196 -2190; -128 -69 -137
3589 -149 -2180; -98 -66 -136
3606 -160 -2170; -82 -61 -139
3627 -40 -2150; -62 -60 -137
3636 -59 -2178; -65 -57 -137
3632 -82 -2175; -80 -52 -136
3642 -51 -2152; -73 -53 -130
3645 -68 -2132; -73 -48 -128
3581 -60 -2117; -69 -44 -119
3630 -50 -2124; -47 -43 -113
3632 32 -2093; -22 -40 -105
3641 10 -2134; -23 -36 -95
3651 -27 -2167; -31 -36 -85
3652 -6 -2142; -16 -35 -75
3631 -4 -2127; -10 -33 -65
3625 -33 -2109; -7 -34 -55
3660 -13 -2094; 15 -36 -45
3666 34 -2068; 42 -36 -38
3692 102 -2031; 61 -38 -32
3677 78 -2015; 53 -39 -28
3666 91 -2007; 40 -43 -26
3651 77 -2026; 32 -46 -27
3677 106 -2032; 25 -51 -29
3692 83 -2042; 20 -57 -28
3692 50 -2040; 30 -61 -29
3701 68 -2014; 52 -69 -34
3702 107 -2014; 71 -75 -37
3684 101 -2030; 71 -81 -40
3681 101 -2028; 67 -86 -45
3655 97 -2032; 58 -92 -48
3622 40 -2030; 41 -96 -51
3609 -22 -2034; 26 -97 -52
3613 -58 -2039; 35 -98 -52
3621 -74 -2054; 54 -96 -48
3642 -78 -2052; 89 -93 -43
3680 13 -2067; 123 -94 -39
3692 11 -2101; 123 -94 -41
3673 11 -2127; 107 -92 -41
3679 -29 -2109; 93 -92 -44
3668 -91 -2129; 73 -91 -49
3647 -224 -2162; 59 -89 -48
3657 -234 -2195; 77 -87 -45
3652 -216 -2177; 108 -84 -42
3643 -202 -2174; 122 -79 -41
3671 -179 -2184; 128 -75 -39
3674 -235 -2226; 130 -68 -43
3686 -215 -2232; 144 -62 -48
3721 -217 -2218; 161 -55 -50
3708 -263 -2206; 155 -48 -61
3702 -298 -2178; 157 -38 -67
3675 -289 -2131; 172 -27 -75
3658 -334 -2123; 183 -13 -85
3633 -344 -2119; 200 2 -93
3630 -361 -2112; 227 19 -101
3611 -345 -2116; 245 38 -109
3637 -392 -2109; 244 56 -120
3617 -422 -2124; 239 72 -134
3617 -387 -2093; 254 89 -145
3624 -409 -2118; 262 105 -161
3619 -403 -2106; 281 121 -177
3646 -352 -2122; 306 137 -194
3631 -404 -2155; 301 150 -218
3653 -397 -2154; 307 162 -240
3628 -382 -2147; 327 172 -263
3615 -370 -2133; 340 184 -289
3588 -363 -2111; 359 190 -314
3563 -353 -2125; 378 199 -345
3552 -293 -2103; 403 207 -372
3549 -335 -2116; 406 215 -403
3534 -307 -2068; 425 220 -434
3526 -304 -2011; 473 225 -465
3543 -168 -1994; 522 231 -502
3545 -98 -1959; 549 235 -540
3563 -39 -1975; 552 240 -583
3580 95 -1998; 549 240 -628
3557 112 -2037; 525 244 -670
3533 30 -2045; 497 246 -715
3517 61 -2026; 506 245 -761
3455 158 -1967; 533 253 -795
3463 170 -1884; 523 259 -834
3447 161 -1839; 493 266 -868
3421 202 -1744; 501 284 -897
3418 180 -1698; 512 298 -931
3430 284 -1709; 533 311 -962
3449 401 -1705; 568 325 -990
3466 420 -1755; 549 336 -1024
3467 453 -1784; 515 343 -1058
3494 499 -1776; 505 348 -1089
3498 545 -1769; 500 350 -1119
3465 542 -1739; 496 353 -1149
3457 584 -1719; 500 354 -1174
3425 572 -1717; 509 355 -1195
3397 488 -1739; 515 358 -1213
3375 466 -1717; 553 354 -1225
3382 518 -1760; 614 345 -1236
3391 683 -1720; 690 337 -1241
3428 859 -1708; 729 322 -1245
3426 972 -1702; 697 309 -1255
3406 955 -1677; 626 293 -1261
3367 886 -1689; 569 277 -1266
3391 861 -1663; 561 258 -1269
3347 836 -1730; 588 248 -1264
3402 956 -1703; 665 229 -1257
3418 1079 -1755; 730 213 -1250
3382 1156 -1716; 750 197 -1240
3363 1239 -1701; 742 175 -1231
3328 1213 -1722; 690 157 -1222
3281 1213 -1660; 649 146 -1206
3267 1249 -1663; 645 128 -1189
3273 1315 -1630; 647 122 -1169
3302 1359 -1664; 641 115 -1148
3347 1434 -1666; 653 109 -1129
3333 1555 -1640; 680 107 -1104
3288 1608 -1587; 678 104 -1082
3279 1645 -1522; 660 104 -1068
3311 1784 -1409; 664 106 -1047
3305 1835 -1424; 625 113 -1035
3364 1908 -1401; 585 119 -1025
3398 2032 -1393; 573 128 -1012
3436 2056 -1424; 537 135 -1006
3406 2097 -1439; 486 146 -998
3410 2049 -1452; 437 156 -990
3407 2023 -1453; 398 165 -983
3396 2084 -1426; 398 174 -968
3409 2108 -1376; 407 184 -953
3374 2125 -1403; 405 193 -939
3344 2166 -1372; 408 202 -918
3342 2162 -1414; 403 210 -901
3324 2188 -1419; 386 216 -882
3329 2191 -1428; 376 219 -859
3318 2246 -1383; 373 224 -837
3294 2361 -1329; 371 228 -812
3294 2345 -1272; 335 229 -790
3259 2325 -1382; 285 235 -771
3278 2353 -1393; 286 237 -746
3297 2342 -1419; 301 236 -721
3315 2414 -1355; 306 237 -698
3330 2444 -1257; 295 235 -674
3335 2389 -1273; 255 234 -651
3366 2379 -1264; 241 230 -625
3365 2420 -1300; 259 229 -600
3381 2452 -1322; 266 221 -577
3410 2466 -1367; 244 214 -553
3394 2475 -1350; 220 204 -531
3389 2453 -1334; 203 195 -508
3367 2441 -1244; 194 187 -485
3330 2437 -1209; 185 177 -463
3323 2442 -1173; 167 167 -441
3328 2356 -1212; 142 160 -419
3295 2356 -1204; 136 154 -393
3309 2335 -1227; 153 146 -370
3336 2372 -1204; 177 139 -347
3310 2498 -1163; 193 129 -325
3328 2484 -1163; 158 120 -307
3286 2423 -1163; 117 111 -290
3251 2404 -1200; 108 102 -271
3252 2427 -1184; 114 93 -257
3248 2451 -1164; 117 84 -242
3247 2440 -1193; 100 72 -229
3257 2430 -1153; 81 60 -218
3246 2420 -1147; 70 53 -206
3221 2423 -1136; 66 43 -196
3200 2402 -1139; 64 36 -186
3187 2394 -1147; 68 29 -176
3190 2373 -1189; 72 18 -164
3187 2370 -1213; 82 8 -154
3195 2406 -1234; 89 -2 -145
3198 2392 -1259; 78 -15 -136
3192 2385 -1241; 73 -25 -128
3166 2387 -1213; 76 -38 -121
3161 2386 -1217; 75 -49 -113
3186 2435 -1170; 71 -61 -108
3168 2401 -1228; 43 -69 -105
3149 2368 -1227; 28 -75 -101
3165 2366 -1220; 38 -82 -96
3118 2344 -1238; 46 -87 -93
3127 2306 -1196; 49 -92 -87
3129 2284 -1245; 53 -96 -82
3152 2287 -1236; 59 -101 -76
3149 2282 -1251; 53 -104 -68
3146 2238 -1259; 46 -108 -63
3155 2265 -1255; 51 -113 -57
3157 2288 -1229; 55 -116 -50
3186 2276 -1248; 43 -119 -47
3163 2281 -1233; 45 -121 -44
3180 2310 -1204; 61 -123 -42
3192 2353 -1213; 64 -122 -42
3216 2334 -1221; 45 -124 -43
3221 2320 -1230; 25 -122 -45
3208 2336 -1245; 18 -122 -47
3199 2328 -1254; 15 -121 -51
3215 2317 -1261; 12 -120 -54
3208 2310 -1265; 14 -120 -58
3224 2312 -1287; 22 -120 -63
3248 2340 -1293; 32 -120 -66
3250 2351 -1295; 31 -119 -69
3241 2350 -1292; 25 -119 -72
3226 2347 -1258; 19 -119 -74
3233 2385 -1234; 13 -117 -77
3249 2390 -1193; 10 -113 -80
3216 2442 -1184; 8 -107 -80
3222 2461 -1165; -1 -102 -79
3245 2424 -1236; -31 -93 -79
3268 2441 -1253; -43 -87 -74
3280 2458 -1254; -37 -82 -66
3297 2511 -1212; -35 -76 -59
3299 2532 -1197; -50 -71 -48
3305 2524 -1177; -66 -63 -37
3310 2516 -1201; -68 -56 -24
3325 2536 -1221; -53 -49 -6
3330 2542 -1224; -41 -43 13
3333 2582 -1205; -43 -38 33
3325 2589 -1184; -58 -34 58
3330 2645 -1160; -74 -30 79
3352 2655 -1117; -99 -26 103
3354 2670 -1125; -127 -21 129
3346 2634 -1095; -146 -22 155
3331 2621 -1125; -156 -23 183
3339 2594 -1157; -162 -24 211
3346 2577 -1142; -163 -31 240
3377 2612 -1133; -160 -39 271
3368 2655 -1116; -174 -49 301
3367 2648 -1109; -206 -59 330
3365 2693 -1067; -232 -74 358
3337 2688 -1046; -257 -88 385
3336 2693 -1068; -290 -101 411
3322 2670 -1035; -315 -118 437
3349 2619 -1055; -348 -134 462
3337 2580 -1073; -382 -151 489
3312 2520 -1048; -413 -169 518
3325 2482 -1058; -438 -186 545
3305 2424 -1071; -457 -202 574
3311 2348 -1073; -470 -219 605
3299 2328 -1071; -470 -236 637
3305 2313 -1042; -470 -253 670
3286 2247 -1071; -493 -268 702
3300 2214 -1059; -504 -285 732
3291 2189 -1054; -511 -299 765
3318 2109 -1052; -521 -314 796
3331 2050 -1083; -527 -328 825
3343 2037 -1061; -522 -344 856
3333 1934 -1081; -535 -357 885
3323 1888 -1081; -536 -373 913
3338 1879 -1069; -511 -388 941
3350 1883 -1073; -506 -401 967
3336 1846 -1092; -526 -413 991
3332 1779 -1103; -554 -426 1013
3359 1679 -1146; -582 -440 1031
3369 1596 -1153; -591 -452 1054
3349 1517 -1172; -572 -465 1076
3347 1501 -1138; -550 -476 1095
3383 1430 -1131; -545 -487 1113
3379 1362 -1133; -546 -495 1131
3397 1377 -1181; -541 -505 1144
3433 1332 -1209; -549 -513 1158
3417 1266 -1247; -564 -524 1169
3434 1156 -1266; -567 -535 1176
3457 1107 -1332; -558 -547 1182
3501 1064 -1348; -545 -558 1187
3503 1007 -1349; -547 -572 1189
3500 946 -1393; -554 -586 1191
3468 871 -1403; -554 -600 1189
3456 839 -1384; -551 -613 1186
3437 823 -1392; -566 -624 1180
3441 711 -1391; -595 -634 1169
3445 696 -1388; -596 -643 1160
3453 686 -1403; -581 -650 1146
3456 606 -1429; -574 -653 1130
3450 619 -1468; -574 -658 1113
3449 547 -1525; -600 -662 1090
3439 468 -1576; -620 -665 1065
3413 392 -1605; -618 -670 1043
3419 306 -1630; -602 -673 1018
3402 292 -1658; -565 -674 993
3395 328 -1633; -530 -676 968
3410 308 -1672; -548 -673 936
3426 205 -1687; -594 -672 904
3418 94 -1732; -632 -671 873
3418 36 -1755; -634 -667 840
3422 38 -1821; -615 -664 806
3440 -17 -1874; -599 -659 772
3456 -19 -1933; -581 -654 736
3512 -109 -1971; -565 -654 698
3544 -162 -2046; -546 -649 658
3560 -171 -2086; -511 -648 617
3586 -144 -2168; -482 -648 577
3596 -177 -2218; -478 -646 537
3576 -218 -2214; -470 -645 494
3582 -217 -2176; -455 -641 451
3542 -216 -2173; -445 -631 411
3528 -277 -2168; -431 -619 368
3568 -230 -2202; -392 -604 325
3589 -140 -2171; -354 -584 286
3531 -198 -2252; -380 -557 246
3534 -273 -2227; -402 -531 206
3551 -190 -2205; -377 -502 170
3552 -127 -2207; -355 -464 139
3534 -152 -2249; -371 -428 110
3533 -214 -2364; -384 -387 86
3526 -243 -2400; -365 -345 68
3504 -241 -2418; -339 -302 52
3512 -253 -2421; -322 -259 42
3559 -221 -2425; -302 -219 31
3587 -158 -2399; -277 -178 23
3625 -147 -2381; -254 -136 15
3659 -111 -2370; -234 -100 3
3653 -92 -2338; -217 -62 -6
3633 -111 -2360; -205 -26 -18
3636 -131 -2355; -183 2 -28
3644 -90 -2313; -159 31 -37
3668 -80 -2297; -152 58 -45
3683 -86 -2277; -152 78 -54
3701 -64 -2263; -151 99 -61
3688 -69 -2241; -144 117 -68
3703 -80 -2223; -134 129 -75
3673 -99 -2229; -122 142 -79
3690 -102 -2222; -96 154 -84
3708 -81 -2184; -69 161 -90
3730 -2 -2144; -40 167 -92
3732 11 -2095; -25 169 -98
3774 34 -2055; -28 170 -104
3734 23 -2046; -44 175 -109
3720 -40 -2052; -54 172 -117
3723 -8 -2027; -42 170 -119
3745 32 -2002; -26 167 -120
3754 47 -1992; -28 163 -123
3732 33 -1973; -39 159 -121
3752 1 -2001; -40 152 -121
3740 -14 -1990; -22 143 -116
3721 -10 -2005; 6 136 -111
3712 26 -1952; 39 126 -105
3681 68 -1933; 58 116 -97
3696 120 -1919; 58 105 -92
3687 130 -1934; 42 89 -88
3690 112 -1913; 29 77 -82
3677 141 -1868; 19 64 -75
3678 160 -1861; 5 51 -70
3661 151 -1890; -14 37 -63
3662 114 -1927; -29 26 -55
3656 100 -1940; -14 15 -46
3648 120 -1945; 16 4 -36
3655 157 -1924; 44 -7 -23
3639 190 -1903; 49 -18 -14
3661 160 -1875; 52 -30 -4
3633 223 -1850; 57 -38 8
3662 230 -1849; 56 -47 15
3668 213 -1880; 34 -55 21
3674 193 -1885; 23 -63 30
3682 149 -1915; 29 -74 32
3697 178 -1906; 44 -83 37
3681 156 -1894; 50 -91 43
3659 132 -1878; 47 -100 46
3648 153 -1861; 54 -110 49
3640 135 -1839; 51 -117 53
3643 148 -1862; 37 -122 56
3626 96 -1861; 23 -126 59
3620 68 -1866; 20 -126 63
3632 99 -1840; 37 -130 67
3626 92 -1827; 54 -131 72
3620 67 -1820; 62 -131 74
3643 116 -1836; 59 -132 76
3648 107 -1880; 51 -132 75
3652 95 -1903; 34 -132 75
3680 116 -1941; 18 -137 74
3698 57 -1992; 1 -139 70
3707 21 -1973; -4 -141 70
3728 -14 -2008; 5 -146 67
3738 -3 -2003; 27 -148 67
3745 -13 -1983; 43 -147 67
3729 -85 -2004; 46 -148 64
3724 -94 -1972; 59 -150 63
3762 -87 -1981; 61 -149 61
3747 -137 -2003; 22 -143 61
