341 -1359 -3774; 44 -92 -26
340 -1335 -3764; 46 -93 -24
311 -1334 -3771; 46 -94 -25
361 -1334 -3796; 46 -95 -24
349 -1339 -3773; 49 -95 -25
348 -1336 -3762; 52 -94 -26
341 -1338 -3768; 51 -95 -26
338 -1362 -3782; 49 -94 -26
333 -1349 -3764; 51 -95 -26
342 -1353 -3758; 48 -96 -27
324 -1332 -3764; 45 -95 -26
353 -1328 -3773; 44 -95 -27
331 -1338 -3768; 49 -95 -28
332 -1319 -3768; 49 -97 -28
325 -1319 -3783; 51 -97 -27
334 -1349 -3775; 55 -98 -26
341 -1338 -3772; 55 -98 -26
345 -1328 -3755; 56 -98 -25
342 -1340 -3772; 60 -99 -26
317 -1351 -3775; 57 -100 -26
312 -1346 -3787; 58 -99 -26
324 -1339 -3780; 60 -97 -25
333 -1344 -3786; 56 -100 -25
341 -1346 -3767; 56 -99 -24
341 -1366 -3777; 59 -96 -25
331 -1364 -3804; 56 -98 -24
340 -1377 -3789; 54 -95 -25
323 -1245 -3535; 71 -90 -26
265 -1283 -3429; 147 -44 -23
212 -1364 -3202; 28 -38 -20
274 -1238 -4197; -175 -12 13
434 -1341 -2579; 48 49 84
413 -1380 -4358; -332 80 109
335 -1405 -3045; -521 -22 133
230 -974 -4189; -793 106 40
329 -1457 -4786; -817 19 81
339 -1315 -3731; -219 59 30
560 -1398 -4580; 94 7 -25
742 -1633 -6718; 124 -247 5
331 469 -1753; 1236 -185 42
24 -319 -2543; 99 369 970
706 -354 -3182; -679 141 1724
466 -640 -4135; -1262 -157 1713
588 -835 -3913; -982 -252 1773
1013 -2354 -5256; -1085 -194 2034
605 -1639 -4098; -526 -18 1829
155 -269 -2674; 981 178 1153
-14 -477 -3833; 259 38 1012
481 676 -4536; -395 -141 1045
-35 2311 -4151; -1154 -166 1539
-222 3274 -3958; -1348 -172 2438
-826 3679 -3792; -2038 -239 3690
-1718 2943 -4481; -2973 -411 5151
-1716 -97 -5518; -3416 -691 6399
-2631 600 -4159; -2949 -715 6784
-2058 -1201 -4944; -2373 -889 6870
-2282 -113 -4207; -2196 -752 6605
-2736 -664 -4431; -3718 -933 6403
-2133 -893 -4484; -2572 -1398 6032
-2756 -960 -4252; 3 -1889 5370
-2840 -778 -4670; 1057 -2232 4723
-2174 -743 -5784; 1239 -2364 4034
-1680 -474 -6453; 1990 -2217 3337
-1944 170 -6170; 3022 -1645 2765
-1579 854 -6634; 3099 -1141 2265
-1730 1283 -6644; 3306 -754 1904
-894 1108 -7066; 3074 -336 1796
-1004 706 -6684; 2602 288 1886
-698 68 -6658; 1371 1102 2077
138 200 -6083; 591 1918 2152
461 69 -5539; 520 2629 2216
213 98 -4527; 1184 3031 2282
371 -793 -3799; 2136 3253 2362
303 -1670 -2791; 2357 3406 2427
81 -1719 -2194; 1868 3525 2491
-780 -2566 -1971; 682 3462 2638
670 -4023 -2822; -359 3150 1859
1344 -3687 -3165; -397 2837 743
1706 -2516 -3716; 32 2546 -282
1906 -1639 -4275; 560 2283 -1087
2891 -1393 -4635; 330 2099 -1557
2292 -1149 -5345; -439 2018 -1812
1548 -723 -5341; -925 2206 -1931
1063 -333 -5584; -2316 2908 -1869
1191 108 -5284; -3384 3700 -1648
1305 487 -4422; -3578 4540 -1257
1597 654 -4051; -3800 5184 -734
1480 738 -3685; -3539 5543 -170
1220 917 -3520; -2771 5742 332
1297 1040 -3034; -1525 5798 742
1071 978 -2033; -420 5769 1109
1967 273 -1711; -625 5676 1504
2500 -713 -1067; -1160 5506 1800
2742 -1362 -794; -513 5266 1839
2509 -1353 -472; 440 4713 1639
2205 -778 -555; 1659 3946 1320
2578 1315 358; 3291 3165 1104
1872 1576 -1391; 4024 2376 1246
2978 1224 -1725; 4867 1792 1436
2740 737 -1435; 6139 1699 2278
2811 -371 -1152; 6462 1755 2927
2541 -641 -1057; 6704 1678 3170
2399 -558 -1039; 6393 1833 3279
2252 -842 -1817; 4768 2170 3510
1672 -1127 -1514; 3388 2542 3855
1340 -1295 157; 3061 2840 4183
989 -1658 1028; 1829 3048 4576
844 -2828 1577; 326 2697 4535
924 -3477 1729; -306 2074 3831
1176 -3740 1465; -558 1384 3610
1561 -3426 599; -84 642 3612
1844 -2748 1128; 1328 -121 3695
1088 -2465 2758; 1955 -769 3845
1658 -3026 1531; 103 -1278 3784
-604 -3136 2438; -514 -1700 3582
-153 -3423 2163; -870 -2153 3475
-561 -5115 -1183; -1063 -2707 3259
1388 -4764 161; 1672 -2875 2808
1230 -4853 -738; 2422 -2910 2496
1610 -4918 -1828; 1476 -2966 2202
359 -5721 -2389; 2015 -2871 1986
238 -6126 -1036; 3924 -2663 1835
-104 -6232 -944; 3879 -2348 1139
741 -6607 -1550; 1953 -1749 279
1312 -6338 -1468; 1023 -1173 -499
1205 -5681 -1749; 544 -763 -1153
1116 -4649 -1593; 346 -416 -1729
1292 -3632 -1542; 134 -90 -2129
1399 -1815 -1232; -126 354 -2333
2426 69 200; -148 846 -2161
2363 951 874; -844 1177 -1436
2193 99 1642; -1833 1229 -81
1376 -2385 1817; -2548 1047 1357
782 -5436 3482; -1925 501 2231
289 -7091 3528; 112 -759 2230
162 -6670 2191; 1214 -2079 1477
430 -5432 1672; 2479 -2991 692
739 -4535 1756; 3337 -3480 269
1342 -4452 330; 2966 -3816 133
1199 -4589 -1531; 2164 -4064 114
1582 -4304 -3519; 2760 -3974 58
1311 -3163 -2104; 5624 -3543 -18
1655 -2837 -2843; 4404 -2642 -109
688 -2860 -1473; 3048 -1507 -23
-2567 -4953 -112; 916 -440 106
2061 -5919 1147; -1113 89 -25
2193 -5778 3122; -262 144 -430
1755 -4825 3295; 407 -577 -731
1966 -3991 1671; 1070 -1684 -727
1300 -4479 -999; 1004 -2478 -447
1749 -4856 -2265; 894 -2438 -229
1685 -4819 -2947; -345 -1763 -407
1860 -3819 -2372; -2014 -646 -771
1685 -3701 -1412; -3439 557 -991
1244 -3730 -322; -4729 1348 -1020
1557 -3307 35; -5278 1692 -1015
1222 -3296 802; -5028 1726 -816
1575 -3416 909; -4485 1490 -601
1604 -3164 1211; -4162 1044 -593
1760 -2676 284; -4293 600 -579
1410 -2843 -49; -4775 411 -515
1597 -3144 -799; -4899 355 -488
1826 -3476 -605; -4671 220 -429
1722 -3477 -574; -4190 -11 -426
1717 -3111 -1100; -4255 -239 -558
1988 -2934 -2991; -5032 -340 -744
1857 -2430 -2760; -5691 -86 -847
2007 -1880 -2364; -5555 266 -880
2330 -2306 -4097; -4849 383 -866
2081 -1859 -1958; -4812 534 -739
2273 -2228 -2308; -3823 567 -706
1973 -2102 -1177; -3500 541 -620
2100 -2240 -1976; -3646 449 -688
1853 -2258 -2914; -3443 392 -796
2617 -1793 -1877; -3361 232 -904
2387 -1808 -3659; -3625 72 -958
2550 -1340 -3055; -3533 79 -855
2585 -871 -3138; -3562 9 -747
2553 -730 -2257; -3424 -129 -524
2138 -1071 -2754; -2885 -393 -274
1961 -1135 -2723; -2640 -561 -148
2059 -1314 -3063; -2632 -606 -167
2040 -1392 -3008; -2276 -609 -258
2201 -1393 -2943; -2009 -620 -408
2175 -874 -3143; -2164 -686 -627
2064 -181 -3386; -2311 -737 -878
2087 470 -3546; -2261 -733 -1039
2076 826 -3499; -1998 -670 -1061
2168 936 -3183; -1533 -619 -943
1882 899 -2880; -1061 -650 -648
2229 574 -3080; -902 -776 -357
2110 325 -3365; -632 -911 -232
1671 98 -3206; -158 -1004 -200
1934 61 -3285; 307 -1099 -208
1818 143 -3367; 497 -1262 -281
1796 216 -3480; 847 -1394 -325
1760 66 -3859; 751 -1486 -292
1725 17 -4340; 295 -1507 -268
1596 201 -4499; 163 -1349 -308
1501 458 -4292; 336 -1057 -328
1653 561 -4125; 340 -760 -249
1669 390 -3781; 540 -586 -93
1831 136 -3783; 830 -566 67
1784 -144 -3973; 955 -624 158
1768 -245 -3992; 1117 -671 153
1588 -195 -4014; 1136 -666 109
1513 -43 -3822; 1125 -620 78
1561 130 -3516; 1235 -604 113
1647 19 -3316; 1517 -702 247
1602 -483 -3562; 1782 -911 418
1529 -1206 -4212; 1975 -1088 502
1452 -1263 -4518; 1920 -1089 397
1326 -1219 -4892; 1580 -899 208
1381 -1196 -4960; 989 -542 13
1024 -748 -4050; 430 -81 -167
1142 -504 -3339; -320 246 -266
1007 -410 -2869; -1006 289 -249
919 -534 -2908; -1345 97 -215
506 -202 -3175; -1137 -236 -215
529 -54 -3989; -1064 -535 -225
341 96 -4693; -1086 -676 -176
-82 131 -4987; -783 -757 -121
-605 14 -5080; -607 -829 -75
-1371 -93 -5034; -382 -968 -65
-1901 -600 -5361; 151 -1283 -132
-2366 -932 -6626; 507 -1786 -346
-2968 -244 -8131; 668 -2499 -871
-3457 1382 -11520; 338 -3336 -1629
-4069 3663 -14136; -744 -3421 -2381
-4746 5245 -14633; -999 -2858 -3126
-3832 10524 -13620; -1161 -2003 -3871
-3913 14689 -12809; -1719 -1289 -3316
-4301 17287 -12189; -2177 -869 -1675
-5200 17754 -11696; -2441 -438 413
-6881 15595 -10594; -2550 33 2851
-8885 11136 -10226; -2817 400 5168
-10342 5638 -9072; -3591 738 6855
-11050 -408 -7388; -4473 941 7717
-10716 -5594 -6151; -5223 821 7694
-9766 -7958 -5096; -5568 355 6873
-8860 -6499 -3704; -5296 -502 5619
-7543 -1370 -4087; -5094 -2014 4372
-7853 3595 -7694; -5479 -4032 3856
-8569 5372 -11907; -6038 -5520 4427
-9644 4116 -15478; -6165 -6078 5632
-10338 1715 -17484; -6044 -5654 6834
-11018 -1488 -17606; -6235 -4805 7722
-11228 -4931 -18111; -6628 -4222 8305
-10903 -7497 -18147; -6737 -3796 8523
-9589 -9169 -16759; -6474 -3165 8461
-8016 -9766 -14421; -5929 -2446 8209
-6129 -8625 -12584; -4994 -1921 7882
-5101 -7519 -10572; -4089 -1455 7705
-4134 -8268 -8603; -3364 -885 7837
-3135 -8819 -7595; -2726 -450 7919
-1902 -7995 -6614; -1981 -69 7636
-578 -6623 -5531; -1239 421 7223
920 -5124 -4172; -570 1057 6997
1433 -3442 -1967; -32 1714 6930
1104 -3498 -189; 209 1931 7107
439 -5283 -1920; -48 1436 7339
132 -6456 -3509; -261 979 7269
-231 -6908 -3744; -57 1196 6829
-63 -7223 -2630; 330 1752 6246
61 -6976 -1335; 810 2180 5530
2 -6599 -301; 1098 2366 4696
75 -5560 921; 929 2475 3848
1695 -5251 2762; 393 2441 3291
2188 -5684 3081; 657 1665 2888
1763 -5777 570; 1120 438 2205
2449 -4871 -1644; 584 -155 1169
2377 -3658 -1968; -152 175 135
2369 -2351 -538; -443 852 -657
3121 174 819; -764 1326 -1148
3150 1546 1655; -742 1189 -968
1677 3060 2825; -279 598 -180
2115 -2768 141; -158 -41 1008
2249 -2895 755; 515 55 1089
2574 -1438 906; 756 289 345
2512 -947 1690; 1098 310 41
2501 -1160 1774; 1234 75 10
2983 -1376 755; 839 -317 -64
3345 -1104 -488; 527 -625 -230
3864 -436 -1445; 445 -670 -411
4001 -36 -2007; 547 -482 -497
4023 621 -1662; 647 -127 -497
4007 955 -485; 714 229 -383
3814 637 180; 796 280 -136
3638 93 390; 775 128 81
3549 -512 214; 657 -69 183
3590 -1105 -1; 518 -191 162
3576 -1381 -283; 399 -248 27
3659 -1099 -363; 327 -284 -191
3773 -727 -523; 276 -324 -376
3958 -324 -727; 257 -375 -470
4053 54 -917; 306 -406 -505
4086 -100 -732; 370 -415 -497
3949 -87 -570; 393 -467 -546
4045 650 -1087; 251 -562 -688
4206 1457 -1412; 82 -517 -644
4174 1114 -1289; 89 -364 -281
4079 305 -1010; 218 -250 100
4023 -94 -806; 261 -221 267
4068 -138 -902; 302 -275 307
4074 -163 -1174; 370 -326 333
4079 -206 -1384; 418 -303 367
4053 -399 -1303; 438 -205 392
4020 -472 -1154; 372 -108 367
4033 -529 -990; 221 -58 306
4033 -655 -838; 67 -67 242
4028 -623 -951; -49 -145 166
4104 -598 -1162; -113 -225 114
4101 -544 -1345; -71 -242 84
4144 -452 -1366; 40 -184 53
4153 -421 -1266; 170 -104 58
4098 -380 -1375; 209 -52 66
4085 -324 -1292; 167 17 59
4047 -346 -1013; 157 94 76
3941 -616 -652; 201 115 113
3877 -839 -510; 177 47 121
3871 -935 -683; 84 -80 67
3908 -862 -947; 43 -187 -18
3905 -806 -1056; 60 -225 -84
3897 -791 -1052; 133 -206 -130
3855 -652 -913; 243 -175 -179
3890 -516 -900; 339 -163 -221
4012 -265 -954; 413 -174 -252
4112 -75 -1209; 419 -191 -261
4129 99 -1276; 391 -175 -249
4118 155 -1191; 347 -116 -220
4038 198 -982; 339 -59 -175
3996 187 -815; 332 -50 -125
4009 -12 -882; 285 -96 -57
3964 -173 -969; 282 -150 -8
3984 -360 -1025; 282 -172 12
3984 -501 -1102; 276 -166 6
3953 -475 -1011; 293 -137 -35
3947 -407 -824; 273 -104 -83
3965 -318 -762; 218 -112 -107
3944 -256 -884; 183 -165 -115
3999 -264 -1018; 132 -207 -109
4003 -365 -1144; 95 -218 -95
4028 -380 -1201; 54 -199 -105
4037 -192 -1199; 32 -156 -138
4046 -93 -1178; 49 -115 -138
3942 -194 -1001; 115 -72 -94
3914 -368 -869; 179 -46 -50
3889 -352 -801; 210 -57 -37
3889 -350 -784; 216 -85 -43
3875 -460 -835; 186 -123 -43
3879 -436 -875; 171 -148 -64
3927 -421 -882; 187 -160 -87
3915 -400 -916; 197 -174 -102
3973 -296 -1054; 201 -194 -123
4032 -299 -1218; 174 -210 -135
4024 -286 -1233; 148 -195 -142
4037 -194 -1204; 125 -166 -159
3984 57 -1129; 95 -146 -184
4040 218 -1121; 68 -125 -189
4018 183 -1128; 68 -100 -137
3939 -61 -1071; 104 -71 -61
3895 -257 -969; 140 -54 -15
3942 -306 -948; 170 -67 -14
3959 -246 -977; 221 -94 -33
3953 -214 -981; 254 -116 -48
3976 -96 -1005; 244 -124 -62
4002 -12 -1007; 222 -123 -72
4035 94 -1099; 121 -129 -65
3990 155 -1155; 74 -133 -36
4018 147 -1158; 75 -111 7
3948 -43 -1109; 114 -77 60
3912 -273 -966; 164 -57 104
3891 -429 -839; 190 -60 102
3882 -508 -887; 149 -98 66
3880 -479 -963; 139 -144 21
3917 -342 -993; 126 -160 -29
3925 -276 -976; 145 -154 -55
3950 -300 -934; 155 -167 -54
3954 -339 -982; 121 -191 -59
3996 -222 -1140; 97 -224 -80
4012 -151 -1260; 106 -236 -87
4017 -63 -1293; 125 -205 -77
4005 35 -1167; 142 -157 -58
3992 13 -1068; 176 -131 -23
3998 -63 -1127; 191 -135 13
3935 -143 -1144; 152 -130 33
3936 -204 -1093; 119 -110 36
3888 -240 -1018; 96 -97 38
3874 -250 -1021; 47 -99 36
3905 -294 -983; 9 -102 36
3896 -339 -950; 47 -113 35
3943 -354 -1062; 72 -140 24
3989 -270 -1157; 76 -151 -1
4010 -138 -1191; 101 -140 -11
3964 -77 -1093; 121 -120 5
3954 -114 -1017; 102 -105 42
3955 -200 -1037; 71 -112 68
3912 -278 -1112; 38 -126 85
3880 -424 -1125; 9 -122 101
3823 -521 -1029; 6 -96 91
3878 -558 -920; 14 -82 64
3877 -489 -966; 40 -103 40
3920 -472 -1089; 55 -136 22
3941 -372 -1149; 70 -142 22
3945 -395 -1076; 104 -123 32
3928 -467 -1052; 83 -107 47
3890 -503 -986; 80 -109 43
3910 -503 -957; 45 -120 23
3942 -443 -1052; -23 -142 -2
3956 -417 -1188; -67 -164 -15
3994 -418 -1264; -61 -153 -6
3986 -436 -1241; 1 -128 13
3950 -499 -1130; 32 -105 32
3977 -525 -1083; 38 -97 42
3945 -540 -1074; 50 -98 38
3926 -616 -1037; 53 -95 34
3898 -695 -1030; 61 -92 22
3904 -697 -1044; 71 -98 -5
3923 -568 -1093; 79 -106 -37
3940 -469 -1137; 78 -104 -54
3952 -444 -1126; 85 -97 -49
3966 -361 -1036; 107 -81 -36
3931 -322 -1035; 105 -72 -19
3904 -412 -1059; 101 -78 8
3894 -569 -1064; 103 -75 28
3882 -584 -993; 110 -69 23
3863 -560 -932; 125 -64 -1
3865 -614 -892; 119 -74 -12
3884 -565 -949; 95 -107 -29
3937 -457 -1113; 61 -138 -57
3940 -412 -1180; 63 -144 -64
3947 -472 -1163; 64 -123 -54
3929 -429 -1084; 76 -96 -50
3907 -406 -994; 108 -87 -39
3922 -448 -1038; 116 -99 -17
3886 -570 -1127; 118 -111 3
3891 -501 -1108; 147 -96 4
3874 -441 -974; 198 -78 1
3823 -542 -885; 203 -81 14
3836 -642 -900; 173 -105 11
3838 -600 -992; 134 -133 -18
3866 -472 -1063; 126 -151 -59
3905 -420 -1096; 125 -143 -79
3924 -366 -1102; 155 -126 -73
3876 -453 -1043; 193 -110 -49
3858 -570 -927; 186 -95 -32
3861 -543 -964; 132 -113 -52
3906 -425 -1052; 87 -145 -79
3917 -406 -1037; 97 -147 -80
3935 -496 -994; 105 -134 -66
3893 -523 -1025; 98 -148 -72
3935 -547 -1086; 59 -160 -94
3965 -471 -1101; 18 -161 -131
4031 -244 -1171; -17 -159 -161
4041 -161 -1292; -21 -149 -140
3995 -284 -1195; 63 -119 -72
3967 -424 -1137; 107 -89 -16
3923 -468 -1078; 127 -78 0
3872 -542 -1030; 120 -76 0
3839 -538 -909; 118 -76 -12
3800 -633 -818; 116 -84 -23
3827 -734 -898; 78 -125 -44
3844 -675 -1032; 48 -162 -90
3927 -442 -1129; 42 -174 -136
3985 -338 -1195; 58 -173 -138
3985 -360 -1191; 93 -162 -102
3969 -474 -1174; 97 -144 -71
3930 -492 -1122; 86 -132 -71
3935 -503 -1104; 74 -131 -88
3893 -496 -1100; 34 -134 -112
3897 -423 -1123; -2 -134 -134
3953 -319 -1162; 8 -138 -135
3986 -287 -1241; 47 -138 -115
3968 -359 -1253; 73 -125 -84
3947 -389 -1176; 97 -93 -71
3922 -373 -1178; 106 -81 -75
3924 -236 -1167; 129 -89 -82
3916 -190 -1110; 137 -82 -73
3921 -228 -984; 153 -77 -47
3869 -289 -980; 131 -95 -28
3854 -337 -1082; 62 -126 -30
3878 -337 -1107; 15 -136 -46
3906 -212 -1146; 9 -136 -61
3921 -128 -1220; 39 -136 -59
3942 -78 -1178; 62 -118 -30
3938 -77 -1110; 111 -98 10
3937 -216 -1088; 132 -95 54
3924 -374 -1103; 136 -107 85
3930 -445 -1145; 80 -115 76
3877 -490 -1110; 37 -114 54
3908 -497 -1106; -2 -111 33
3949 -434 -1154; -31 -128 16
3956 -405 -1212; -24 -137 5
3952 -338 -1214; -8 -124 1
3943 -391 -1118; 46 -114 18
3913 -556 -1127; 62 -119 45
3924 -564 -1157; 57 -127 34
3950 -503 -1191; 50 -132 -3
3935 -453 -1197; 47 -129 -19
4028 -318 -1239; 71 -121 -22
3923 -350 -1227; 89 -104 1
3909 -467 -1237; 65 -89 27
3859 -552 -1112; 68 -68 33
3839 -612 -1012; 67 -61 16
3843 -609 -1024; 22 -86 -11
3856 -585 -1094; -18 -121 -41
3900 -483 -1200; -31 -144 -59
3886 -349 -1239; -19 -138 -65
3906 -439 -1224; -5 -119 -36
3879 -576 -1189; 10 -105 -6
3905 -579 -1219; 37 -95 -11
3860 -560 -1153; 90 -77 -33
-650 2076 -3522; 628 740 -1192
-604 2067 -3460; 973 786 -1347
-403 1503 -3827; 1260 927 -1377
-578 2008 -2788; 2363 949 -1646
-1032 2639 -2585; 3990 897 -1553
-726 4252 -2866; 5499 405 -1392
-780 2071 -3478; 5793 -403 -825
-941 1212 -3744; 5121 -445 -412
-741 1276 -3791; 4840 -519 -358
-1117 675 -4455; 4454 -592 -380
-1237 920 -3985; 3893 -401 -489
-999 544 -4233; 3436 -437 -426
-1000 429 -3956; 2853 -364 -219
-972 384 -4251; 2179 -334 -85
-245 148 -4116; 1286 -199 42
-697 59 -3903; 732 -32 46
-588 69 -4132; 959 94 123
-448 -55 -4222; 1172 296 128
-676 -304 -4175; 476 1103 251
-773 -30 -4681; -40 2058 233
-3062 841 -3849; -648 2400 120
131 405 -3691; -2832 1050 -65
-764 412 -3480; -2464 246 -117
-506 890 -3948; -441 231 -131
-669 482 -3827; 452 -197 -141
-527 594 -4069; 1050 -258 -100
-576 296 -3984; 1180 -325 -71
-580 265 -4110; 1125 -317 -52
-595 155 -4164; 902 -265 -39
-567 132 -4095; 313 -136 -17
-572 164 -3998; -115 -30 1
-557 169 -3989; -83 -34 0
-569 201 -4006; 95 -76 -6
-585 229 -3970; 134 -74 -8
-579 219 -4004; 81 -48 -7
-571 197 -4013; 37 -27 -7
-560 141 -4051; 58 -34 -8
-580 130 -4085; 105 -74 -7
-574 118 -4089; 173 -101 -8
-592 141 -4051; 207 -119 -9
-601 166 -3995; 197 -118 -8
-603 172 -4004; 173 -107 -8
-567 162 -3988; 161 -103 -8
-584 145 -3978; 194 -98 -10
-587 141 -4005; 259 -108 -12
-603 85 -4060; 327 -123 -14
-623 53 -4057; 381 -135 -16
-610 33 -4067; 380 -131 -15
-604 37 -4034; 280 -109 -13
-601 48 -4015; 120 -75 -7
-605 55 -4022; -22 -44 -2
-597 57 -4003; -89 -27 0
-601 47 -4041; -81 -30 0
-597 43 -4041; -30 -38 -2
-617 36 -4032; 11 -44 -4
-607 45 -4038; 15 -46 -3
-597 62 -4045; -2 -45 -3
-610 68 -4020; -5 -47 -3
-608 62 -4035; 12 -54 -2
-594 60 -4034; 44 -61 -4
-630 53 -4038; 86 -69 -6
-597 36 -4043; 123 -75 -7
-591 43 -4049; 142 -81 -7
-606 29 -4049; 146 -82 -7
-611 25 -4052; 108 -75 -6
-623 28 -4025; 8 -51 -3
-626 22 -4061; 16 -54 -3
-607 38 -4049; 22 -59 -4
-600 35 -4034; 11 -52 -4
-603 24 -4031; 14 -53 -3
-612 36 -4037; 12 -51 -4
-603 32 -4035; 13 -53 -3
-609 26 -4038; 11 -51 -3
-603 18 -4037; 10 -50 -4
-612 14 -4040; 14 -54 -4
-604 33 -4054; 16 -54 -4
-615 30 -4053; 16 -53 -4
-607 29 -4047; 16 -53 -4
-605 31 -4038; 16 -54 -4
-608 42 -4046; 17 -55 -4
-610 26 -4058; 16 -55 -3
-601 30 -4043; 15 -55 -3
-610 45 -4036; 16 -54 -4
-607 14 -4038; 14 -54 -3
-601 22 -4048; 13 -53 -4
-619 14 -4043; 15 -54 -3
-595 40 -4048; 15 -54 -3
-606 23 -4042; 15 -54 -3
-602 32 -4042; 15 -55 -4
-602 32 -4045; 15 -55 -3
-610 36 -4048; 15 -55 -4
-611 22 -4053; 14 -53 -3
-603 21 -4051; 15 -54 -3
-597 29 -4039; 15 -54 -2
-601 19 -4048; 13 -55 -2
-617 35 -4037; 14 -55 -2
-597 24 -4046; 13 -55 -3
-602 29 -4055; 15 -55 -2
-601 24 -4049; 14 -54 -3
-594 37 -4051; 15 -52 -4
-598 21 -4055; 15 -51 -4
-598 29 -4042; 14 -51 -3
-588 30 -4055; 14 -52 -3
-596 39 -4042; 16 -55 -3
-607 36 -4031; 17 -54 -3
-599 22 -4042; 16 -55 -3
-604 24 -4052; 15 -54 -3
-599 24 -4052; 17 -55 -4
-590 27 -4042; 17 -56 -4
-605 38 -4060; 16 -57 -4
-610 38 -4056; 17 -57 -3
-596 41 -4042; 17 -55 -4
-608 25 -4037; 17 -54 -4
-614 35 -4040; 16 -54 -4
-599 38 -4050; 15 -52 -4
-604 30 -4044; 14 -53 -3
-593 52 -4057; 16 -54 -3
-593 51 -4039; 15 -54 -3
-608 29 -4048; 16 -56 -3
-597 43 -4050; 17 -56 -3
-615 50 -4036; 17 -56 -2
-591 24 -4037; 17 -57 -2
-597 44 -4040; 17 -57 -2
-600 19 -4038; 18 -57 -3
-589 33 -4040; 17 -56 -3
-626 24 -4063; 18 -56 -5
-612 21 -4037; 18 -57 -4
-600 36 -4040; 17 -56 -4
-613 32 -4042; 17 -56 -2
-601 35 -4049; 16 -56 -2
-609 27 -4052; 15 -56 -3
-610 23 -4030; 16 -56 -3
-604 13 -4041; 17 -57 -5
-612 11 -4050; 16 -57 -4
-604 19 -4048; 15 -56 -3
-593 34 -4047; 16 -56 -3
-611 15 -4030; 15 -56 -3
-624 28 -4051; 14 -56 -4
-604 30 -4053; 14 -57 -4
-612 34 -4044; 13 -56 -4
-613 32 -4053; 13 -56 -3
-598 28 -4037; 14 -55 -3
-601 21 -4050; 14 -56 -4
-601 23 -4046; 13 -56 -5
-597 28 -4044; 13 -57 -4
-612 19 -4043; 14 -58 -4
-614 29 -4058; 14 -57 -3
-585 28 -4046; 14 -57 -3
-611 32 -4053; 14 -56 -3
-599 18 -4048; 12 -55 -3
-614 30 -4047; 10 -55 -3
-600 28 -4049; 11 -55 -3
-604 39 -4045; 11 -55 -4
-593 31 -4054; 11 -55 -3
-598 21 -4034; 13 -54 -2
-595 39 -4043; 14 -54 -3
-611 23 -4047; 16 -56 -3
-596 49 -4042; 16 -56 -4
-600 30 -4044; 15 -55 -4
-593 21 -4037; 16 -56 -4
-606 28 -4051; 17 -58 -4
-604 38 -4042; 16 -55 -3
-615 12 -4034; 15 -56 -4
-613 43 -4049; 15 -55 -3
-618 32 -4039; 15 -54 -3
-599 26 -4044; 16 -56 -4
-604 30 -4047; 14 -54 -3
-616 28 -4035; 16 -55 -5
-587 26 -4054; 16 -56 -4
-595 35 -4055; 16 -54 -2
-591 27 -4029; 18 -53 -2
-598 20 -4041; 17 -54 -3
-595 29 -4049; 17 -55 -3
-612 35 -4034; 17 -55 -4
-599 16 -4034; 17 -55 -4
