-1741 -86 -3648; -8 -63 -65
-1979 211 -3382; 31 -205 10
-1749 195 -3434; -160 -202 6
-2013 163 -3395; -303 -202 2
-2050 233 -3441; -389 -200 0
-1914 168 -3468; -480 -200 -8
-1906 281 -3594; -558 -202 -13
-2062 321 -3706; -557 -206 -17
-1882 299 -3742; -447 -207 -25
-1956 311 -3671; -272 -213 -33
-2051 349 -3609; -109 -220 -37
-2008 335 -3557; -37 -225 -48
-1933 352 -3570; -82 -231 -57
-1982 340 -3461; -188 -238 -66
-2114 449 -3565; -296 -240 -77
-2017 409 -3482; -385 -246 -87
-2139 501 -3489; -444 -250 -94
-2143 433 -3484; -479 -247 -106
-2061 479 -3528; -485 -246 -116
-2096 377 -3497; -420 -247 -124
-2199 433 -3592; -322 -243 -134
-2006 385 -3544; -241 -240 -140
-2071 412 -3542; -163 -239 -146
-2160 406 -3520; -105 -234 -150
-2071 387 -3403; -75 -230 -152
-2060 392 -3412; -96 -225 -157
-2186 442 -3394; -170 -219 -157
-2133 448 -3394; -248 -214 -158
-2135 493 -3443; -300 -204 -161
-2161 492 -3445; -326 -196 -161
-2099 484 -3434; -309 -188 -161
-2078 435 -3464; -268 -181 -161
-2158 480 -3435; -242 -173 -158
-2231 545 -3508; -211 -165 -156
-2056 533 -3430; -148 -161 -156
-2178 514 -3433; -104 -156 -150
-2242 504 -3443; -86 -149 -148
-1996 447 -3377; -82 -148 -147
-2107 516 -3378; -102 -143 -142
-2157 532 -3410; -156 -139 -141
-2033 536 -3379; -214 -138 -139
-2063 634 -3361; -248 -134 -135
-2247 570 -3357; -270 -132 -136
-2123 627 -3390; -299 -130 -131
-2140 615 -3441; -322 -128 -125
-2169 612 -3414; -295 -127 -124
-2211 657 -3402; -259 -130 -116
-2050 665 -3363; -264 -132 -106
-2213 686 -3297; -302 -132 -101
-2236 726 -3250; -354 -137 -91
-2235 741 -3399; -405 -136 -82
-2204 753 -3438; -387 -135 -76
-2277 742 -3368; -285 -144 -67
-2085 729 -3354; -210 -147 -56
-2202 773 -3394; -223 -153 -51
-2255 946 -3467; -301 -163 -43
-2128 918 -3489; -391 -173 -40
-2044 985 -3467; -455 -187 -43
-1970 1040 -3410; -538 -204 -41
-1832 1152 -3456; -665 -216 -40
-1911 1170 -3449; -800 -228 -47
-2056 1460 -3646; -990 -248 -56
-1796 1641 -3786; -1155 -263 -67
-1660 1805 -3860; -1298 -282 -78
-1738 2016 -3947; -1517 -298 -88
-2060 2187 -3633; -1797 -315 -101
-2083 2479 -3637; -2349 -322 -128
-2070 3074 -3955; -3246 -325 -169
-1396 3642 -4365; -4046 -314 -219
-621 4172 -5176; -4549 -274 -279
-711 4121 -5301; -4470 -215 -339
-1263 3562 -4252; -3887 -126 -368
-1498 3238 -3721; -3408 37 -348
-2014 3132 -3286; -3291 243 -288
-2222 2761 -2900; -3360 459 -231
-1776 2459 -2850; -3476 752 -132
-1885 2211 -2086; -3291 1091 80
-2011 2068 -1052; -3000 1441 353
-1828 1673 -756; -2855 1847 646
-1425 1585 -552; -2711 2241 1006
-1272 1570 -658; -2430 2617 1407
-1347 1369 -1174; -2089 2991 1812
-1397 1268 -1619; -1773 3285 2214
-1213 1411 -1915; -1473 3502 2588
-864 1726 -2813; -1205 3678 2919
-63 1811 -3454; -1010 3761 3202
508 1666 -4012; -613 3779 3427
191 2053 -4085; 27 3758 3591
-158 2300 -3991; 626 3684 3672
402 2213 -3663; 771 3545 3672
924 1715 -4065; 724 3402 3630
1122 1725 -5469; 794 3284 3627
874 1915 -5742; 1034 3046 3597
864 1986 -5366; 1424 2725 3461
1123 2412 -6060; 1591 2444 3312
1096 2815 -6078; 1629 2121 3167
953 2210 -5171; 1798 1746 2964
706 2115 -5250; 1757 1390 2755
488 1911 -4987; 1750 1021 2559
229 1672 -4514; 1894 632 2354
59 1676 -4917; 1993 258 2148
122 1221 -5063; 2181 -112 1953
-161 1112 -4851; 2540 -501 1754
-418 1318 -4811; 2942 -880 1561
-271 1558 -4732; 3250 -1229 1381
-364 1945 -4391; 3448 -1583 1202
-298 2214 -4123; 3463 -1930 1020
-232 2790 -3610; 3405 -2244 846
-152 2987 -2834; 3368 -2538 657
-78 3120 -2266; 3139 -2832 464
-134 3476 -2402; 2689 -3081 277
35 3078 -2489; 2279 -3297 55
-135 3173 -2460; 1948 -3529 -158
-174 3355 -2844; 1666 -3728 -362
84 3031 -3353; 1453 -3909 -586
-28 3253 -3381; 1272 -4096 -769
-261 3228 -3156; 1156 -4246 -946
163 3045 -3047; 893 -4395 -1148
190 3743 -2717; 353 -4536 -1308
251 3616 -2974; -296 -4601 -1489
545 3028 -3110; -940 -4639 -1713
-210 3193 -2773; -1276 -4641 -1878
-554 2927 -3384; -1284 -4577 -2029
-314 2339 -3273; -1232 -4549 -2178
-201 2251 -3520; -1284 -4471 -2238
-437 2144 -4589; -1543 -4290 -2239
-1020 2274 -4764; -1737 -4129 -2225
-1462 1910 -4379; -1729 -3966 -2207
-1597 1532 -4243; -1808 -3743 -2151
-2165 1633 -3846; -1884 -3514 -2029
-2142 1430 -3843; -1908 -3284 -1913
-1710 1640 -3890; -1898 -3036 -1782
-1513 2194 -4175; -1962 -2767 -1595
-1251 2378 -4664; -2341 -2483 -1428
-1826 2392 -4921; -2776 -2198 -1273
-2274 2192 -4512; -2984 -1940 -1114
-1972 1777 -4697; -3139 -1671 -967
-2343 1985 -4941; -2983 -1386 -785
-2714 2378 -4863; -2588 -1143 -589
-1976 2316 -4942; -2317 -908 -432
-1914 2967 -4991; -2129 -647 -232
-2624 3244 -4859; -2041 -412 -40
-2524 2645 -4712; -2174 -228 65
-2119 2494 -4688; -2235 -20 225
-2622 2315 -4602; -2117 196 421
-2678 1829 -4259; -1827 392 585
-2302 1910 -3787; -1504 595 776
-2240 1843 -3553; -1271 824 987
-2081 1555 -2892; -1026 1074 1198
-1797 1408 -1906; -830 1325 1430
-1882 856 -1323; -880 1623 1662
-2310 772 -1169; -997 1951 1930
-2014 470 -531; -1007 2243 2215
-1670 525 -577; -1055 2561 2497
-1901 845 -1044; -1059 2887 2797
-1483 1243 -948; -1022 3128 3083
-402 1078 -1305; -951 3365 3318
-626 1649 -1739; -746 3608 3563
-1428 2298 -1653; -340 3779 3779
-1403 2423 -1288; 79 3915 3894
-1227 2630 -1708; 131 4047 3966
-868 2849 -2078; -7 4142 4039
-871 2613 -2464; -136 4163 4061
-425 2067 -3022; -323 4122 4055
287 1967 -3828; -430 4024 4072
540 2021 -4571; -213 3866 4035
874 2288 -5079; 498 3672 3927
1045 3305 -5432; 1391 3465 3791
1051 4242 -4921; 1680 3207 3571
1059 3618 -4720; 1323 2901 3266
1213 3043 -4876; 543 2512 2991
235 2600 -4944; 290 2080 2750
39 1733 -5066; 525 1644 2473
-615 1202 -4597; 922 1166 2204
-666 1466 -4632; 1359 704 1977
-457 1029 -4634; 1684 257 1727
-44 1557 -4951; 1923 -216 1490
38 1599 -4748; 2108 -689 1283
368 1573 -4815; 2203 -1145 1069
689 1636 -4771; 2224 -1598 885
530 1682 -4695; 2327 -2036 725
885 2047 -4855; 2499 -2447 563
653 1461 -4569; 2759 -2837 438
846 1609 -4507; 3092 -3198 350
948 1951 -4602; 3311 -3530 267
954 2599 -4282; 3246 -3815 192
1224 3204 -3997; 2845 -4055 84
1533 3801 -3479; 2388 -4282 -56
1341 4443 -3165; 2089 -4470 -229
1288 4839 -2969; 1840 -4597 -456
1044 4374 -2236; 1568 -4694 -705
715 4460 -2116; 1151 -4765 -959
601 4536 -2515; 625 -4789 -1258
831 4174 -2433; 232 -4770 -1551
419 4637 -2456; -154 -4751 -1823
79 4581 -2654; -602 -4717 -2126
516 4511 -2958; -1195 -4655 -2435
329 4399 -2885; -1807 -4556 -2703
-354 3909 -3245; -2062 -4414 -2953
-433 2683 -2752; -2313 -4277 -3168
-1208 2494 -3242; -2623 -4056 -3253
-1931 2594 -3509; -3019 -3817 -3285
-1801 1830 -4003; -3381 -3617 -3400
-1749 1772 -4741; -3445 -3391 -3416
-1707 2036 -5282; -3185 -3180 -3261
-1233 910 -5445; -2791 -3008 -3111
-1568 758 -5925; -2413 -2822 -2855
-2426 719 -5756; -2280 -2694 -2530
-2231 290 -5539; -2395 -2593 -2269
-1880 1167 -5487; -2489 -2448 -1932
-2209 2034 -4808; -2593 -2322 -1576
-1804 1595 -4542; -2800 -2162 -1295
-1696 1316 -4565; -2728 -1937 -942
-2331 758 -4396; -2317 -1711 -575
-2493 575 -4013; -1757 -1475 -252
-2389 1572 -3453; -1460 -1212 123
-2588 2148 -2954; -1647 -904 475
-2731 2241 -2635; -2059 -552 762
-2503 2499 -2017; -2431 -214 1043
-2196 2419 -1974; -2592 144 1291
-2362 2296 -1895; -2306 522 1530
-2459 2468 -1180; -1788 860 1781
-2141 2498 -1275; -1506 1245 1983
-1984 2364 -1350; -1519 1636 2173
-2044 2383 -1184; -1607 1967 2397
-1824 1826 -1367; -1667 2300 2594
-1953 1514 -1543; -1433 2622 2801
-2028 1930 -1122; -728 2909 3044
-2207 1979 -989; 79 3210 3225
-1560 2215 -845; 361 3480 3360
-1131 2175 -1376; 197 3733 3497
-1325 1896 -2388; 108 3955 3630
-1555 1884 -2765; 217 4078 3746
-1516 1718 -2901; 560 4138 3842
-1204 1835 -3191; 712 4172 3916
-795 1887 -3691; 743 4161 3973
-87 1815 -3818; 833 4084 4012
-31 2031 -4082; 850 3977 4057
-294 2322 -4843; 790 3850 4080
79 2329 -5155; 597 3608 4043
721 2162 -5484; 659 3290 3957
1137 2733 -6062; 910 2959 3867
1231 2988 -6055; 1211 2595 3761
1202 2522 -5508; 1625 2201 3573
1028 2814 -5278; 1892 1788 3351
532 2701 -4799; 1947 1364 3118
464 2685 -4779; 1946 923 2841
266 2161 -4256; 1924 469 2554
63 2323 -4447; 1881 29 2294
4 1928 -4134; 1855 -419 2020
-42 2016 -4020; 1963 -865 1738
71 2350 -4124; 2205 -1287 1475
73 2379 -4088; 2475 -1708 1203
279 2722 -4120; 2740 -2091 947
539 2776 -3495; 2917 -2443 705
702 3096 -3199; 2849 -2790 456
276 3588 -3053; 2564 -3099 220
191 3657 -2466; 2199 -3372 -32
263 3627 -2251; 1803 -3618 -304
119 3761 -2192; 1393 -3832 -571
-172 3713 -2327; 1019 -4006 -854
5 3672 -2681; 665 -4158 -1142
-45 3598 -2946; 411 -4296 -1419
-159 3510 -3437; 209 -4412 -1700
269 3497 -3797; 128 -4511 -1961
159 3758 -3493; 154 -4600 -2189
143 3611 -2919; 28 -4663 -2413
150 3816 -2852; -501 -4706 -2621
-265 3774 -2983; -1095 -4704 -2821
-563 3150 -2839; -1471 -4643 -3026
-695 2694 -2956; -1729 -4546 -3179
-902 2327 -3076; -1854 -4425 -3277
-1187 1594 -3114; -1878 -4256 -3328
-1760 1663 -3710; -1987 -4050 -3309
-1876 1200 -4013; -2001 -3854 -3239
-1952 534 -4023; -1847 -3659 -3123
-2308 651 -4646; -1845 -3420 -2918
-2285 479 -4816; -1863 -3184 -2684
-2028 775 -4625; -1847 -2968 -2420
-1828 1415 -4533; -1748 -2692 -2091
-2071 1665 -4364; -1655 -2405 -1783
-1866 1653 -3933; -1597 -2139 -1507
-1650 1795 -4028; -1498 -1830 -1171
-2154 1840 -3825; -1283 -1498 -820
-2584 1955 -3536; -1283 -1180 -527
-2618 2352 -3879; -1678 -843 -235
-2549 2667 -4021; -2013 -512 69
-2416 2553 -3649; -2082 -190 368
-2461 2507 -3841; -2126 139 655
-2362 2339 -3841; -1989 443 943
-2174 2442 -3609; -1594 738 1258
-2387 2412 -3148; -1252 1037 1560
-2303 2567 -2611; -1253 1314 1833
-1971 2700 -2591; -1578 1585 2105
-2137 2782 -2607; -1859 1839 2379
-1962 2612 -2518; -1931 2053 2642
-1445 2331 -2546; -1769 2255 2884
-1358 2157 -2610; -1349 2450 3119
-1365 2137 -2453; -796 2637 3335
-1686 2224 -2220; -288 2836 3501
-1949 2550 -2215; 72 3046 3627
-2374 3064 -1809; 287 3208 3717
-1905 2981 -1650; 154 3334 3757
-813 2680 -2397; -200 3470 3771
-745 2527 -2804; -206 3541 3812
-594 2280 -2912; 129 3555 3823
-884 2473 -2962; 576 3584 3793
-1286 2823 -2966; 734 3563 3741
-917 2766 -3067; 437 3473 3651
-702 2319 -3871; 210 3365 3529
-445 2234 -4402; 327 3200 3430
-395 2338 -4306; 771 2990 3310
-449 2291 -4177; 1146 2753 3105
-221 2347 -4190; 1216 2492 2893
-409 2626 -4208; 1282 2198 2689
-1185 2543 -4203; 1475 1877 2438
-1470 2165 -3872; 1574 1533 2171
-1296 1476 -3418; 1471 1156 1903
-1394 1363 -3568; 1291 779 1653
-1841 1203 -3246; 1370 426 1436
-1769 1211 -2972; 1556 48 1216
-1915 1960 -3201; 1635 -338 988
-1589 2277 -3303; 1626 -708 766
-1076 2117 -3414; 1497 -1094 533
-1142 1965 -3789; 1464 -1465 307
-1047 1880 -3892; 1630 -1840 79
-945 2165 -3914; 1830 -2227 -140
-742 2643 -3800; 1991 -2577 -353
-722 2975 -3328; 1983 -2924 -588
-691 3647 -3085; 1773 -3248 -832
-319 4321 -3065; 1570 -3535 -1095
-185 4685 -2754; 1282 -3816 -1389
132 5139 -2699; 864 -4052 -1706
368 4952 -3064; 260 -4230 -2064
217 5039 -3227; -295 -4384 -2424
239 4293 -3181; -517 -4480 -2779
107 3936 -3260; -616 -4525 -3112
-154 4138 -2886; -621 -4543 -3378
-307 4160 -3141; -620 -4504 -3600
-393 4062 -2941; -746 -4457 -3776
-662 3473 -2797; -798 -4389 -3900
-470 2457 -2406; -1085 -4269 -3947
-815 2604 -2971; -1824 -4071 -3921
-1250 2402 -3770; -2540 -3812 -3911
-1601 1912 -4216; -2815 -3559 -3881
-1777 1816 -5033; -2751 -3300 -3740
-1572 1518 -5390; -2324 -3044 -3529
-1562 1281 -5640; -1626 -2792 -3222
-1522 1390 -5362; -960 -2558 -2809
-1911 1493 -4883; -645 -2351 -2400
-1769 1975 -5088; -872 -2112 -1985
-1803 2559 -5124; -1211 -1862 -1544
-1801 2896 -4806; -1401 -1607 -1121
-1672 2697 -4815; -1482 -1305 -725
-1634 2588 -4898; -1333 -993 -298
-1999 2511 -4620; -863 -695 133
-2192 2332 -4354; -405 -379 527
-2226 2478 -3711; -203 -46 935
-2358 2798 -3243; -433 300 1330
-2111 2728 -3133; -939 671 1673
-1899 2797 -2836; -1302 1029 2013
-1839 2909 -2512; -1353 1367 2346
-1802 2893 -2298; -1202 1711 2624
-1504 3099 -2018; -1011 2041 2889
-1357 3333 -1917; -918 2365 3134
-1532 3233 -2167; -896 2684 3324
-1533 3244 -2250; -851 2950 3502
-1263 3012 -2452; -668 3192 3662
-1840 2997 -2745; -364 3424 3786
-1704 2869 -2568; 130 3618 3880
-1688 3222 -2242; 607 3793 3936
-1463 3547 -1865; 772 3953 3935
-944 3551 -1937; 492 4072 3910
-185 2792 -2440; 103 4148 3880
-33 2450 -3072; -72 4152 3867
-305 2314 -3703; 35 4086 3850
-905 2226 -4098; 348 3989 3797
-932 2253 -3938; 751 3852 3703
-414 2542 -3689; 979 3664 3572
542 2895 -4130; 807 3448 3406
490 2992 -4636; 730 3182 3209
-172 3064 -4639; 784 2851 3006
-509 2318 -4386; 935 2489 2766
-1384 1601 -4152; 1114 2100 2487
-1694 1265 -4024; 1294 1689 2225
-1586 1132 -4250; 1467 1263 1961
-1652 1506 -4361; 1664 835 1695
-1642 1432 -4488; 1783 381 1429
-1663 1135 -3470; 1833 -85 1158
-1414 1850 -4199; 1867 -528 901
-1893 1763 -3673; 1978 -968 652
-1757 2016 -3805; 2151 -1415 404
-1262 1940 -3757; 2289 -1855 154
-1012 1922 -4007; 2358 -2274 -77
-998 2072 -4012; 2500 -2678 -285
-941 2371 -3824; 2663 -3072 -495
-286 3022 -3760; 2748 -3452 -698
55 3554 -3552; 2730 -3815 -892
393 3967 -3378; 2592 -4150 -1095
624 4241 -3540; 2289 -4461 -1307
516 4190 -3569; 1812 -4746 -1511
377 3988 -3222; 1327 -4977 -1738
398 3781 -2940; 771 -5166 -1987
668 4333 -3147; 156 -5315 -2225
905 4687 -3084; -335 -5393 -2474
785 4874 -3214; -736 -5400 -2743
81 4910 -2778; -1205 -5379 -2991
-42 4192 -2966; -1690 -5304 -3233
-591 3016 -2357; -2143 -5155 -3439
-1283 2642 -2312; -2652 -4931 -3554
-1498 2561 -2540; -3481 -4657 -3678
-1507 2196 -3054; -3966 -4329 -3796
-2067 2843 -4092; -3929 -3952 -3769
-2149 2300 -4842; -3669 -3630 -3687
-2268 1046 -5548; -3309 -3333 -3534
-2556 838 -5991; -2640 -3041 -3215
-2343 540 -5747; -2205 -2824 -2853
-2032 463 -5158; -2051 -2612 -2479
-2203 1590 -3959; -2203 -2361 -1989
-2313 1962 -2974; -2730 -2061 -1528
-2061 2199 -3208; -3584 -1710 -1110
-2055 2286 -3704; -3966 -1348 -635
-1920 1887 -4068; -3545 -1014 -167
-2036 1962 -4337; -2811 -679 297
-2372 2500 -4456; -2195 -348 782
-2395 3004 -4058; -1783 -33 1242
-2347 3203 -3756; -1651 271 1652
-2306 3131 -3442; -1575 566 2021
-2273 2805 -2810; -1246 849 2365
-2147 2678 -2648; -844 1148 2667
-1939 2585 -2145; -391 1444 2935
-1718 2950 -1934; -31 1742 3185
-1619 3075 -1981; 64 2052 3403
-1726 3037 -2092; 62 2338 3583
-1853 2961 -2216; 170 2598 3747
-1943 2757 -2372; 486 2836 3881
-1859 2799 -2345; 869 3042 3987
-1765 2753 -2627; 1164 3241 4053
-1304 2649 -2940; 1360 3440 4080
-1311 2711 -2761; 1633 3580 4090
-1281 2880 -2435; 1807 3676 4061
-1298 2866 -2774; 1598 3768 3980
-1211 2827 -3247; 1172 3789 3883
-294 2591 -3414; 1036 3720 3777
297 2574 -3681; 1295 3622 3670
184 3072 -4492; 1445 3525 3555
319 3016 -4829; 1478 3367 3387
348 2652 -4410; 1430 3118 3172
-98 2909 -4769; 1233 2851 2978
-459 2666 -4789; 1139 2548 2773
-467 2118 -4244; 1297 2186 2516
-451 1754 -3879; 1544 1831 2256
-778 2172 -3612; 1703 1486 2019
-1005 2254 -3107; 1764 1115 1760
-1199 2130 -3002; 1720 740 1473
-1473 2076 -2920; 1622 356 1194
-1327 2166 -2879; 1576 -51 920
-1256 1946 -3066; 1601 -437 641
-1460 2331 -3367; 1706 -827 384
-1504 2006 -3082; 1869 -1236 126
-1370 1982 -3449; 1976 -1638 -118
-1132 2096 -4115; 2040 -2029 -327
-1183 1971 -4092; 2205 -2432 -528
-1076 2092 -3945; 2387 -2830 -714
-961 2494 -4127; 2476 -3210 -872
-950 2748 -4050; 2522 -3581 -1011
-1065 2795 -3821; 2464 -3937 -1133
-741 2748 -3695; 2302 -4247 -1256
-544 3070 -3612; 2036 -4528 -1365
-226 3250 -3154; 1627 -4789 -1476
-127 3477 -3109; 1152 -4980 -1618
-104 3832 -2554; 708 -5115 -1765
-522 4107 -1889; 270 -5215 -1917
-494 4069 -2021; -319 -5244 -2107
-757 3995 -2207; -923 -5205 -2293
-947 3981 -2468; -1338 -5108 -2465
-659 3484 -2910; -1761 -4976 -2644
-768 3353 -2750; -2143 -4799 -2776
-1474 3225 -2679; -2422 -4536 -2835
-2041 3131 -3340; -2671 -4252 -2900
-2176 2253 -3401; -2938 -3992 -2933
-2116 2236 -4464; -3134 -3672 -2859
-2259 2225 -5898; -3190 -3317 -2706
-2745 1738 -5698; -2903 -3006 -2497
-2657 1533 -5608; -2571 -2697 -2219
-2294 1710 -5543; -2464 -2388 -1903
-2204 2078 -5002; -2335 -2087 -1542
-2226 2350 -4502; -2152 -1743 -1145
-2252 2476 -4866; -2127 -1377 -749
-2087 2641 -4790; -1988 -1022 -349
-2377 2463 -4511; -1741 -659 52
-2568 2409 -4454; -1480 -297 456
-2426 2452 -4246; -1313 46 865
-2194 2148 -4182; -1296 409 1258
-2390 1965 -3907; -1350 760 1642
-2281 2045 -3678; -1300 1081 2017
-2147 1889 -3306; -1012 1404 2366
-2113 2152 -3083; -601 1711 2690
-1848 2273 -2731; -284 2021 2983
-1617 2472 -2571; -198 2327 3230
-1943 2603 -2767; -205 2614 3444
-1590 2591 -2601; -134 2863 3633
-1458 2554 -2613; -107 3086 3783
-1477 2421 -3013; -82 3300 3906
-1446 2593 -3104; 97 3465 4009
-1128 2529 -3053; 455 3597 4074
-1299 2726 -3161; 815 3739 4092
-1328 3022 -3240; 1062 3854 4079
-1302 2906 -3022; 1201 3924 4022
-968 3008 -3119; 1112 3965 3930
-679 2796 -3257; 955 3971 3824
-223 2765 -3322; 843 3912 3704
175 2671 -3496; 766 3822 3590
204 3045 -3965; 791 3717 3475
-143 2951 -3845; 932 3562 3330
-497 2798 -3593; 1065 3369 3163
-568 2196 -3551; 1057 3144 2982
-521 1896 -3701; 926 2866 2787
-453 1644 -3646; 909 2554 2592
-795 1942 -3728; 905 2229 2410
-1251 1461 -3310; 934 1880 2218
-1226 1743 -3110; 1040 1491 2009
-1615 1410 -3102; 1121 1099 1790
-1696 1732 -3610; 1227 701 1558
-1697 1602 -3526; 1341 269 1316
-1435 1424 -3814; 1453 -170 1067
-1478 1409 -3852; 1604 -616 828
-1327 1550 -3718; 1808 -1079 588
-1317 2038 -3900; 1962 -1536 341
-1214 1969 -3486; 2069 -2003 93
-989 2259 -3421; 2157 -2456 -142
-1006 2480 -3699; 2119 -2887 -376
-771 2638 -3833; 2035 -3312 -613
-428 3109 -3905; 2003 -3715 -838
-146 3301 -3718; 2009 -4091 -1063
72 3878 -3649; 1913 -4443 -1294
206 4182 -3699; 1614 -4761 -1528
255 4387 -3706; 1191 -5039 -1772
704 4820 -3248; 893 -5264 -2047
938 4855 -2865; 547 -5440 -2334
869 5382 -2630; 14 -5569 -2609
576 5307 -2687; -525 -5614 -2914
551 5174 -2656; -1215 -5602 -3247
134 5217 -2462; -2152 -5523 -3560
-257 4712 -2554; -2938 -5325 -3865
-776 3786 -2714; -3490 -5073 -4142
-1340 3399 -2858; -3817 -4782 -4335
-1900 3292 -3473; -4070 -4430 -4477
-1966 3270 -4697; -4654 -4092 -4605
-1328 2891 -5772; -5135 -3746 -4626
-1300 3331 -6861; -5032 -3363 -4470
-2210 2224 -6958; -4489 -3071 -4299
-2389 1554 -7130; -3855 -2854 -4047
-2441 1079 -6228; -3218 -2680 -3607
-2649 796 -4508; -2863 -2519 -3130
-1934 1408 -3630; -2945 -2274 -2595
-1765 2199 -2265; -3546 -2031 -2012
-1975 2570 -2333; -4231 -1732 -1429
-2815 2473 -2998; -4763 -1414 -850
-2814 2215 -3910; -4695 -1168 -272
-2100 1944 -5025; -4062 -949 321
-1934 1921 -5240; -2954 -754 938
-2543 2390 -4422; -1760 -591 1539
-2856 2588 -3571; -950 -399 2056
-2835 2686 -3016; -512 -175 2509
-2434 2978 -2264; -153 58 2933
-1875 2573 -1801; 364 353 3275
-1575 2083 -1725; 867 708 3573
-2073 3186 -1078; 1228 1067 3876
-2675 3411 -1038; 1646 1474 4083
-2150 3294 -1428; 1808 1907 4189
-1694 3310 -1432; 1881 2293 4312
-1476 3123 -1572; 2083 2692 4415
-1608 2753 -1569; 2282 3074 4457
-1645 2631 -1564; 2338 3404 4479
-2000 2636 -2186; 2310 3729 4492
-1071 2615 -2413; 2093 4183 4439
-906 2666 -3084; 1867 4351 4417
-1200 2672 -3636; 1768 4447 4394
-1281 2614 -3617; 1747 4437 4341
-522 2056 -3256; 1680 4395 4269
655 1881 -3419; 1365 4317 4195
1222 2207 -4526; 1023 4169 4118
1150 2760 -5235; 1080 3936 4044
1253 2891 -5473; 1356 3658 3936
734 2577 -5341; 1728 3342 3749
701 2246 -4897; 1931 2955 3519
519 2230 -4907; 2058 2556 3267
359 2193 -4761; 2138 2145 2998
-73 2128 -3956; 2199 1683 2718
-440 1959 -3459; 2157 1210 2418
-686 1966 -3553; 2071 755 2117
-1208 2022 -3330; 2052 263 1816
-1286 1972 -3040; 2059 -256 1493
-1089 2287 -3425; 2055 -747 1173
-870 2589 -3227; 2101 -1253 866
-727 2619 -3257; 2120 -1774 553
-411 2594 -3736; 2019 -2278 249
-295 2559 -4020; 2048 -2788 -39
-174 2656 -4316; 2225 -3299 -311
11 2648 -4255; 2335 -3790 -562
344 3070 -4175; 2192 -4261 -788
411 3509 -4087; 1806 -4700 -1012
487 4001 -3898; 1414 -5098 -1256
805 4403 -3804; 1010 -5453 -1512
1151 4818 -4096; 590 -5752 -1797
1166 5105 -3781; 350 -5992 -2089
1370 5303 -2889; 126 -6178 -2392
1199 5379 -3028; -724 -6285 -2731
1078 4968 -2418; -1823 -6291 -3077
625 4301 -1992; -2536 -6153 -3414
-535 3504 -1691; -2926 -5903 -3748
-941 3311 -1715; -3158 -5612 -3991
-766 3215 -2454; -3116 -5258 -4160
-844 2408 -2572; -2845 -4881 -4273
-1316 2851 -2520; -2978 -4503 -4227
-1801 3029 -3377; -3867 -4047 -4107
-2229 2107 -4114; -4721 -3573 -4001
-2438 2202 -4390; -5012 -3155 -3779
-2897 1784 -4760; -4802 -2762 -3469
-2685 2007 -5532; -4678 -2394 -3105
-2582 2458 -5530; -4398 -2098 -2642
