1272 1361 -3608; 43 -91 17
933 204 -4855; 1529 -1030 2375
1222 597 -5982; 2279 -1120 1748
256 875 -5764; 2886 -545 1271
376 1751 -4685; 2793 251 1060
1080 1792 -4034; 2486 730 1348
-728 1418 -3016; 3070 906 1820
1067 -270 -2241; 3542 848 2499
1617 -1609 -2138; 3327 596 2987
1333 -1781 -2158; 2809 439 2791
831 -1921 -2361; 2320 216 2335
836 -2119 -2828; 1854 39 2199
771 -2355 -3098; 1789 -142 2170
977 -2587 -3071; 1969 -163 2138
1085 -2842 -3251; 1809 -56 2075
2406 -3770 -3418; 1470 93 1985
1795 -7410 -4310; 642 383 1687
756 -8216 -6159; -2124 904 621
415 -4714 -7333; -3670 1429 -1048
1402 540 -6805; -2941 2063 -2192
3470 2527 -2196; -782 2950 -1872
2020 2479 -251; -1144 4188 -1167
1906 974 3317; -3847 4016 -192
1768 -1093 2349; -4048 2430 619
1601 -1323 -218; -4887 848 739
1568 -495 -2779; -5935 55 560
2483 727 -3881; -6117 -48 503
2433 1156 -4195; -5393 336 736
2370 522 -3718; -4338 816 1164
2104 -686 -3328; -3703 1137 1511
2118 -1463 -2772; -3370 1262 1555
1914 -1934 -2804; -3560 1331 1445
2214 -1693 -4693; -3608 1268 1106
2727 -979 -3692; -1744 1258 709
3582 543 -3771; 484 1575 420
3150 2032 -2144; 1426 1841 272
2645 1770 -891; 2971 1592 708
2917 657 314; 4251 1184 1242
2877 -340 -321; 4101 507 1491
3232 -796 -1817; 3603 -279 1461
3655 -919 -3828; 2830 -649 1222
3322 -876 -4748; 2288 -502 982
3061 -1046 -4248; 2022 157 796
2465 -1798 -3358; 1642 944 573
2859 -1644 -2235; 1172 1385 114
2829 -713 -1698; 684 1468 -418
3013 -108 -1359; 468 1270 -569
3794 914 -790; 536 992 -511
3548 1721 -845; 616 697 -337
3466 966 -1608; 611 274 102
3558 3 -2542; 618 26 489
3129 -423 -2700; 714 66 575
3354 -435 -2371; 580 349 456
3398 -9 -2368; 178 525 298
3347 621 -2377; -142 531 97
2347 276 -3864; -126 427 33
5229 1080 -2281; 355 302 -12
4121 2931 -1048; 198 763 -128
3969 2031 -1944; -361 608 247
4006 1298 -2887; -215 221 735
4299 1477 -2974; 90 196 843
4673 1336 -2658; 106 378 892
5126 727 -2433; -121 523 987
5136 822 -2839; -489 502 951
5594 1198 -3411; -885 439 841
5417 1774 -3771; -1238 524 791
5731 1856 -3619; -1472 694 879
5849 2188 -3422; -1533 823 1039
6047 2107 -3793; -1529 818 1251
6110 1204 -4069; -1414 831 1563
5928 74 -4209; -1185 898 1833
6004 -1278 -4301; -1019 987 1975
5195 -1951 -4796; -1011 1091 1962
4912 -2264 -4835; -1032 1208 1849
4760 -2444 -4596; -1022 1357 1771
4822 -2494 -4848; -1019 1373 1704
4573 -3230 -5361; -984 1401 1722
4570 -3611 -5688; -904 1529 1697
3938 -3728 -5495; -774 1819 1632
3488 -4497 -4516; -606 2195 1638
2550 -5126 -3211; -522 2509 1646
2419 -5861 -1794; -517 2664 1597
2255 -6117 -1814; -483 2515 1458
2521 -6208 -2528; -298 2237 1289
2499 -5818 -3242; 49 2169 1081
2332 -5244 -3173; 478 2325 881
1910 -4938 -1716; 966 2622 782
1184 -5329 -546; 1271 2810 753
998 -5592 -59; 1549 2709 676
1021 -5582 114; 1938 2421 477
923 -6343 -91; 2341 2114 291
795 -7000 30; 2695 1954 42
607 -6663 390; 2830 1952 -382
430 -5886 1153; 2857 1939 -858
492 -5131 1688; 2883 1821 -1207
506 -4170 1779; 2936 1543 -1457
419 -3238 1520; 3041 1242 -1582
230 -2776 1606; 3247 1036 -1554
106 -2996 2092; 3505 918 -1424
52 -3439 2578; 3665 765 -1344
212 -4032 2537; 3666 539 -1374
392 -4066 2360; 3703 281 -1499
436 -3920 2981; 3832 122 -1685
462 -3420 3019; 4040 -136 -1866
423 -2847 2453; 4227 -514 -2012
482 -1640 1206; 4334 -890 -2171
501 -1254 483; 4408 -1111 -2202
265 -1079 639; 4378 -1108 -2150
-69 -971 1511; 4243 -1065 -2133
-313 -716 2088; 3996 -1172 -2143
-373 -559 2062; 3673 -1413 -2173
-479 -594 1327; 3398 -1727 -2176
-733 -610 1082; 3205 -1929 -2201
-810 -196 852; 3188 -2081 -2278
-928 219 -120; 3180 -2308 -2356
-956 628 -910; 3215 -2468 -2369
-904 1343 -1104; 3264 -2455 -2345
-664 2124 -1195; 3237 -2379 -2265
-643 2242 -1498; 3174 -2352 -2077
-1001 2224 -75; 3071 -2276 -1870
-1115 1982 578; 2630 -2228 -1748
-964 1934 -1488; 2179 -2645 -1681
-764 2037 -2699; 2169 -2965 -1589
-735 1998 -2546; 2382 -2844 -1438
-826 2114 -2421; 2607 -2698 -1300
-424 2857 -2966; 2748 -2698 -1204
-655 2718 -2732; 2831 -2619 -1032
-692 2901 -2536; 2837 -2597 -908
-507 2660 -2751; 2656 -2647 -808
-736 2772 -2952; 2289 -2697 -777
-535 3641 -3504; 1866 -2797 -845
-260 4775 -4290; 1554 -2959 -841
102 5404 -5320; 1620 -3225 -641
430 5593 -6447; 1958 -3472 -273
913 5284 -7664; 2281 -3456 174
988 3734 -7250; 2344 -2975 622
1006 3305 -6421; 2189 -2444 851
1345 3064 -6409; 1929 -2220 883
1237 2328 -6583; 1708 -2098 943
1422 2479 -6451; 1541 -1887 929
1359 3242 -6773; 1439 -1741 851
1371 3666 -7350; 1425 -1648 897
1571 4562 -7154; 1476 -1422 1027
1607 4217 -6218; 1508 -1107 1265
1322 2763 -5509; 1363 -864 1577
1607 2229 -5186; 1126 -777 1682
1496 2584 -5197; 813 -750 1619
1546 2795 -5870; 533 -752 1611
1471 2741 -6219; 387 -689 1724
2030 3206 -5685; 470 -558 1806
1606 3495 -5305; 620 -436 1962
331 3450 -4384; 622 -387 2192
1201 2194 -5551; 451 -510 2356
2108 3788 -5245; 319 -360 2408
1744 2820 -5872; 119 -342 2605
1439 2918 -5787; -8 -292 2854
1424 3542 -5384; -45 -183 2972
1278 3119 -5384; -6 -186 3259
1080 2170 -5815; -12 -221 3584
1145 1469 -6092; -82 -182 3782
850 1085 -6428; -144 -106 3861
882 485 -6807; -173 -8 3941
666 699 -6471; -217 222 3945
548 600 -6907; -431 363 3968
891 1251 -7789; -816 432 3963
787 1362 -8696; -1264 595 4011
553 802 -8650; -1629 965 4179
91 70 -7639; -1874 1422 4317
-121 790 -7852; -1885 1585 4389
-699 -1278 -7435; -1527 1596 4656
-845 -2142 -6204; -1195 1760 4814
-597 -1992 -6133; -1139 1758 4642
-410 -2592 -6627; -1313 1675 4531
-112 -2655 -6856; -1573 1758 4393
29 -2037 -7228; -1872 1912 4184
-125 -1360 -7268; -2080 2122 4054
-433 -1105 -7343; -2155 2319 4093
-857 -1802 -6717; -2051 2473 4247
-978 -2790 -5996; -1865 2553 4378
-761 -3417 -6059; -1699 2430 4364
-444 -3902 -6523; -1540 2264 4244
-163 -4409 -6719; -1437 2249 4072
-183 -4476 -6751; -1393 2352 3813
-253 -4167 -6292; -1413 2529 3526
-727 -3250 -6737; -1577 2696 3285
-1191 -1780 -7015; -1719 2814 3129
-1772 -2284 -6039; -1666 3042 3228
-2094 -2997 -4679; -1601 3214 3420
-2035 -3205 -3851; -1492 3138 3459
-1999 -3590 -3738; -1260 2875 3496
-2005 -4116 -4010; -892 2591 3560
-2129 -4637 -4350; -402 2380 3584
-2136 -5305 -4325; 36 2297 3551
-1957 -6347 -4011; 250 2306 3457
-1874 -6440 -4130; 238 2322 3206
-1536 -6301 -4057; 215 2357 2920
-1712 -6291 -3810; 243 2435 2709
-1774 -6197 -3519; 379 2475 2519
-1777 -6377 -3135; 608 2456 2351
-1620 -6800 -2526; 892 2427 2228
-1499 -7458 -1987; 1131 2378 2109
-1510 -8056 -1531; 1325 2273 1950
-1423 -8322 -1315; 1458 2120 1691
-1352 -8415 -1488; 1526 1935 1371
-1394 -8476 -1770; 1588 1788 1066
-1344 -8285 -1834; 1647 1737 761
-1471 -8542 -1591; 1736 1728 500
-1548 -8874 -1525; 1848 1700 270
-1567 -8696 -1651; 1953 1623 -58
-1617 -8312 -1614; 2072 1570 -410
-1594 -7865 -1419; 2259 1531 -708
-1648 -7686 -1496; 2497 1430 -954
-1742 -7592 -1586; 2713 1303 -1204
-1973 -7429 -1290; 2776 1256 -1507
-2092 -6909 -1115; 2624 1238 -1878
-2330 -6216 -1214; 2402 1196 -2248
-2431 -5737 -890; 2326 1172 -2507
-2586 -5489 -520; 2420 1154 -2655
-2718 -5586 19; 2645 1136 -2740
-2828 -5346 1319; 2908 1084 -2863
-2700 -4957 1896; 3107 740 -3050
-2877 -4619 1474; 3116 179 -3233
-2622 -3418 1252; 3003 -209 -3558
-2398 -2803 438; 2866 -512 -3766
-2183 -2210 -388; 2836 -723 -3862
-2041 -1793 -585; 2923 -732 -3899
-2054 -1112 -442; 3076 -652 -3899
-2058 -283 440; 3323 -591 -3877
-2040 13 1212; 3559 -670 -3772
-1805 328 852; 3636 -1002 -3660
-1270 193 -176; 3628 -1388 -3599
-1056 -275 -640; 3626 -1527 -3518
-907 111 -539; 3620 -1494 -3571
-831 825 -316; 3575 -1440 -3675
-773 2051 65; 3476 -1421 -3733
-583 2898 481; 3371 -1425 -3674
-310 2908 262; 3327 -1543 -3431
-80 2711 -409; 3374 -1745 -3164
-22 2471 -398; 3468 -1814 -2968
-38 2220 -169; 3524 -1820 -2812
77 2574 -211; 3513 -1913 -2741
157 3204 -314; 3452 -2033 -2675
426 3909 -350; 3387 -2116 -2497
712 3892 -1130; 3330 -2249 -2164
922 3412 -2171; 3290 -2391 -1819
1052 2527 -2547; 3277 -2357 -1523
1141 2036 -2860; 3245 -2255 -1364
1206 2023 -3196; 3245 -2206 -1314
1144 2528 -3117; 3299 -2144 -1271
1231 2612 -2966; 3292 -2073 -1148
1169 2020 -3156; 3174 -2085 -957
1166 1671 -3151; 2877 -2077 -856
1178 1299 -2910; 2500 -2046 -864
1280 1313 -3222; 2178 -2118 -928
1489 2308 -3811; 2074 -2287 -1057
1626 2868 -4171; 2243 -2423 -1062
1484 3017 -4218; 2488 -2497 -923
1605 2558 -4109; 2544 -2508 -790
1716 2819 -4681; 2331 -2520 -754
2090 3975 -5261; 2055 -2559 -823
2482 4555 -5652; 1863 -2492 -787
2689 5232 -5866; 1696 -2277 -643
2821 6173 -5532; 1668 -2014 -488
2837 6404 -4887; 1673 -1790 -243
2753 6391 -4629; 1574 -1702 44
2828 6568 -4871; 1366 -1711 248
2921 7005 -5392; 1118 -1717 426
3000 7131 -5659; 893 -1641 640
2909 7040 -5439; 761 -1488 915
2784 6975 -5248; 688 -1366 1186
2604 6642 -5267; 593 -1297 1448
2376 6213 -5398; 445 -1230 1689
2265 6488 -5553; 272 -1152 1838
824 6232 -5496; 91 -1059 2011
1881 5004 -5217; -65 -907 2233
1631 5982 -5053; -229 -752 2304
1461 6042 -5125; -469 -736 2418
1309 6231 -5522; -636 -755 2576
1113 6028 -5592; -713 -706 2823
1028 5634 -5124; -753 -624 3113
582 4664 -5332; -820 -622 3390
406 4066 -5454; -957 -625 3608
228 3713 -5298; -1036 -572 3661
-40 3400 -5061; -1039 -546 3715
-346 3366 -5039; -977 -620 3748
-568 3466 -5967; -901 -809 3862
-527 4326 -7057; -900 -986 3974
-622 4110 -8093; -1008 -1044 4192
-950 2411 -9077; -1242 -880 4533
-952 1607 -8754; -1471 -360 4660
-1143 1318 -7321; -1536 209 4613
-1382 736 -7065; -1549 398 4590
-1442 655 -7113; -1527 371 4519
-1768 399 -6544; -1450 395 4459
-2007 -158 -6448; -1269 357 4438
-2157 400 -7422; -1044 203 4393
-2201 1953 -8875; -921 110 4347
-2602 1329 -9709; -972 266 4568
-3025 -417 -9522; -1112 697 4928
-3475 -1690 -8638; -1208 1169 5085
-3652 -3023 -8094; -1098 1412 5089
-3741 -4273 -7671; -788 1463 5030
-3732 -4863 -7185; -297 1449 4844
-3613 -5541 -6952; 241 1385 4653
-3280 -6346 -6917; 751 1306 4465
-2752 -6900 -7072; 1162 1269 4204
-2272 -7088 -7171; 1493 1319 3851
-1868 -7100 -7200; 1763 1475 3478
-1489 -6633 -7251; 1964 1676 3076
-1278 -6113 -6968; 2117 1949 2686
-1336 -5705 -6384; 2173 2298 2362
-1472 -5520 -5604; 2117 2653 2084
-1519 -5389 -4658; 1993 2979 1848
-1530 -5435 -3844; 1831 3250 1653
-1477 -5569 -3151; 1722 3393 1508
-1420 -5696 -2655; 1643 3431 1354
-1501 -5954 -2241; 1524 3466 1195
-1600 -6186 -1795; 1332 3556 1023
-1685 -6253 -1146; 1106 3686 833
-1616 -6137 157; 977 3745 645
-1526 -6126 677; 983 3526 495
-1365 -5851 396; 1014 3100 396
-1129 -5473 -249; 1125 2717 334
-1140 -5984 -363; 1353 2520 377
-1320 -6812 8; 1502 2490 400
-1341 -7184 551; 1506 2477 246
-1261 -7303 678; 1488 2355 -29
-1276 -7283 505; 1534 2150 -335
-1184 -6928 399; 1701 1986 -647
-1210 -6480 531; 1941 1874 -935
-1329 -6231 922; 2198 1767 -1159
-1373 -6036 1427; 2351 1638 -1369
-1285 -5962 1646; 2352 1457 -1607
-1244 -5907 1513; 2229 1249 -1863
-1154 -5752 1131; 2026 1092 -2156
-1162 -5463 861; 1868 1034 -2455
-1344 -5218 1214; 1773 1090 -2734
-1420 -4982 2076; 1687 1185 -2998
-1679 -4584 2808; 1593 1174 -3267
-1565 -3829 3428; 1576 1012 -3518
-1458 -2975 3599; 1709 658 -3697
-1131 -2546 3226; 1910 211 -3745
-815 -2267 2588; 2079 -183 -3754
-569 -1945 1927; 2204 -452 -3809
-173 -1581 1333; 2266 -632 -3906
-57 -502 913; 2240 -697 -4041
203 507 690; 2158 -668 -4100
475 1766 1484; 2173 -609 -3954
265 1496 2512; 2310 -728 -3526
672 870 1452; 2395 -1200 -3065
662 840 395; 2451 -1544 -2884
834 621 49; 2697 -1586 -2768
896 330 263; 2930 -1442 -2662
968 174 180; 2986 -1387 -2644
1004 430 -217; 2880 -1459 -2722
1067 1037 -606; 2646 -1489 -2846
1271 2163 -987; 2374 -1434 -2968
1383 3166 -1204; 2189 -1312 -2899
1386 2441 -485; 2225 -1118 -2490
1223 1428 63; 2356 -1053 -2119
1037 960 88; 2472 -1209 -2009
1057 678 -214; 2583 -1432 -2018
1188 978 -1105; 2636 -1651 -2104
1207 1626 -1893; 2709 -1809 -2212
1257 2006 -1799; 2755 -1745 -2237
1221 2332 -1248; 2665 -1554 -2190
1156 2793 -941; 2553 -1532 -2145
1225 2672 -795; 2498 -1659 -2027
1207 2394 -1058; 2446 -1842 -1877
1250 2890 -1650; 2404 -2069 -1800
1174 2599 -1842; 2448 -2170 -1658
1133 3025 -1685; 2455 -2102 -1607
1166 3464 -1188; 2488 -2052 -1585
1114 3370 -1001; 2591 -2163 -1436
1188 2840 -1072; 2583 -2353 -1281
1256 2681 -1866; 2345 -2509 -1270
1227 3764 -2591; 2004 -2543 -1441
1720 5497 -2554; 1738 -2404 -1590
1764 6554 -2489; 1600 -2268 -1457
1802 6898 -2630; 1588 -2256 -1085
1813 6774 -2738; 1635 -2274 -658
1748 6335 -2952; 1627 -2287 -252
1793 6125 -3355; 1577 -2302 56
1786 6208 -3649; 1443 -2277 286
1786 6193 -3787; 1259 -2182 523
1773 6181 -4151; 1112 -2117 779
1744 6305 -4713; 1011 -2089 1002
1722 6176 -4977; 926 -1986 1235
1620 6087 -5274; 735 -1809 1474
1598 6093 -5712; 477 -1652 1667
1550 5625 -5969; 203 -1461 1865
1391 5028 -5851; -105 -1144 2056
1221 5008 -5231; -297 -827 2149
1080 4957 -4872; -387 -692 2228
984 4787 -5034; -515 -704 2347
1009 4965 -5478; -769 -700 2429
1578 4909 -5757; -1127 -618 2507
535 4132 -6514; -1496 -445 2681
569 4072 -5813; -1700 -222 2823
568 3908 -5491; -1807 -128 2835
549 4127 -5628; -1825 -129 2911
625 4142 -5818; -1655 -231 3049
598 3552 -5516; -1449 -299 3273
708 2347 -5888; -1480 -383 3466
814 1760 -6808; -1724 -486 3475
956 1878 -7474; -2018 -473 3320
967 2186 -7976; -2270 -295 3179
1039 2406 -7955; -2444 65 3114
1026 2290 -7480; -2526 462 3157
1027 1931 -7006; -2608 726 3229
947 1716 -6302; -2626 879 3288
867 1685 -5537; -2502 944 3322
760 1564 -5151; -2261 837 3401
731 1198 -5125; -1987 609 3532
681 747 -5351; -1745 389 3655
686 282 -6165; -1637 235 3735
712 -481 -7145; -1633 185 3781
862 -1380 -7914; -1707 290 3766
1135 -2221 -8472; -1888 525 3661
1442 -2634 -8805; -2077 849 3484
1686 -2816 -8824; -2172 1225 3258
1890 -2939 -8068; -2114 1656 3048
2006 -2839 -6804; -1960 2024 2844
2195 -2820 -5816; -1795 2161 2680
2544 -2760 -5406; -1637 2085 2541
2889 -2681 -5343; -1506 1951 2405
3071 -2523 -5404; -1416 1908 2289
3194 -2113 -5466; -1341 1972 2178
3285 -1315 -5625; -1298 2083 2070
3255 -1060 -5318; -1259 2256 2072
3115 -1225 -4639; -1219 2456 2177
3045 -1227 -4173; -1205 2586 2273
2955 -1203 -3805; -1189 2648 2327
2760 -1331 -3328; -1179 2712 2384
2519 -1320 -3171; -1215 2777 2373
2062 -1393 -2826; -1118 2790 2398
2021 -1861 -2609; -896 2759 2671
1632 -2646 -2505; -828 2746 2886
1264 -4298 -2532; -788 2770 3004
714 -3440 -2392; -841 2836 2787
975 -4515 -1650; -467 2875 2905
371 -5229 -900; -246 2922 3100
330 -5753 -336; -87 2804 2978
520 -6126 -462; 119 2509 2799
495 -6456 -601; 397 2252 2609
529 -6598 -264; 729 2175 2392
521 -6619 304; 1107 2131 2152
392 -6511 624; 1466 2024 1918
363 -6668 1038; 1769 1899 1727
195 -6472 1689; 2040 1830 1516
102 -6353 2231; 2316 1692 1319
-41 -6085 2835; 2599 1508 1151
-241 -6276 3636; 2874 1332 1036
-425 -6559 4658; 3203 1076 930
-444 -6997 5340; 3547 685 737
-547 -7506 5669; 3824 180 499
-680 -8048 5442; 3816 -291 124
-664 -7884 5141; 3736 -715 -371
-547 -7084 4313; 3572 -1071 -955
-363 -6209 3530; 3469 -1314 -1435
-358 -5338 3400; 3447 -1385 -1780
-285 -4380 3728; 3454 -1383 -2033
-140 -3482 3962; 3461 -1486 -2204
61 -2780 3815; 3443 -1723 -2285
189 -2498 3278; 3392 -2027 -2291
61 -2243 2474; 3312 -2306 -2287
529 -1723 1738; 3265 -2508 -2316
636 -1077 1196; 3229 -2624 -2315
637 -687 1331; 3200 -2678 -2207
652 -1023 1233; 3204 -2766 -2014
628 -1173 848; 3181 -2899 -1887
680 -1415 538; 3183 -2955 -1831
545 -1815 53; 3213 -3003 -1789
564 -1764 -755; 3238 -3087 -1854
739 -1336 -1701; 3240 -3161 -1990
862 -880 -2195; 3310 -3113 -2062
897 -506 -2092; 3385 -2928 -2023
820 -651 -1883; 3381 -2752 -1894
660 -526 -1914; 3269 -2671 -1803
752 -442 -2000; 3145 -2632 -1772
726 -706 -2160; 3048 -2616 -1709
618 -1027 -2204; 3011 -2587 -1684
561 -1049 -2207; 2966 -2554 -1759
638 -662 -2347; 2900 -2566 -1906
633 -280 -2496; 2825 -2589 -2023
670 109 -2358; 2716 -2537 -2109
609 703 -2300; 2562 -2480 -2179
609 1439 -2222; 2435 -2478 -2217
668 1903 -2012; 2337 -2487 -2180
764 2372 -2168; 2208 -2521 -2095
874 3248 -2684; 2109 -2626 -2012
1013 4008 -2919; 2173 -2724 -1854
1109 4254 -2956; 2370 -2774 -1572
1041 4231 -2570; 2554 -2770 -1259
1086 3811 -2680; 2647 -2870 -948
1089 3633 -3469; 2599 -3112 -732
1123 3693 -4497; 2423 -3331 -608
1294 3979 -5490; 2191 -3371 -519
1419 4696 -5940; 1999 -3207 -434
1590 5270 -6326; 1888 -2972 -288
1526 5384 -6412; 1849 -2706 -27
1515 5132 -6044; 1853 -2393 302
1481 4422 -5809; 1796 -2201 590
1430 4354 -6093; 1685 -2181 740
1513 4555 -6525; 1565 -2184 837
1591 4784 -6936; 1432 -2095 953
1586 4695 -6992; 1315 -1888 1123
1512 4328 -6649; 1168 -1567 1350
1397 4142 -5986; 990 -1266 1541
1338 4300 -5743; 835 -1151 1669
1378 4563 -6004; 677 -1164 1799
1417 4680 -6576; 451 -1137 1985
