-2322 3811 2639; 1935 -3221 184
-1461 3425 3457; -542 60 359
-1416 3535 3074; -176 103 294
-1390 4534 1973; -111 224 368
-1402 4030 2568; -243 218 356
-1749 3202 2657; -385 223 296
-1803 3670 1914; -372 299 337
-1693 3601 2133; -307 298 353
-1829 3088 2059; -253 289 311
-1885 3489 1438; -277 326 333
-1807 3669 1701; -338 313 353
-1879 3248 1929; -387 291 322
-1947 3337 1669; -447 302 324
-1902 3514 1828; -493 286 343
-1951 3203 1871; -503 265 321
-1969 3247 1640; -527 269 317
-1940 3486 1799; -565 253 331
-1947 3707 2064; -602 233 316
-1943 4059 1556; -667 241 256
-1833 3650 605; -620 234 155
-2099 4454 1532; -55 165 152
-2173 3686 1472; 186 144 180
-1741 3241 367; 8 264 165
-912 2457 1623; -61 172 101
-445 2905 1559; 27 158 124
-1843 4549 119; -8 210 170
-1734 3859 2853; 114 196 62
-1507 3920 857; 348 311 -15
-1334 4364 2442; 841 356 70
-1172 3735 2455; 359 319 4
-1245 3617 968; -48 387 -67
-1062 3161 1549; -97 343 -118
-1371 3220 1463; 76 366 -124
-981 2820 1227; 164 381 -131
-859 2794 1240; -256 353 -180
-1113 2900 1320; -371 347 -180
-1129 3141 1286; -107 349 -144
-1047 2823 1321; 141 345 -139
-1115 2583 1280; 238 342 -135
-1144 2798 1301; 164 325 -102
-1144 2852 1322; 68 306 -84
-1184 2845 1302; 24 296 -74
-1203 3042 1395; 0 281 -49
-1214 3095 1511; -58 260 -32
-1262 3059 1567; -126 248 -26
-1237 3141 1694; -154 236 -6
-1165 3183 1767; -138 227 13
-1461 7984 2013; -140 229 13
-1291 3471 573; -138 240 -134
-1831 4358 1607; 203 160 -111
-1474 3540 2628; 484 179 27
-881 2803 782; 155 375 -42
-922 3696 2142; 13 279 -88
-555 3313 1562; 720 314 52
238 3318 819; 497 415 70
181 2598 2947; -601 331 6
-1230 4339 1021; -1445 325 84
-2689 4042 2433; -785 307 131
-1835 4846 1933; 204 238 71
-1575 3521 319; 864 353 -16
-2311 1567 840; 1190 342 -34
-1460 2737 3012; -188 194 13
-1470 3520 1228; -2149 303 36
-1382 3232 2175; -1584 298 -1
-1333 4155 3415; -336 182 66
-1168 3738 2110; -18 281 67
-1029 3143 2666; -249 349 43
-1688 3721 2975; -468 315 110
-1649 2902 3344; -395 338 94
-1771 2938 2389; -348 438 106
-1811 3405 2808; -377 452 166
-2083 3342 3023; -592 438 161
-2230 3561 2136; -796 504 161
-2143 3977 2243; -748 519 192
-2064 3758 2340; -607 504 185
-2007 3462 1846; -507 546 168
-1948 4698 608; -492 598 134
-1721 2699 804; -248 621 40
-2359 5054 2588; 342 492 148
-2091 2961 -52; 164 610 -3
-2099 320 962; -124 576 -204
-2208 4763 2527; 205 470 114
-1691 2182 -1321; -154 626 57
-2236 3444 -908; 174 714 -39
-1576 2603 3301; 1057 448 46
-1119 2957 431; 1006 667 100
-1446 3154 1993; -11 761 116
-2987 3044 2667; -997 637 94
-3136 3921 740; -1095 745 177
-2890 4661 730; -380 785 229
-2201 3992 -90; -38 780 153
-1678 879 1235; 305 688 198
-1551 3045 894; -114 563 309
-1499 2860 1390; -1508 552 214
-1431 2852 2348; -1453 553 129
-1237 4543 1308; -605 540 287
-992 4074 2539; 96 484 258
-1140 3347 1952; 169 515 138
-1258 1968 2856; 52 563 154
-1339 4310 1933; -102 499 179
-1448 3108 2039; 116 495 82
-1458 3326 1470; 295 517 68
-1261 3879 1725; 285 486 115
-1278 3112 1720; 181 446 47
-1340 3008 1403; 91 441 20
-1235 3565 1697; 64 405 66
-1220 3153 1776; 45 373 40
-1279 2917 1546; 32 365 12
-1392 4335 2696; 47 332 50
-1267 4072 348; 22 341 -48
-1608 2605 1052; 342 290 -160
-1647 2007 3178; 731 199 60
-1288 2181 -967; -155 368 122
-1393 1533 1871; -459 261 -8
-1808 3349 2853; 251 190 111
-1211 4127 -1738; 581 378 211
-1327 2675 2151; 736 270 185
-1604 4546 -598; 567 186 241
-368 2293 61; -28 235 267
-1734 2878 2754; -86 92 309
-2264 2636 2252; -246 176 369
-1945 6533 -1897; -39 202 392
-713 2866 2907; 42 2 318
-1753 5385 1937; -551 -46 346
-1664 3354 1322; -765 75 372
-1812 2802 2429; -671 -33 360
-2374 5018 1989; -343 -51 420
-1628 3224 2388; -38 -3 280
-1711 3491 1029; -508 36 245
-2027 5075 2225; -661 -31 373
-2138 4124 2356; -326 -41 288
-1841 3365 878; -83 47 179
-1623 4601 1515; 109 4 256
-1524 4351 1465; 79 -40 231
-1507 3384 455; 5 4 121
-1445 3982 942; 159 -31 156
-1352 3920 1137; 310 -71 171
-1286 2954 457; 297 -42 95
-1299 3162 802; 276 -62 116
-1299 3355 1197; 227 -94 161
-1325 2660 881; 101 -70 125
-1459 2391 3243; 39 -71 142
-1370 5553 1669; 55 11 194
-1302 1752 1490; 362 128 56
-1911 2727 1998; 837 65 168
-1805 3349 1329; 784 101 301
-1758 1738 1439; 277 135 148
-1691 2791 1125; -340 123 169
-1509 8637 1434; -774 70 280
-1995 4650 -194; -912 66 85
-2089 5634 1776; 46 61 60
-3078 5492 1439; 1297 111 73
-1865 5061 -984; 1327 223 -99
-1760 2696 1854; 1062 60 -226
-1739 4851 1778; 532 21 -120
-1468 3876 721; -274 158 -229
-855 2084 1271; -394 148 -369
-837 3959 2134; -121 57 -222
-615 3412 1110; -104 153 -211
-606 1780 843; -193 214 -336
-883 2835 2199; -5 169 -211
-788 2882 1390; 105 237 -124
-845 1933 797; -16 286 -184
-1194 2641 1672; -26 236 -111
-1186 3300 1132; -66 267 -12
-1089 2545 792; -191 304 -40
-1255 2782 1557; -223 256 -6
-1339 3408 1341; -286 252 72
-1271 2967 920; -382 276 58
-1364 3040 1369; -354 243 69
-1408 3582 1454; -333 223 130
-1362 3282 1150; -396 226 129
-1433 3220 1307; -381 196 130
-1484 3595 1321; -328 167 176
-1482 3465 1126; -327 155 180
-1177 2403 2465; -316 114 153
-1307 3102 1309; -278 138 186
-974 4895 1603; 62 208 273
-1013 3277 3523; 476 71 128
-1416 4171 1732; 608 221 140
-1130 3961 1589; 519 305 206
-1129 1671 -986; 225 222 156
-1783 1859 2741; 321 96 201
-973 3617 949; 198 290 342
-1068 2258 -573; -146 351 257
-593 2862 2276; -244 164 282
-807 4547 3021; -736 117 455
-167 2828 -3652; -1005 343 404
-376 3277 3872; -1146 34 357
-1272 4706 725; -606 80 466
-894 5329 -372; -42 225 422
-970 3950 2365; 599 19 309
-1150 3612 889; 469 0 331
-1186 3781 568; -236 38 344
-1510 3416 1810; -768 -102 277
-1967 3619 1244; -773 -136 246
-1784 4086 919; -560 -111 264
-1871 3935 1757; -397 -181 244
-2087 3728 1857; -402 -221 208
-2084 3893 1755; -513 -217 206
-2029 3847 2211; -522 -250 193
-1995 3608 2391; -400 -258 162
-1790 3624 2382; -286 -232 154
-1620 3591 2669; -228 -227 153
-1574 3371 2705; -213 -217 138
-1657 5092 4570; -201 -173 135
-859 4271 1967; -117 -46 38
-662 3278 2579; 422 -2 -38
-1291 2675 3259; 947 -48 84
-1070 1444 482; 769 76 87
-1525 1701 1824; 240 90 43
-2105 3197 1065; -117 59 55
-2703 3727 864; -83 67 109
-1675 3446 1669; 286 64 92
-1504 3828 1546; -28 48 55
-2330 4152 3012; -334 17 58
-3276 3759 385; -80 50 37
-1126 3099 -111; 665 6 9
-1113 2402 1358; 44 -180 -71
-1685 4133 1581; -756 -149 -36
-1716 3867 2592; -1297 44 -118
-1840 4019 2547; -1261 38 -204
-1744 4779 3347; -158 -18 -119
-1434 3831 1734; 447 64 -151
-1187 2421 2064; 97 98 -247
-1517 3642 2761; -449 75 -213
-1515 3348 1996; -479 154 -208
-1345 2491 2047; -80 176 -264
-1324 3218 1950; 122 189 -190
-1256 2984 1472; 37 242 -167
-1279 2311 1682; -127 249 -206
-1337 2904 1844; -153 254 -147
-1207 3031 1517; -176 294 -105
-1182 2559 1545; -243 312 -127
-1290 2943 1760; -258 316 -87
-1424 4266 2268; -293 346 -46
-905 659 2640; -431 405 -145
-1333 3912 1178; -330 517 -61
-1266 5521 2865; 575 461 95
-1194 725 2687; 1351 549 -164
-1485 2445 1689; 1535 725 -55
-1026 4792 1593; 1719 741 170
-807 3007 168; 1727 722 -43
-1057 3741 2173; 1224 697 -108
-1112 4852 1297; 975 812 9
-1380 4410 1408; 1136 832 -15
-1852 3863 1885; 1302 775 -121
-1544 3409 1154; 1354 851 -133
-1397 3403 1084; 741 887 -101
-1301 2543 1515; 212 843 -119
-1137 2474 1474; -193 849 -89
-832 2439 1472; -746 873 -20
-851 2527 1638; -1268 874 45
-1172 2712 1730; -1460 876 117
-1076 2969 1387; -1518 883 188
-1390 2422 1991; -1826 870 243
-1770 3424 1504; -2434 870 316
-1821 3977 1999; -2646 849 348
-1967 3981 1447; -2158 849 353
-2064 4157 2053; -1141 856 397
-1955 3600 2233; -432 866 390
-1937 3021 2086; -341 902 350
-1855 3155 1918; -430 923 367
-1776 2998 2325; -589 919 377
-1470 3310 3665; -788 973 373
-1024 3176 1481; -1223 1095 380
-1072 6123 1134; -1281 1081 387
-1337 1898 2794; -880 1033 316
-1631 1123 1322; -325 1171 399
-1726 2238 2470; 316 1224 595
-1379 650 2083; 610 1208 472
-1866 1721 1125; -637 1213 444
-2858 2993 779; -2055 1180 604
-3558 3761 1392; -1974 1096 697
-3131 3534 1615; -1471 1029 631
-3320 5096 734; -1611 1009 569
-3379 8531 728; -1063 952 554
-2155 7072 3139; 1903 921 367
-1566 4310 3277; 4326 1033 128
-1412 3463 2758; 3229 1086 49
-1468 2877 2445; 1196 1063 -65
-1913 2896 1726; -65 1083 -214
-2098 3068 1626; -773 1121 -259
-2327 3331 1625; -1206 1167 -246
-2246 2915 1405; -1840 1207 -309
-2317 2819 1707; -2559 1218 -328
-2412 3423 1278; -2796 1257 -251
-2448 2576 762; -2682 1284 -262
-2567 2528 906; -1979 1279 -254
-2556 2527 1153; -1097 1276 -216
-2500 2090 987; -743 1280 -227
-2602 2115 1230; -845 1260 -210
-2783 2223 1421; -1065 1229 -171
-2909 2068 1150; -1278 1200 -167
-3098 3054 2613; -1385 1170 -158
-2663 3093 -92; -1724 1233 -145
-2759 3392 1711; -1825 1151 -163
-3084 4102 1690; -1582 1110 -155
-2822 1805 885; -1304 1178 -202
-2543 2983 1626; -1065 1134 -122
-2270 2214 1218; -1162 1114 -146
-2410 1578 810; -1192 1115 -217
-2473 2212 1352; -983 1065 -105
-2509 2512 1555; -645 1033 -79
-2412 2522 1389; -336 1051 -153
-2294 2897 1742; -50 1029 -182
-2464 3049 1708; 260 997 -184
-2458 2950 1407; 381 975 -243
-2646 2572 1429; 343 943 -330
-2692 2599 1277; 42 910 -381
-2708 3214 1568; -281 885 -410
-2470 3328 1336; -346 885 -476
-2313 3349 1424; -393 869 -542
-2270 3281 1374; -546 834 -576
-2221 3076 1208; -601 815 -589
-2143 2976 1157; -516 807 -599
-2162 2999 1285; -399 811 -616
-2225 2918 1474; -244 821 -625
-2360 3059 1751; -171 832 -605
-2416 2798 1720; -191 846 -578
-2446 2782 1468; -298 866 -544
-2256 2812 1346; -374 875 -491
-2074 2794 1276; -290 886 -445
-2066 2756 1545; -71 906 -384
-2120 2749 2046; 100 947 -310
-2161 2722 2207; 12 1004 -236
-2305 2962 1957; -215 1042 -137
-2608 3066 1739; -464 1056 -31
-2971 3053 1791; -660 1070 58
-3262 3308 1943; -819 1093 162
-3535 3454 2109; -1000 1135 277
-3570 3684 2142; -1221 1179 404
-3476 4061 2182; -1399 1198 540
-3487 4398 2132; -1490 1197 668
-3349 4341 2097; -1485 1199 779
-3365 4244 2110; -1389 1215 907
-3288 4013 2105; -1161 1223 1060
-3298 3760 1931; -930 1213 1208
-3323 3649 2072; -769 1178 1358
-3188 3230 1865; -695 1162 1493
-2978 2559 1855; -790 1136 1639
-2970 1912 1832; -1006 1092 1823
-2964 1484 1843; -1567 1028 1999
-3152 1216 1549; -2146 931 2161
-2661 1249 1184; -2353 826 2348
-2119 1240 946; -2275 707 2528
-1933 1397 517; -2368 566 2641
-1914 1462 199; -2499 411 2726
-1305 1369 572; -2164 269 2813
-632 1502 165; -1629 144 2881
-365 1534 -576; -751 60 2914
-492 1491 -805; 182 12 2919
77 1650 -529; 848 -23 2915
-618 2643 -520; 1340 -44 2922
-1005 2717 373; 1743 -24 2887
-1262 3016 585; 2056 49 2829
-1815 2783 1061; 2272 105 2764
-1961 2524 1610; 2254 203 2660
-1667 2721 3606; 1420 278 2556
-948 3731 3691; -361 318 2467
-236 4946 2863; -2305 328 2375
247 5920 2339; -3296 300 2239
703 5451 2464; -3806 274 2085
664 5244 2156; -3794 241 1977
54 5070 2000; -3424 192 1890
-677 4461 2210; -2942 161 1757
-1264 4519 2372; -2260 180 1672
-1694 4786 3240; -1343 181 1632
-1754 4608 3417; -359 217 1546
-1407 4428 2753; 585 305 1462
-795 4341 2076; 1205 359 1408
-174 3827 1416; 1277 389 1327
285 3634 815; 855 409 1243
241 4120 964; 276 387 1194
-61 4355 1185; 25 356 1131
-101 4430 1159; 208 355 1059
127 4392 1396; 448 350 1004
199 4016 1494; 558 344 936
131 3435 1486; 614 355 860
-46 3363 1565; 509 352 815
-122 3327 1613; 264 344 771
-194 3387 1635; 122 345 714
34 3420 1659; 297 353 672
319 3498 1429; 378 354 635
457 3416 1645; 310 354 580
430 3416 1552; 325 361 532
336 3370 1681; 238 358 496
242 3167 1791; 48 354 450
195 3199 1735; -203 359 415
140 3432 1796; -411 361 389
104 3546 1836; -481 361 356
89 3592 1926; -380 368 326
54 3647 1806; -206 374 301
64 3483 1675; -182 370 272
69 3386 1715; -312 368 244
12 3487 1744; -535 361 224
-63 3832 1799; -654 345 207
-213 3899 1691; -466 336 192
-269 3853 1702; -68 334 175
-253 3677 1708; 303 332 150
-145 3514 1731; 571 327 134
75 3455 1784; 633 323 124
265 3493 1728; 476 313 113
347 3707 1695; 219 305 106
369 3965 1611; -70 302 99
315 4104 1639; -254 295 86
201 4166 1687; -203 292 78
125 4093 1652; 39 300 70
88 3959 1636; 280 308 66
0 3750 1667; 431 309 65
-182 3516 1711; 506 314 66
-304 3491 1702; 457 318 75
-309 3643 1641; 345 320 90
-218 3812 1564; 260 322 101
-82 3936 1512; 166 321 108
-2 4084 1494; 24 318 114
38 4234 1431; -137 317 121
-17 4355 1522; -224 314 121
-51 4343 1529; -215 311 117
-132 4444 1500; -155 307 119
-179 4455 1409; 5 299 121
-96 4294 1260; 235 296 115
40 4085 1226; 370 288 115
147 3871 1231; 368 272 117
255 3735 1167; 266 252 125
258 3688 1214; 164 229 141
233 3631 1241; 88 212 155
247 3622 1259; 14 195 167
257 3670 1272; -44 177 183
237 3798 1253; -112 161 199
157 3889 1366; -154 142 211
50 3918 1516; -143 129 215
16 3962 1631; -97 124 220
87 3956 1643; -44 119 223
202 3920 1658; -11 116 222
229 3899 1636; -15 115 219
184 3949 1678; -54 109 221
140 3880 1675; -62 107 220
38 3798 1698; -30 109 215
-15 3840 1698; 44 108 216
19 3848 1667; 177 106 217
194 3770 1551; 308 109 213
260 3727 1557; 401 104 211
321 3599 1495; 412 96 210
315 3585 1412; 326 84 211
186 3652 1493; 228 68 216
110 3600 1472; 224 58 214
226 3542 1490; 272 51 214
366 3496 1537; 273 40 218
480 3399 1567; 154 27 216
442 3493 1576; -57 12 217
341 3607 1618; -248 -3 218
175 3711 1634; -346 -9 210
140 3900 1666; -330 -19 203
227 4010 1683; -219 -29 196
274 3988 1691; -86 -33 179
213 3919 1741; 21 -42 157
221 3878 1769; 48 -54 142
252 3875 1761; -31 -66 124
208 3950 1774; -148 -80 106
138 4086 1814; -226 -94 86
196 4124 1837; -207 -104 65
253 4121 1847; -137 -113 39
286 4062 1912; -42 -124 14
246 3955 1944; 39 -131 -9
151 3887 1898; 63 -144 -27
-52 3926 1818; 113 -157 -31
-6 3676 1653; 396 -168 -33
257 3340 1704; 784 -174 -46
634 3265 1678; 874 -183 -35
750 3263 1717; 828 -203 -13
677 3060 1841; 695 -222 -6
699 2958 1869; 528 -232 12
712 3092 1850; 261 -234 39
754 3095 1797; 18 -242 52
717 3151 1722; -160 -254 64
556 3339 1749; -329 -263 80
504 3480 1738; -461 -271 83
484 3712 1720; -535 -278 79
366 3934 1884; -515 -289 74
85 4048 1976; -445 -302 59
24 4174 2006; -399 -304 39
207 4299 1910; -282 -305 22
594 4181 1960; -78 -307 -4
666 3930 1878; 116 -304 -34
671 4131 2466; 188 -304 -56
663 3858 1832; 57 -306 -65
765 3771 2172; 141 -305 -83
753 3492 1935; 120 -286 -109
775 3677 2024; 48 -283 -108
833 3653 1976; 80 -277 -114
858 3582 1895; 119 -253 -140
880 3635 1969; 164 -244 -141
865 3538 2034; 244 -236 -147
912 3368 1905; 263 -213 -165
911 3399 1912; 197 -202 -163
874 3440 1910; 132 -193 -159
809 3421 1856; 95 -182 -165
734 3512 1916; 79 -172 -161
680 3522 1924; 110 -167 -152
734 3461 1834; 177 -153 -152
764 3519 1827; 205 -141 -142
761 3519 1851; 218 -139 -131
650 3490 1855; 241 -135 -121
564 3481 1795; 231 -128 -106
580 3452 1805; 206 -129 -92
598 3549 1737; 151 -132 -74
571 3664 1741; 93 -132 -57
602 3719 1735; 76 -136 -41
597 3823 1791; 93 -140 -25
587 3816 1751; 126 -139 -13
584 3731 1785; 167 -141 -2
537 3714 1838; 160 -143 14
523 3729 1859; 94 -140 25
557 3791 1841; 17 -136 35
618 3932 1811; -50 -133 49
662 3980 1804; -81 -128 56
661 3937 1763; -58 -125 58
663 3925 1730; -13 -122 63
571 3892 1700; 51 -117 67
543 3783 1662; 144 -113 70
574 3724 1603; 239 -112 81
566 3638 1555; 303 -109 91
545 3478 1568; 333 -110 97
476 3334 1620; 313 -113 111
483 3243 1598; 236 -117 125
521 3278 1607; 74 -120 138
523 3425 1610; -89 -122 155
502 3582 1669; -198 -123 166
510 3689 1678; -238 -126 173
556 3801 1714; -208 -119 174
561 3844 1711; -134 -114 172
587 3847 1693; -55 -107 168
601 3802 1665; -5 -97 162
596 3759 1719; 18 -91 153
555 3743 1703; 41 -84 150
548 3641 1684; 74 -75 142
593 3626 1705; 73 -68 137
598 3581 1713; 59 -64 133
595 3521 1737; 39 -56 128
613 3562 1746; -20 -50 127
618 3640 1769; -78 -46 126
611 3674 1761; -111 -41 119
542 3785 1841; -123 -38 115
554 3743 1851; -77 -33 109
610 3730 1834; -36 -23 100
637 3792 1884; -40 -18 93
686 3831 1863; -52 -12 84
698 3846 1853; -48 -9 73
644 3806 1840; -33 -8 66
646 3782 1767; -19 -3 56
683 3721 1756; -12 -2 45
746 3675 1744; 2 -5 41
775 3659 1711; -4 -7 37
760 3600 1715; -15 -14 32
717 3578 1721; 16 -22 33
720 3494 1694; 51 -22 29
776 3435 1688; 49 -27 28
772 3465 1701; 7 -36 31
773 3489 1731; -68 -42 30
766 3528 1769; -152 -48 26
780 3622 1812; -215 -51 27
775 3687 1846; -230 -51 21
770 3698 1871; -177 -50 13
773 3782 1925; -98 -51 9
779 3766 1898; -29 -49 1
760 3738 1902; 20 -46 -10
794 3729 1894; 19 -46 -14
792 3702 1882; -1 -48 -23
782 3668 1889; -15 -51 -28
798 3626 1839; -12 -53 -32
805 3612 1801; 11 -57 -36
844 3641 1795; 31 -61 -39
839 3625 1844; 60 -67 -41
796 3566 1851; 116 -71 -46
839 3524 1852; 152 -73 -47
862 3549 1831; 129 -80 -47
868 3547 1821; 100 -85 -47
886 3548 1875; 86 -87 -49
948 3573 1864; 58 -91 -51
968 3612 1844; 25 -94 -51
940 3651 1901; 2 -97 -53
941 3686 1884; 2 -98 -60
973 3743 1885; 24 -96 -63
949 3767 1893; 35 -94 -69
945 3745 1874; 38 -93 -79
926 3810 1821; 35 -96 -85
884 3874 1847; 41 -95 -92
881 3818 1774; 82 -96 -103
924 3797 1780; 127 -99 -111
926 3818 1780; 148 -102 -112
934 3729 1794; 183 -105 -122
942 3713 1771; 205 -110 -124
913 3752 1765; 191 -116 -122
882 3672 1758; 168 -121 -126
855 3654 1759; 153 -128 -124
881 3665 1776; 141 -132 -117
918 3617 1738; 131 -136 -116
931 3661 1763; 130 -142 -109
905 3714 1807; 143 -148 -101
916 3598 1765; 192 -149 -101
947 3592 1750; 207 -150 -92
963 3617 1750; 165 -152 -82
935 3560 1763; 112 -152 -83
905 3594 1800; 75 -152 -80
916 3644 1820; 52 -151 -73
949 3634 1822; 32 -144 -76
999 3669 1738; 3 -139 -76
992 3850 1743; -12 -136 -70
903 3774 1788; 193 -120 -82
969 3729 1748; 346 -111 -79
998 3644 1717; 380 -106 -77
988 3577 1700; 320 -102 -80
971 3639 1691; 241 -98 -75
978 3636 1665; 168 -96 -69
976 3599 1640; 105 -96 -69
985 3667 1660; 47 -93 -64
1016 3728 1614; 11 -90 -58
1023 3768 1642; 4 -87 -60
965 3887 1709; 34 -86 -55
960 3856 1707; 118 -79 -58
998 3807 1682; 214 -73 -60
1024 3779 1675; 261 -65 -59
1027 3722 1694; 250 -60 -62
1056 3662 1691; 211 -54 -64
1037 3705 1661; 136 -52 -62
1034 3721 1628; 47 -48 -64
994 3797 1567; 1 -43 -66
937 3907 1596; 18 -41 -65
919 3880 1615; 80 -41 -68
893 3857 1630; 166 -33 -72
900 3792 1663; 253 -32 -72
919 3704 1684; 309 -28 -74
946 3644 1682; 308 -25 -75
914 3650 1650; 247 -25 -71
879 3673 1587; 179 -27 -67
827 3742 1600; 136 -25 -66
829 3809 1611; 125 -27 -62
825 3791 1608; 150 -32 -60
772 3798 1594; 182 -35 -60
778 3810 1574; 211 -36 -58
762 3808 1599; 264 -40 -55
743 3755 1605; 338 -42 -56
764 3712 1633; 384 -44 -54
821 3671 1653; 406 -45 -49
840 3583 1668; 391 -45 -47
838 3554 1631; 338 -45 -43
874 3598 1560; 273 -45 -35
863 3635 1517; 232 -45 -29
834 3650 1544; 226 -47 -24
829 3626 1526; 232 -49 -17
838 3580 1540; 248 -53 -11
868 3539 1553; 252 -56 -6
880 3514 1550; 220 -59 1
908 3536 1566; 172 -66 13
916 3570 1595; 122 -74 22
944 3558 1554; 95 -78 29
991 3539 1535; 77 -87 38
1014 3590 1529; 52 -95 48
1001 3624 1587; 29 -103 57
1009 3583 1627; 21 -109 62
1060 3566 1633; 30 -116 74
1101 3538 1622; 49 -121 86
1114 3477 1596; 51 -128 95
1124 3426 1593; 47 -136 107
1110 3428 1538; 40 -146 122
1063 3388 1535; 16 -155 137
1061 3359 1525; -22 -166 150
1117 3401 1451; -63 -174 167
1138 3439 1406; -88 -187 182
1135 3531 1397; -99 -202 196
1105 3579 1439; -79 -211 204
1139 3623 1462; -40 -222 214
1179 3632 1530; -7 -229 220
1210 3584 1593; 23 -234 227
1201 3542 1650; 23 -230 230
1235 3563 1726; -19 -228 233
1263 3585 1752; -69 -221 234
1258 3592 1755; -101 -209 232
1228 3613 1798; -118 -197 228
1260 3651 1830; -134 -181 223
1272 3681 1785; -148 -165 216
1233 3736 1770; -132 -152 209
1209 3746 1728; -91 -133 199
1239 3734 1698; -46 -120 188
1230 3728 1671; 6 -110 177
1220 3690 1674; 21 -97 166
1262 3677 1653; -1 -89 156
1261 3660 1635; -32 -86 148
1230 3589 1587; -41 -83 139
1244 3516 1543; -51 -78 131
1288 3514 1488; -98 -79 128
1299 3522 1469; -141 -84 127
1335 3554 1436; -146 -87 123
1329 3580 1466; -110 -93 124
1323 3582 1524; -57 -99 126
1294 3522 1530; -14 -103 121
1322 3529 1528; -5 -106 121
1344 3535 1524; -21 -113 122
1367 3494 1557; -42 -118 118
1390 3524 1563; -67 -124 121
1377 3533 1565; -69 -130 125
1396 3436 1537; -45 -135 123
1368 3482 1575; -33 -141 128
1366 3520 1594; -26 -147 135
1371 3455 1584; -8 -150 133
