200 -4117 620; 82 9 -120
2099 -3856 1586; 1575 -216 -263
2839 -4858 1678; 2342 -155 -189
3252 -5805 2443; 2754 -113 -110
2968 -5138 3545; 2315 -86 6
2567 -3662 3361; 1401 -21 122
2265 -4045 2193; 1033 57 170
1795 -4294 2342; 1378 107 205
1580 -4042 2910; 2052 155 273
1997 -3267 2506; 2364 226 302
2127 -2700 2099; 2122 267 279
1722 -2250 2141; 1716 264 243
1380 -1956 1793; 1145 249 180
1131 -1800 1309; 586 203 81
910 -1810 1730; 433 118 -23
764 -1812 1642; 709 86 -129
876 -1672 1079; 1199 91 -249
1353 -1910 1470; 1606 10 -371
1209 -1668 1332; 1459 -88 -465
1279 -1812 1037; 1105 -161 -564
1543 -2109 1409; 857 -259 -659
1620 -1900 1548; 574 -351 -705
1513 -2074 1499; 475 -399 -754
1504 -2237 1793; 592 -438 -793
1407 -2238 2239; 749 -467 -778
1358 -2521 2631; 1011 -450 -743
1175 -3174 3588; 1293 -398 -684
875 -3548 4025; 1109 -289 -565
1091 -3124 3670; 687 -103 -404
1507 -3588 4128; 576 38 -264
1313 -4611 5767; 1165 180 -112
601 -3829 5773; 2392 498 142
1540 -4362 7214; 4325 884 376
1934 -4573 6953; 5325 1279 634
2420 -4872 7402; 5566 1698 862
3151 -5189 8010; 6372 2159 1014
3393 -4449 8165; 7052 2677 1172
3832 -3768 8508; 7723 3193 1215
3832 -2619 8586; 8125 3695 1134
3962 -1112 8301; 8305 4167 951
3742 -133 7724; 8067 4535 653
3198 1077 8249; 7478 4759 287
2353 228 9353; 6961 4906 -122
117 -1786 10904; 6045 5063 -547
1707 1411 8938; 3809 5213 -825
2239 4980 9330; 2556 5240 -942
1137 5201 11086; 5651 5218 -1280
-586 4041 11057; 10634 5307 -1976
-1859 4147 9252; 14620 5216 -2785
-2286 5849 8590; 16453 4681 -3644
-2118 3827 6468; 17123 3936 -4604
-1603 1912 4381; 16343 3074 -5347
-1103 2242 3098; 13449 2068 -5697
-993 1716 2181; 9576 1156 -5928
-1145 -2 670; 6978 562 -6096
-1005 -437 -398; 6618 93 -6064
-706 -501 -9; 7971 -470 -5973
-385 -984 78; 9746 -1099 -5859
-115 -1208 -310; 10430 -1779 -5605
129 -1396 -301; 9492 -2503 -5261
519 -1689 -995; 7677 -3097 -4919
760 -2025 -1872; 6242 -3521 -4575
789 -2451 -2140; 5788 -3895 -4225
1739 -2569 -2486; 6087 -4225 -3855
3062 -1252 -2894; 6784 -4526 -3396
3783 107 -2362; 7927 -4868 -2840
3787 -1932 -1408; 9549 -5182 -2292
3976 -4156 -846; 10977 -5421 -1628
3888 -3145 -723; 11960 -5555 -635
3269 -2456 -748; 12504 -5584 413
2611 -4153 -270; 12710 -5502 1332
2181 -4943 -328; 12541 -5233 2309
2003 -4504 -341; 12072 -4828 3300
1997 -4335 339; 11498 -4370 4159
2110 -4603 493; 10884 -3809 4881
2260 -4711 92; 10017 -3176 5510
2417 -4287 -42; 8767 -2596 6043
2776 -3758 -328; 7362 -2087 6453
3316 -3484 -1012; 6147 -1619 6760
3999 -3080 -1327; 5113 -1251 7001
4820 -2860 -1139; 4156 -974 7198
5268 -2112 -2053; 3265 -737 7354
5528 -1118 -2116; 2514 -566 7486
5857 218 33; 2073 -481 7570
5995 320 -750; 2195 -344 7614
7001 -161 -117; 2524 -129 7626
8125 510 463; 2338 40 7660
8166 521 365; 2431 256 7685
7913 705 -171; 2970 566 7668
7565 1051 -652; 4122 926 7665
7620 1285 -361; 6716 1399 7601
8155 1528 -823; 9708 2223 7470
8415 609 -1440; 10404 3197 7197
8885 -220 -1485; 8042 3905 6785
9365 363 -1456; 4711 4358 6499
9913 1527 -1190; 2428 4632 6350
10821 1377 131; 1582 4775 6204
11405 1365 926; 1099 4908 6077
11365 1665 559; 748 5052 5994
11603 929 706; 910 5170 5877
11898 -130 1135; 1013 5279 5741
12565 -400 1389; 809 5392 5642
12950 193 1503; 505 5472 5548
12961 1144 1245; 130 5505 5444
12317 2878 355; -2 5491 5353
11588 3166 -78; 596 5435 5168
10796 2414 366; 1234 5334 4866
9357 1292 904; 1266 5241 4548
8184 626 572; 816 5150 4263
7611 1255 357; 254 4923 4001
6986 1335 1319; -210 4558 3699
6154 1465 1207; -354 4191 3394
5364 1308 1160; -146 3788 3068
4764 728 1245; 238 3339 2680
4311 847 1062; 495 2921 2315
4347 508 1233; 738 2508 1966
4362 -452 2056; 867 2054 1583
4040 -842 2815; 737 1626 1250
4023 -722 2992; 599 1275 1004
4047 -1201 3367; 603 949 757
3921 -1512 3588; 611 652 535
3785 -1237 3723; 690 412 386
3821 -1411 3875; 922 219 245
4040 -2091 3484; 1140 71 118
4081 -2120 3210; 919 -82 31
3760 -1704 3624; 343 -250 -31
3475 -1324 3535; 39 -335 -69
3450 -1331 3372; 111 -380 -112
3450 -1366 3522; 211 -452 -164
3228 -1398 3646; 201 -498 -197
2980 -1455 3657; 137 -521 -225
2982 -1402 3661; 108 -542 -251
3002 -1340 3588; 121 -551 -272
2953 -1318 3489; 145 -552 -292
2867 -1377 3429; 144 -553 -313
2792 -1415 3358; 126 -547 -325
2680 -1422 3257; 106 -542 -334
2700 -1396 3164; 71 -535 -340
2696 -1313 3081; 16 -527 -345
2610 -1255 3087; -25 -521 -351
2566 -1219 3112; -1 -519 -360
2601 -1251 3105; 107 -509 -364
2574 -1364 3100; 173 -502 -365
2591 -1493 3176; 109 -497 -367
2650 -1451 3181; 2 -493 -361
2689 -1369 3116; -57 -487 -354
2707 -1343 3146; -71 -486 -353
2695 -1270 3106; -79 -483 -349
2673 -1253 3099; -51 -475 -344
2715 -1220 3094; 20 -471 -342
2745 -1193 3053; 105 -469 -336
2646 -1246 3062; 185 -465 -331
2634 -1344 3004; 188 -462 -328
2690 -1337 2983; 113 -463 -318
2743 -1250 2972; 28 -469 -306
2709 -1171 2871; -25 -473 -302
2707 -1090 2795; -12 -472 -293
2714 -1103 2781; 41 -473 -286
2728 -1100 2767; 100 -476 -283
2766 -1050 2781; 189 -482 -280
2830 -1033 2710; 277 -490 -273
2809 -1207 2690; 306 -499 -268
2800 -1220 2605; 258 -517 -263
2845 -1123 2470; 178 -540 -257
2861 -942 2380; 98 -566 -253
3004 -834 2455; 99 -603 -256
3060 -772 2449; 208 -648 -267
3060 -722 2398; 382 -698 -283
3095 -722 2256; 538 -753 -297
3170 -775 2199; 578 -823 -313
3143 -788 2201; 552 -904 -330
3149 -748 2108; 525 -990 -345
3180 -718 2006; 511 -1076 -364
3234 -626 1933; 501 -1168 -379
3175 -522 1982; 543 -1255 -392
3173 -531 2082; 673 -1336 -408
3172 -519 2082; 878 -1405 -415
3022 -240 2073; 1099 -1462 -413
2902 138 2183; 1437 -1503 -411
2698 440 2416; 1979 -1518 -406
2574 673 2943; 2659 -1487 -386
2509 789 2772; 3163 -1345 -328
2501 1612 1064; 3426 -1129 -238
2575 1030 2451; 3547 -1047 -236
2973 -419 6300; 2992 -968 -274
4207 -82 6202; 2050 -564 -224
5033 -337 5729; 1869 -2 -173
5106 -1021 7313; 1514 515 -184
5106 -48 8031; 1034 1153 -170
4936 1459 7871; 1057 1936 -146
4841 2358 9350; 1546 2701 -208
5011 3251 9979; 2445 3528 -340
5763 4275 10005; 3749 4394 -570
6335 5294 11023; 5180 5128 -967
7093 6490 11047; 6948 5773 -1543
8227 7958 10538; 9122 6262 -2334
9452 8906 10723; 11540 6438 -3389
11049 9038 9916; 14045 6282 -4657
11924 8475 8286; 16079 5700 -6001
12388 7945 8892; 17243 4550 -7200
12676 7455 9627; 16736 3083 -8144
11976 5072 7379; 12518 1759 -8795
11693 3068 2057; 4647 905 -9028
9477 11274 1050; 305 591 -8857
9868 13477 2569; 3867 439 -8939
7806 9057 3275; 10907 -229 -9200
3368 9908 4315; 16838 -1587 -9055
2372 9733 6616; 21202 -3445 -8419
3568 6567 5712; 22842 -5394 -7292
4645 1822 3585; 21183 -6889 -5740
4489 -156 2349; 17764 -7879 -3909
3817 452 2522; 13532 -8421 -2216
3710 1195 4714; 10288 -8639 -1004
3798 1870 6435; 9590 -8573 23
3761 2090 7650; 10146 -8282 1038
3912 1034 8540; 10430 -7915 2003
3582 126 7539; 9915 -7398 2932
3011 -349 5146; 8740 -6791 3746
2917 -401 4242; 7356 -6284 4398
2800 9 3407; 6849 -5802 4917
2682 117 2451; 8059 -5158 5395
2839 -205 3059; 10663 -4353 5933
3147 -156 5128; 13187 -3347 6534
3216 100 6178; 14516 -2075 7033
3428 655 7166; 14703 -662 7302
3685 1190 9153; 14674 733 7339
3017 336 9410; 15136 2184 7105
2417 -1287 7937; 15270 3683 6606
2343 -1642 7270; 14083 4921 5991
2638 -1934 7176; 11769 5846 5304
3071 -3200 6296; 8987 6542 4603
3487 -3426 4733; 6150 7022 4116
3785 -3334 3236; 3592 7301 3864
4546 -4045 1752; 1444 7440 3727
5425 -3992 228; -297 7476 3772
6062 -2738 -1007; -1402 7420 3996
6149 -2200 -1291; -1488 7313 4209
6046 -1608 -1335; -736 7221 4353
4445 4810 1675; 594 7211 4413
5890 -480 1342; 2891 7323 4196
7814 -699 1948; 4181 7520 3784
7918 907 2335; 4262 7753 3443
7914 739 1858; 4915 8005 3025
7804 -279 1801; 6332 8256 2380
8094 725 191; 8003 8527 1688
10172 -147 -288; 9486 8761 800
11819 -870 420; 7930 8801 -210
11350 -53 2935; 4346 8649 -861
11381 744 4022; 2568 8625 -1222
11590 1117 2173; 2406 8766 -1560
11664 1666 1725; 2362 8767 -1874
12009 2117 2893; 2306 8663 -2174
12004 2163 3735; 2396 8608 -2514
11790 2102 3515; 2504 8550 -2854
11913 2007 3315; 2369 8451 -3163
11435 2014 3081; 1863 8284 -3437
10650 2440 2857; 814 8043 -3600
10077 3218 2721; -95 7888 -3650
8650 3173 2344; -380 7819 -3673
7602 3571 3541; -847 7625 -3622
6644 2873 4489; -847 7346 -3550
5933 2472 3666; -766 7161 -3467
5183 2588 2334; -1107 6940 -3328
4333 2507 2221; -1433 6576 -3168
3268 2464 1600; -1321 6237 -2995
2227 2411 1831; -727 5886 -2822
2123 1670 2104; -11 5414 -2714
1790 1334 2383; 303 4875 -2599
288 1290 2492; 81 4351 -2459
-737 1231 2418; -273 3847 -2278
-1013 1098 2392; -391 3346 -2068
-1127 757 2654; -439 2871 -1859
-922 520 3186; -353 2427 -1630
-375 456 3379; -137 2016 -1387
-583 435 4041; 59 1606 -1165
-1146 762 4126; 204 1262 -952
-1275 1023 3848; 289 1002 -754
-1402 930 4105; 209 728 -580
-1595 1229 4282; -167 475 -406
-1562 1875 4205; -598 279 -237
-1389 2174 4396; -725 107 -122
-1285 2184 4545; -534 -35 -33
-1186 2145 4713; -254 -152 56
-1065 1876 4973; -62 -247 122
-982 1679 4910; -58 -303 183
-869 1767 4780; -150 -343 247
-953 1775 4724; -233 -387 293
-1211 1841 4629; -257 -415 325
-1191 2076 4410; -234 -427 354
-1044 2217 4237; -169 -441 368
-997 2250 4103; -41 -455 366
-1016 2241 3986; 117 -461 363
-1113 2111 3946; 227 -469 353
-1096 1993 3873; 252 -478 338
-1155 1947 3778; 204 -484 324
-1189 1937 3728; 127 -492 312
-1214 1873 3678; 58 -500 292
-1171 1886 3587; 5 -504 272
-1106 1910 3539; -15 -513 255
-1111 1834 3493; 6 -528 229
-1192 1816 3422; 54 -535 206
-1189 1859 3349; 91 -542 187
-1194 1870 3403; 116 -559 166
-1221 1873 3379; 145 -572 143
-1215 1734 3414; 172 -585 122
-1355 1525 3599; 114 -606 105
-1325 1444 3663; -66 -617 91
-1202 1452 3717; -286 -629 86
-1097 1609 3797; -491 -648 82
-1068 1721 3670; -580 -654 72
-1053 1853 3636; -498 -663 64
-1148 1803 3700; -312 -679 57
-1238 1685 3673; -95 -689 48
-1218 1640 3637; 89 -698 46
-991 1577 3704; 198 -719 52
-878 1391 3775; 199 -739 56
-825 1263 3835; 20 -761 68
-727 1408 3833; -266 -789 89
-580 1504 3676; -455 -815 105
-567 1556 3656; -444 -847 118
-699 1582 3634; -290 -878 133
-742 1498 3713; -64 -909 152
-632 1398 3747; 147 -941 173
-340 1301 3745; 242 -981 205
-153 1141 3819; 197 -1033 243
-25 986 3758; 22 -1095 289
-76 1003 3588; -205 -1165 337
-192 1111 3491; -331 -1254 390
-327 1230 3475; -296 -1353 441
-255 1416 3312; -121 -1451 496
-2 1574 3326; 188 -1558 558
250 1459 3467; 539 -1670 617
457 1104 3583; 743 -1782 681
634 1159 3665; 677 -1891 767
805 1286 3645; 499 -1989 851
976 1309 3708; 367 -2078 915
1178 1456 3828; 312 -2156 982
1281 1499 3939; 343 -2226 1043
1363 1494 4002; 391 -2275 1095
1456 1518 4014; 463 -2306 1149
1676 1466 3996; 526 -2326 1197
1777 1463 3903; 512 -2337 1238
1876 1510 3812; 467 -2336 1281
1962 1496 3729; 443 -2333 1313
1971 1443 3693; 409 -2319 1334
1728 1546 3721; 365 -2292 1349
1524 1794 3546; 416 -2249 1361
1478 1751 3223; 686 -2196 1363
1533 1715 3174; 1031 -2158 1363
1646 1816 2828; 1270 -2107 1363
1555 2037 2503; 1333 -2026 1349
1393 2778 2516; 1385 -1925 1316
1170 3210 3307; 1754 -1804 1252
1371 3254 4017; 1945 -1658 1139
1990 3628 3779; 1562 -1459 1002
1716 3850 2975; 1348 -1190 813
1885 4394 3408; 1286 -958 561
1760 5640 5397; 1429 -740 298
1577 5997 4761; 1965 -318 -54
1883 6465 5190; 2847 149 -498
2238 7889 6849; 3481 505 -942
3303 8825 6009; 3645 993 -1483
3919 9085 5014; 4164 1460 -2140
3777 10638 5726; 4479 1757 -2829
4242 12712 4835; 5292 2043 -3558
5170 14502 3915; 6828 2217 -4381
6230 16420 4864; 9101 2075 -5253
7843 16837 5205; 11840 1669 -6153
10020 15039 5235; 14661 942 -6988
11879 12508 5317; 16694 -202 -7529
12591 10130 4439; 17857 -1618 -7622
12980 6807 3635; 17322 -3108 -7322
11250 5194 1142; 13282 -4428 -6863
9043 5517 -4892; 6037 -5161 -6440
6379 10344 -8133; 1939 -5389 -6182
4143 13151 -5082; 5144 -5718 -6030
-1091 9815 -234; 11188 -6269 -5630
-2508 7739 2897; 17192 -6920 -4637
21 6102 1769; 20714 -7512 -3025
1740 3009 778; 21631 -7822 -1070
1995 -813 1328; 20296 -7778 891
2027 -1069 2089; 16490 -7377 2627
2049 2750 2145; 11554 -6811 3900
1860 5235 3646; 8832 -6298 4669
1210 6260 5774; 8820 -5719 5151
775 5803 5655; 9702 -4942 5621
789 3543 4357; 9636 -4061 6026
589 1097 3775; 8299 -3301 6301
819 497 2981; 6288 -2689 6540
1151 950 2012; 4727 -2182 6693
1833 1525 1731; 4558 -1755 6758
2354 2238 2358; 6013 -1255 6819
2753 2515 3436; 8359 -562 6852
3478 2582 3360; 10610 338 6789
4199 3865 5150; 13261 1430 6612
4331 5149 6790; 16714 2734 6253
4075 5176 7845; 19648 4205 5462
3406 5201 9708; 20738 5514 4273
2690 5122 10778; 19684 6490 2855
2336 2763 10993; 16960 7125 1279
1945 405 11397; 13260 7416 -67
1661 -1719 11084; 8875 7522 -973
2114 -4713 9164; 4079 7596 -1545
2923 -5654 5302; -342 7742 -1644
3412 -3763 2622; -2920 7888 -1292
3370 -2125 2820; -2686 7964 -889
1684 8752 263; -803 8072 -659
3621 1669 2641; 1917 8200 -748
6740 1284 2421; 3264 8204 -1152
7416 2863 1783; 2387 8196 -1476
7982 3172 2096; 2456 8204 -1788
8637 3022 3557; 3835 8158 -2218
9102 2403 4355; 5922 8156 -2796
10043 2777 4956; 7912 8073 -3592
12462 2299 5441; 10026 7740 -4535
14739 32 3757; 12000 7229 -5650
15518 -3951 1375; 11890 6494 -6777
15090 -3360 1724; 8309 5546 -7559
13270 501 1984; 2935 4867 -7857
13125 3534 362; -506 4757 -7991
13869 3372 -1147; -856 4846 -8093
15092 2759 -343; 198 4804 -8163
15403 2999 884; 966 4659 -8270
14935 3512 577; 1110 4471 -8361
13162 2123 -772; 1179 4239 -8445
11372 907 -1423; 1354 3974 -8473
11869 3409 -1145; 835 3699 -8366
11127 2630 -1739; 319 3454 -8271
9438 1338 -1041; 202 3164 -8160
6599 4026 -273; -802 2879 -7750
5214 3922 -794; -1309 2715 -7400
4916 1815 -2031; -1293 2588 -7118
3993 2509 -1544; -499 2314 -6595
3102 2616 -662; 263 1949 -6112
2643 1838 -276; 699 1614 -5716
2156 2655 626; 769 1247 -5156
1542 3012 990; 583 903 -4622
896 2844 958; 416 669 -4201
638 3454 1722; 564 451 -3710
1044 3454 2070; 705 276 -3265
1565 3046 1645; 607 171 -2906
1028 4303 2203; 517 24 -2478
221 4265 2311; 609 -75 -2140
209 3531 1945; 724 -80 -1899
157 4069 2040; 616 -119 -1581
-149 4368 1911; 278 -150 -1316
-280 4348 1490; 19 -122 -1132
34 4741 1283; -7 -107 -917
130 4834 1440; 14 -128 -734
-13 4752 1559; 31 -119 -614
-261 4945 1476; 108 -78 -488
-441 4823 1687; 251 -54 -386
-522 4504 1861; 340 -24 -317
-475 4549 1615; 265 24 -236
-394 4473 1394; 88 52 -171
-343 4348 1164; -63 67 -124
-420 4443 868; -131 85 -69
-524 4406 718; -191 95 -32
-536 4343 619; -223 93 -9
-620 4453 576; -193 87 27
-660 4425 580; -89 82 50
-692 4203 689; 63 70 59
-726 4149 775; 199 60 77
-716 4038 846; 250 51 92
-642 3886 964; 141 37 103
-576 3920 933; -81 25 121
-626 3979 844; -265 10 138
-901 4020 760; -335 -8 144
-1157 4115 729; -286 -26 156
-1047 4054 592; -153 -41 161
-841 3938 512; -4 -60 160
-806 3984 557; 118 -82 166
-804 3930 636; 190 -104 171
-838 3892 744; 205 -123 167
-847 3857 824; 151 -140 165
-797 3845 833; 28 -151 163
-797 3856 862; -83 -166 158
-854 3938 816; -125 -174 154
-871 3945 800; -77 -180 146
-866 3877 868; 15 -185 134
-821 3860 930; 92 -187 125
-774 3848 1033; 141 -186 117
-725 3796 1053; 157 -184 104
-749 3815 1027; 134 -179 93
-748 3828 970; 103 -172 82
-687 3787 952; 58 -169 67
-724 3796 896; 15 -166 54
-804 3899 938; -1 -161 42
-842 3841 986; 7 -158 26
-910 3825 1022; 24 -154 15
-945 3810 1073; 63 -149 3
-883 3754 1073; 92 -143 -10
-744 3734 1048; 128 -139 -16
-734 3694 1018; 122 -135 -21
-752 3689 1005; 70 -134 -28
-793 3759 980; 14 -131 -31
-787 3773 957; -20 -131 -33
-778 3796 966; -35 -130 -39
-751 3855 927; -36 -132 -42
-798 3927 921; -34 -133 -46
-799 3979 972; -15 -134 -55
-802 4049 1031; 17 -132 -64
-778 4111 1066; 15 -131 -72
-701 4180 1057; -15 -130 -84
-616 4239 1076; -43 -127 -95
-568 4225 1090; -71 -125 -105
-605 4283 1126; -90 -121 -112
-575 4261 1207; -92 -117 -119
-580 4194 1336; -103 -110 -117
-606 4134 1476; -171 -105 -95
-584 4021 1474; -256 -98 -60
-471 3877 1325; -303 -86 -13
-384 3623 1464; -253 -82 55
-246 3355 1653; -235 -84 151
-124 3299 1547; -378 -81 283
-69 3177 1578; -485 -92 448
-143 3142 1612; -534 -115 642
-175 3146 1502; -535 -136 859
-156 3036 1312; -421 -162 1092
106 2895 1227; -264 -204 1341
676 3001 960; -66 -325 1922
586 2987 982; -10 -396 2207
641 2996 1090; 32 -464 2481
998 2994 1201; 80 -532 2753
1281 3110 1421; 33 -599 2998
1536 3432 1335; -60 -659 3220
1807 3798 1243; 3 -708 3415
1928 4026 1311; 165 -750 3559
2032 4054 1462; 371 -773 3660
2257 3876 1346; 570 -766 3734
2317 3910 1070; 783 -746 3783
2098 3841 975; 1171 -706 3795
1870 3774 685; 1618 -643 3776
2132 3560 495; 2012 -558 3737
2284 3599 -10; 2120 -477 3668
2143 4261 -290; 1866 -436 3557
1707 4655 -741; 1613 -407 3379
1704 4729 -1166; 1544 -376 3120
1085 5619 -1365; 1638 -382 2808
1128 6049 -1557; 2011 -399 2397
1128 4947 -1714; 2227 -397 1851
1057 7234 -2624; 2469 -327 1466
771 9703 -2069; 3087 -348 998
1485 7652 -1122; 3650 -467 93
1957 9263 -2207; 3354 -512 -731
2443 11311 -3467; 3189 -625 -1527
3095 11276 -3889; 3308 -911 -2560
4150 13385 -6212; 4000 -1172 -3519
5356 15438 -8491; 5343 -1556 -4422
6808 16291 -9356; 7457 -2248 -5327
8435 17553 -10597; 10286 -3132 -5957
10718 16723 -10363; 13497 -4268 -6252
13271 14562 -7010; 16466 -5729 -6081
14804 12511 -3239; 18405 -7139 -5281
16071 7587 1003; 18942 -8179 -3950
15503 2614 -2362; 17206 -8693 -2236
14444 1188 -6567; 11453 -9098 -716
11991 1500 -6448; 1446 -9601 -190
7445 5552 -13669; -2564 -9437 -572
1524 12789 -13295; 3490 -9298 -461
-3297 12042 -1169; 14587 -9426 452
-1040 4999 -1420; 23772 -8751 2101
1050 -2734 -2056; 25412 -7338 4359
2582 -3955 1792; 21400 -5920 6507
1066 1920 1100; 14114 -4552 7648
2236 3885 -1409; 10219 -3323 8105
2330 7683 -403; 10285 -2315 8437
1469 11188 1869; 11023 -1351 8529
705 11158 1987; 11516 -172 8391
-89 6917 825; 10845 1060 7980
354 3005 961; 9333 2019 7517
869 2616 1541; 8050 2770 7251
1149 2397 980; 7734 3459 6891
2451 2059 1167; 9112 4152 6333
3437 4111 1619; 11935 4990 5747
4435 6616 1790; 14393 5890 4904
5423 6645 2769; 15842 6618 3566
6373 7153 2659; 16747 7169 2067
6129 8415 1432; 17052 7497 540
5165 8720 1404; 17103 7406 -1083
4725 8312 1897; 16760 6958 -2673
4334 7170 2743; 15982 6292 -4121
3538 6122 3844; 14628 5424 -5297
2650 4960 4580; 12251 4512 -6170
1902 2592 5349; 9049 3701 -6814
1278 919 5320; 5564 3095 -7176
1263 121 4387; 2193 2804 -7302
1843 -117 3391; -366 2759 -7326
2139 -646 -94; -1609 2846 -7261
2230 1609 -2333; -899 2965 -7164
3262 1658 -1618; 1203 2944 -7174
4391 2076 -747; 2990 2691 -7268
4892 2405 -339; 4221 2301 -7400
4765 2706 163; 5333 1847 -7564
4821 2676 1035; 5912 1283 -7707
4874 2784 1245; 5737 703 -7832
