-1314 -2696 -2733; 7 -143 -17
-2664 -2201 -3272; 524 -417 322
-2510 -2263 -3237; 557 -442 343
-2281 -2408 -3136; 509 -468 364
-2182 -2530 -3012; 461 -496 389
-2191 -2496 -2830; 430 -523 419
-2066 -2576 -2872; 402 -539 445
-2341 -2802 -2999; 449 -552 477
-2312 -2913 -3261; 539 -571 517
-2204 -3179 -3422; 631 -581 556
-1810 -3357 -3590; 642 -592 600
-1832 -3484 -3866; 577 -605 640
-1906 -3542 -4108; 507 -608 675
-2064 -3656 -4324; 488 -600 704
-2108 -3883 -4443; 493 -584 722
-2109 -4436 -4825; 486 -550 722
-1582 -4481 -5235; 305 -499 698
-1617 -4686 -5455; -40 -381 598
-1563 -6017 -7893; -768 -153 402
-2497 -5819 -7548; -1461 -5 265
-3416 -3770 -5351; -1844 61 152
-3504 -4676 -5846; -1475 493 -251
-4253 -3168 -5185; -589 1032 -645
-4307 -1529 -4287; -61 1487 -1044
-4138 -2323 -5015; 64 2145 -1715
-4461 -1516 -4587; -18 2791 -2336
-4295 -897 -3944; -5 3375 -2939
-4358 -988 -4062; -22 4035 -3666
-4273 124 -3669; -197 4642 -4307
-3280 720 -3274; -359 5217 -4913
-2498 1014 -2860; -589 5792 -5517
-1461 1755 -1817; -1018 6306 -5988
285 1796 -1604; -1747 6818 -6371
1775 1034 -1183; -2254 7337 -6638
3026 468 -552; -1876 7806 -6732
4014 -411 -708; -1199 8226 -6776
4578 -1394 -878; -918 8506 -6842
4939 -2019 -506; -668 8675 -6806
5254 -3084 -839; 101 8739 -6669
5617 -2330 -62; 248 8571 -6457
6487 -3258 -799; -557 8431 -6343
8180 -5434 -3712; -1033 8512 -6195
5733 -3903 -3420; -1000 8211 -5628
4726 -4263 -3289; -1012 7706 -5054
3369 -7097 -4644; -682 7290 -4595
889 -5468 -4381; -627 6582 -3818
-1455 -5599 -3996; -492 5736 -3057
-3456 -6000 -5456; -253 4986 -2409
-5922 -4811 -4914; -149 3988 -1551
-7746 -4770 -5233; -154 2885 -711
-9048 -4942 -5904; -250 1868 65
-9800 -4117 -5763; -410 733 941
-9288 -4451 -6190; -396 -425 1754
-7776 -4290 -6694; -154 -1527 2501
-5346 -4073 -6820; 23 -2660 3288
-2745 -4401 -7213; 283 -3724 4004
-57 -4734 -7295; 587 -4712 4668
2811 -4812 -7411; 908 -5637 5363
5276 -5147 -7426; 1231 -6431 6001
7148 -5303 -7186; 1491 -7068 6585
8557 -4955 -7163; 1704 -7574 7167
9460 -4709 -7290; 1923 -7970 7709
10305 -5394 -7338; 2263 -8290 8223
11817 -5186 -5966; 2802 -8470 8742
12220 -5722 -4879; 3098 -8345 9201
9696 -5651 -2987; 2259 -8139 9519
5997 -4096 -1674; 1138 -8019 9645
4814 -5368 -2538; 887 -7727 9519
4258 -5510 -3057; 1161 -7412 9456
2962 -2751 -653; 1652 -7185 9533
2186 -5155 -536; 2438 -6472 9241
-668 -4819 -220; 2358 -5521 8883
-4177 -1678 1649; 1059 -4874 8612
-3530 -5399 470; -131 -4116 7820
-4459 -6451 -2840; -1963 -3443 6946
-4152 -6417 -6677; -3402 -3048 6166
-3464 -8265 -8297; -3247 -2557 5155
-2999 -8711 -9413; -1417 -1891 4133
-3573 -9031 -9100; 870 -1195 3213
-3853 -8306 -7050; 2763 -513 2327
-4530 -7052 -5271; 3583 155 1386
-4832 -7173 -4762; 3074 787 225
-4989 -7025 -4600; 1929 1286 -969
-5207 -6254 -4739; 1017 1730 -2082
-5301 -5064 -5201; 398 2156 -3186
-4917 -3940 -5061; -128 2526 -4292
-4290 -2788 -4968; -607 2883 -5333
-3258 -2373 -4630; -1182 3268 -6302
-2229 -2163 -4652; -1817 3671 -7191
-778 -1953 -4393; -2389 4118 -7931
748 -1199 -3877; -2801 4629 -8522
1803 -363 -3628; -3273 5210 -8984
2721 83 -3168; -3907 5842 -9291
3861 363 -2723; -4464 6509 -9423
4571 324 -2360; -4674 7239 -9378
4806 378 -2014; -4367 7937 -9230
5112 264 -1947; -3936 8558 -8989
4991 -1441 -2606; -3653 9067 -8723
4992 -3291 -3391; -3644 9372 -8277
4822 -2720 -2885; -3586 9528 -7587
5754 -2825 -2564; -3523 9723 -7059
5434 -6258 -5450; -3345 10019 -6656
4135 -7806 -5717; -1807 9884 -5952
3967 -5466 -3621; -1405 9393 -5207
2799 -9409 -7426; -1151 9029 -4738
1525 -8470 -7188; -911 8345 -4002
-390 -8200 -6729; -1107 7405 -3100
-2203 -9188 -8452; -867 6590 -2434
-5087 -7365 -7339; -643 5477 -1563
-7084 -6674 -6797; -533 4163 -686
-8982 -7290 -8155; -227 2948 36
-10446 -4857 -6448; 124 1485 919
-10057 -4562 -6726; 401 146 1640
-9175 -3939 -6860; 662 -1109 2289
-7161 -3250 -6992; 730 -2420 3004
-4155 -3365 -7326; 834 -3711 3676
-945 -3676 -7677; 1070 -4920 4307
2249 -3823 -7851; 1301 -6053 4976
5526 -4530 -8080; 1529 -7077 5628
8908 -5264 -8526; 1832 -7960 6267
11540 -5665 -8238; 2173 -8660 6916
13256 -6039 -8327; 2379 -9152 7559
14777 -6274 -8671; 2591 -9557 8189
16276 -6373 -7614; 3056 -9869 8817
16211 -6459 -6051; 3198 -9940 9389
14288 -5893 -5807; 2603 -9845 9856
11988 -5271 -4860; 2027 -9696 10114
9376 -5528 -4057; 1736 -9386 10135
8349 -6293 -4750; 1920 -8878 10100
6456 -3812 -635; 2014 -8562 10258
3129 -3072 1538; 234 -8134 9923
-45 -4453 422; -1599 -7370 9038
-3241 -661 638; -2744 -6894 8266
-3692 -1075 -212; -3027 -6468 7141
-3643 -5437 -7333; -2504 -5505 5794
-2867 -5574 -8300; -1362 -4675 4847
-2886 -6302 -5757; 12 -3973 4000
-4060 -6725 -5877; 623 -2804 2892
-4575 -6287 -4247; 21 -1803 1780
-4657 -5102 -3271; -1016 -1053 748
-4563 -4789 -6521; -1886 -80 -345
-3490 -5698 -9419; -2582 860 -1457
-2503 -7018 -10828; -2619 1635 -2418
-3267 -8320 -11824; -1935 2450 -3194
-5633 -9097 -11168; -1181 3199 -3859
-6437 -9701 -9467; -980 3783 -4503
-6668 -9455 -7642; -1052 4349 -5084
-6363 -7425 -5474; -1016 4958 -5494
-5257 -5190 -3466; -1162 5551 -5851
-3309 -3322 -2045; -1438 6160 -6242
-2002 -1305 -339; -1597 6808 -6541
-365 1034 1049; -1877 7472 -6771
829 2677 2148; -2299 8119 -7028
1374 3527 2651; -2651 8764 -7224
1517 4678 2766; -2551 9398 -7288
1821 4069 2533; -1965 9918 -7363
1574 3391 2636; -1241 10278 -7458
745 1780 -140; -803 10569 -7559
2046 1579 964; -657 10508 -7509
4439 5002 2169; -812 10354 -7356
4479 -7753 -3525; 1329 10556 -7614
5077 -4068 -3832; 1151 9966 -7503
4466 -3834 -2237; -2487 9036 -6742
4331 -7223 -8189; -2049 8810 -6281
1249 -5452 -6521; -2079 7959 -5285
589 -5739 -7654; -2169 6703 -4300
-2119 -5836 -7501; -2113 5632 -3434
-3909 -2828 -5656; -1796 4094 -2310
-4954 -4048 -6867; -1321 2820 -1590
-6556 -4877 -6622; -1204 1458 -865
-7181 -4161 -5783; -987 -85 82
-6666 -5136 -5976; -540 -1526 833
-5750 -6142 -5065; 78 -2916 1517
-3597 -5393 -5258; 683 -4207 2387
-1067 -5198 -5936; 1345 -5328 3208
1717 -5463 -5679; 2031 -6308 3940
4338 -4550 -6310; 2429 -7075 4783
6562 -4403 -6139; 2663 -7639 5610
7904 -4977 -6214; 2946 -8077 6343
9658 -5770 -6503; 3347 -8425 7078
11211 -4534 -5798; 3692 -8645 7876
11578 -4785 -6259; 3863 -8587 8545
10156 -5354 -5441; 3832 -8403 9127
8603 -5138 -5659; 3576 -8209 9705
7934 -6458 -5764; 3566 -7858 10071
7970 -7493 -4935; 3745 -7433 10356
7369 -6644 -4173; 3809 -6987 10696
6410 -6034 -2719; 3355 -6431 10905
5077 -4101 -3461; 1535 -5912 10788
2245 -1715 -3781; -26 -5732 10563
549 -532 -2229; -198 -5589 10195
54 -3924 -2409; 728 -5089 9488
-1229 -2243 -1212; 2029 -4455 8942
-1731 -1730 -50; 2869 -3761 8381
-2099 -3626 -1733; 1476 -3034 7337
-3314 -3309 -3223; -1288 -2554 6199
-4041 -4375 -6156; -3337 -2204 4889
-4988 -5838 -6776; -3468 -1901 3514
-6139 -5026 -5664; -2126 -1502 2378
-7748 -6889 -5897; -844 -857 1149
-7863 -8554 -6196; -552 -244 -116
-8006 -8706 -5655; -647 264 -1180
-7179 -8428 -6955; -862 900 -2222
-6093 -8331 -7569; -1501 1495 -3245
-5056 -7037 -7071; -2145 2005 -4064
-4561 -6218 -7427; -2652 2660 -4771
-4618 -6771 -7818; -2981 3336 -5442
-4824 -6784 -6669; -2814 3927 -5937
-4921 -6209 -5750; -2464 4573 -6307
-4650 -5556 -5169; -2506 5256 -6665
-3647 -4761 -4253; -2839 5865 -6948
-1976 -3634 -3395; -3117 6512 -7095
-613 -2380 -2835; -3225 7220 -7137
444 -1781 -1532; -3105 7869 -7127
1186 -1064 -441; -2987 8469 -7078
1474 -398 -180; -2938 9095 -6965
1058 175 -234; -2886 9651 -6808
764 682 -363; -2635 10090 -6639
1554 420 -875; -2037 10476 -6467
2173 373 -1729; -1442 10729 -6297
2582 814 -2262; -1109 10718 -6104
1142 -135 -264; -446 10572 -5870
2096 -2682 -139; 1049 10616 -5973
3043 -1796 -1464; 1532 10536 -6149
2570 -7908 -539; 2144 9889 -6047
2727 -746 -4218; -137 9244 -5737
1899 -6717 -6149; -1386 8796 -5392
-53 -3222 -5738; -1993 7955 -4646
-748 -4551 -6092; -2308 7023 -3800
-2502 -5825 -7570; -2278 6107 -3104
-4722 -5510 -6810; -1758 4688 -2195
-5949 -4287 -5277; -1075 3117 -1312
-6698 -4951 -7040; -475 1911 -706
-8260 -4389 -6024; -127 558 -29
-7836 -3688 -5975; 23 -937 730
-6933 -3741 -6093; 343 -2313 1368
-5667 -3343 -5524; 781 -3629 2015
-3423 -2717 -5538; 1017 -4811 2713
-1020 -2937 -5695; 1173 -5850 3329
1555 -3589 -5869; 1451 -6768 3903
4373 -4096 -6276; 1782 -7531 4535
6954 -5086 -6640; 2104 -8158 5152
8895 -6479 -6532; 2360 -8640 5763
10371 -7499 -6706; 2621 -8989 6436
11373 -7685 -6501; 3119 -9287 7147
12332 -8729 -6633; 3883 -9367 7839
13850 -7520 -7259; 4549 -9225 8621
13599 -7268 -6297; 4602 -8970 9365
11891 -7888 -6930; 3894 -8616 9906
10414 -8215 -6910; 3135 -8326 10339
9534 -6665 -7460; 2656 -8114 10650
10060 -6529 -7155; 2423 -7845 10733
10545 -4417 -5634; 1966 -7455 10726
8951 -2298 -5692; 1418 -7119 10694
5071 -1803 -4062; 1447 -6796 10383
2314 -2975 -2800; 782 -6342 9779
204 -2423 -2641; -282 -5725 9020
-1002 -2799 -1038; -1572 -5307 7996
-2115 -4093 -2820; -2544 -4715 6670
-4444 -4151 -3998; -2672 -3944 5437
-5133 -5048 -4541; -1787 -3222 4236
-6857 -5970 -5267; -694 -2315 2999
-7222 -5603 -4861; 116 -1298 1867
-7030 -6771 -3631; 425 -319 647
-7294 -6720 -2674; 325 671 -539
-6222 -6188 -3168; -330 1642 -1622
-4857 -7051 -3967; -1359 2478 -2721
-4480 -6807 -5736; -2098 3306 -3586
-4327 -5758 -7575; -2426 4129 -4233
-3809 -5934 -7913; -2627 4827 -4878
-3100 -4869 -8069; -2756 5477 -5390
-2822 -3791 -7340; -2622 6102 -5718
-2094 -2908 -5740; -2298 6622 -6009
-1420 -1900 -4007; -2141 7106 -6258
-510 -578 -2956; -2214 7630 -6426
919 -34 -1613; -2451 8128 -6539
1671 325 -927; -2596 8596 -6547
2220 932 -723; -2431 9055 -6487
2623 1455 -503; -2269 9453 -6398
2864 1620 -1781; -2459 9821 -6307
2873 2120 -2586; -2578 10083 -6117
2116 183 -3461; -1547 10136 -5866
1399 578 -1144; 247 10004 -5644
2274 -572 -806; 954 9902 -5730
3364 -2804 -2128; 1115 9884 -6022
4655 -6501 -687; 2190 9481 -5902
3110 -4169 -2684; 1850 8823 -5687
2857 -6892 -4180; -1262 8238 -5427
2734 -5482 -6040; -1310 7682 -4863
364 -3953 -5061; -2123 6803 -3912
-935 -6090 -7448; -2440 5943 -3280
-3736 -5225 -6452; -2445 4879 -2442
-5521 -5079 -6878; -1801 3520 -1484
-7681 -5636 -5027; -904 2167 -807
-8681 -5466 -5723; -348 931 -131
-9847 -4939 -5501; -27 -390 637
-9476 -4655 -4567; 325 -1812 1355
-7650 -4755 -5400; 658 -3070 2028
-5127 -4299 -5527; 920 -4273 2773
-2313 -4541 -5935; 1118 -5459 3487
839 -5172 -6551; 1432 -6488 4146
3706 -5190 -7022; 1846 -7372 4850
5845 -5131 -7212; 2194 -8130 5557
7603 -5153 -7203; 2539 -8696 6225
9215 -5154 -7797; 2907 -9072 6878
10151 -4795 -7812; 3255 -9410 7580
10897 -4844 -7267; 3764 -9687 8309
12772 -5332 -7985; 4270 -9652 8921
14590 -6187 -7242; 4575 -9406 9510
12926 -7498 -5235; 4456 -9078 10111
8341 -7026 -5373; 2777 -8726 10496
6944 -6307 -6578; 695 -8427 10490
7257 -6369 -6339; -219 -8260 10319
5169 -3533 -3045; -445 -8478 10237
3758 -4660 -1615; 461 -8185 9856
807 -5074 -1840; 734 -7336 9289
-1941 -2626 204; -346 -6784 8731
-2285 -1997 -1166; -1466 -6221 7799
-3476 -3789 -5141; -1489 -5267 6489
-5087 -3547 -4792; -700 -4405 5340
-6085 -3944 -3266; 564 -3534 4296
-7903 -3765 -2394; 1625 -2318 3103
-8028 -3558 -852; 1474 -1223 1825
-6925 -5090 -1513; 498 -249 424
-5947 -5392 -3584; -600 804 -935
-4744 -4506 -5093; -1539 1653 -2035
-3909 -6488 -7778; -2202 2482 -3169
-3939 -7393 -9625; -2369 3309 -4059
-4165 -6824 -9586; -2188 3972 -4669
-4045 -7176 -8849; -2142 4544 -5286
-3533 -6863 -8217; -2367 5105 -5781
-3134 -5777 -7452; -2772 5612 -6039
-2332 -5572 -6718; -3158 6102 -6202
-1311 -5340 -6796; -3272 6638 -6312
-877 -4363 -6845; -3049 7153 -6278
-539 -3515 -6047; -2717 7574 -6214
90 -2804 -5220; -2590 7984 -6145
444 -1984 -4079; -2425 8387 -6051
711 -844 -2708; -2079 8748 -5928
1016 -482 -1166; -1786 9079 -5809
955 -146 -882; -1759 9423 -5690
1461 301 -1116; -1832 9740 -5572
1330 1776 -1326; -1719 9935 -5398
1372 -245 -2208; -790 10080 -5256
418 -69 -2712; 319 10032 -5121
-1609 1135 -765; 1281 9745 -5057
-288 -2854 -1437; 2808 9647 -5413
584 -6317 -1655; 3403 9478 -5774
923 -3297 -214; 2610 8812 -5661
3188 -3189 -1140; 173 8211 -5449
858 -5048 -4254; -571 7799 -5184
-66 -3468 -4114; -1536 7063 -4379
-702 -4444 -5936; -2062 6287 -3721
-2477 -5808 -6365; -2275 5427 -3056
-4966 -4111 -5555; -2155 4255 -2084
-6227 -4780 -6843; -1680 2952 -1276
-7058 -3824 -5130; -880 1600 -589
-6823 -3228 -6114; -153 330 131
-6324 -3449 -5606; 369 -997 803
-5389 -3253 -4427; 774 -2418 1520
-3543 -3314 -4946; 838 -3679 2254
-2210 -3767 -4998; 918 -4814 2951
-550 -3762 -4848; 1179 -5907 3664
1547 -3411 -4969; 1487 -6863 4393
3700 -3494 -5531; 1906 -7624 5084
6141 -3707 -5767; 2361 -8240 5789
7853 -4009 -5356; 2787 -8704 6515
9388 -5089 -5436; 3116 -8970 7174
10728 -4962 -5543; 3435 -9108 7873
11308 -5262 -5284; 3865 -9172 8587
10877 -6801 -5094; 4157 -9023 9202
9721 -6959 -5895; 3876 -8705 9768
8278 -6479 -5471; 3684 -8410 10268
8940 -6378 -4312; 4132 -8006 10644
9195 -6091 -2657; 3850 -7420 10884
7703 -7404 -4036; 2072 -6823 10938
3466 -2792 -3142; -483 -6695 10930
1042 -2744 -2476; -784 -6797 10595
2688 -4537 -4052; 265 -6400 10000
772 -4596 -3008; 1814 -5820 9662
-1373 -3548 -1277; 3683 -5066 9354
-3280 -5144 -86; 4281 -4070 8764
-5314 -3242 1072; 3015 -3109 8114
-6137 -2943 772; 251 -2450 7194
-6038 -4942 -2294; -1798 -1922 5877
-6314 -5294 -4223; -1379 -1423 4796
-7342 -4613 -4088; 615 -911 3873
-8753 -5131 -4026; 1880 -277 2643
-7983 -5775 -4262; 1241 232 1249
-7209 -5440 -3417; 202 549 17
-6799 -4539 -3823; -18 907 -1128
-5892 -4428 -4695; -412 1209 -2279
-4752 -4978 -6050; -1433 1423 -3375
-4191 -5643 -7397; -2322 1703 -4331
-4309 -6166 -7438; -2650 2030 -5141
-4862 -6290 -6296; -2878 2339 -5836
-4411 -6041 -5656; -3467 2715 -6420
-3812 -5517 -5113; -3979 3224 -6874
-3366 -4847 -4647; -3979 3803 -7190
-3150 -3948 -3035; -3827 4411 -7383
-1570 -2388 -2853; -4153 5090 -7525
-412 -1613 -2206; -4588 5798 -7606
731 -1017 -1383; -4759 6520 -7545
2043 -405 -1572; -4900 7267 -7372
3098 -609 -1867; -5118 7989 -7109
3322 -537 -1629; -5167 8641 -6745
3383 -986 -1881; -4879 9268 -6282
3166 -1267 -2236; -4476 9798 -5781
2018 -547 -2384; -3948 10113 -5298
2588 60 -2646; -2817 10332 -4829
2659 -1484 -2557; -734 10365 -4468
2238 -1313 -1019; 708 10174 -4329
1533 -3152 -4451; 829 10168 -4514
2057 -7526 -1577; 1126 10083 -4579
1861 -3118 187; 778 9596 -4215
4707 -3900 -878; -525 9181 -4046
6508 -4992 -3958; -543 8835 -3836
4477 -2554 -3947; -937 8131 -3181
3326 -4355 -5942; -1645 7478 -2772
1544 -4761 -7309; -2196 6760 -2264
-1172 -2981 -5002; -2045 5620 -1493
-2399 -3796 -5352; -1545 4554 -1006
-3646 -3149 -4624; -849 3474 -537
-4735 -1901 -3656; -351 2193 35
-5244 -2395 -3720; -74 1051 434
-5789 -1936 -2986; 171 -56 857
-5340 -1624 -2269; 314 -1210 1330
-4066 -1987 -2701; 522 -2247 1704
-2678 -1418 -2531; 846 -3209 2123
-750 -1056 -2736; 1042 -4107 2554
1020 -1377 -2919; 1159 -4886 2901
2501 -945 -3128; 1320 -5576 3281
4059 -911 -2858; 1377 -6186 3656
5475 -1240 -3060; 1372 -6672 3952
6703 -1082 -3361; 1412 -7064 4259
7784 -1172 -2888; 1541 -7382 4551
8251 -1425 -2900; 1680 -7599 4796
8613 -1384 -2943; 1632 -7739 5042
8723 -1840 -3112; 1369 -7816 5231
8523 -2547 -3209; 837 -7838 5349
7828 -2114 -2221; -17 -7834 5403
5854 -1793 -1748; -1001 -7763 5289
4777 -2303 -2964; -1340 -7529 5047
4381 -3610 -2003; -748 -7350 4796
2301 -3034 -868; -330 -7266 4729
1751 -2081 -886; -5 -6887 4663
1393 -2769 -2015; 387 -6285 4383
484 -1985 -2778; 479 -5836 4199
477 -1890 -3926; 412 -5368 4036
-246 -2902 -5643; 290 -4841 3700
-705 -2861 -5416; 433 -4492 3428
-794 -2456 -4707; 866 -4147 3224
-1087 -2528 -5095; 643 -3738 2916
-1104 -2310 -4601; -196 -3492 2581
-1062 -2472 -4377; -898 -3268 2261
-1676 -3034 -5105; -1227 -2946 1903
-1982 -3272 -4516; -1175 -2718 1586
-2069 -3437 -4205; -731 -2502 1317
-2226 -3658 -4557; -203 -2195 1075
-2244 -3438 -4395; 194 -1964 874
-1783 -3358 -4114; 441 -1772 697
-1409 -3313 -4285; 448 -1538 549
-1682 -3090 -4139; 144 -1358 421
-1726 -3237 -4059; -378 -1242 282
-1311 -3293 -4153; -774 -1116 166
-1443 -3052 -4194; -943 -1005 82
-1630 -3016 -4244; -924 -915 -13
-1466 -2929 -4065; -753 -820 -82
-1740 -2860 -3884; -513 -720 -123
-1951 -3015 -3723; -358 -632 -174
-1975 -3066 -3498; -295 -566 -209
-1893 -3102 -3406; -316 -496 -215
-1857 -3119 -3495; -396 -423 -227
-1701 -3113 -3526; -446 -361 -236
-1582 -3003 -3472; -366 -306 -219
-1543 -2791 -3483; -198 -246 -206
-1691 -2651 -3397; -120 -199 -206
-1554 -2556 -3200; -62 -163 -198
-1767 -2501 -3053; 54 -106 -188
-1952 -2427 -2979; 142 -54 -187
-1863 -2328 -2810; 134 -18 -185
