-1308 -3472 -1381; -354 -105 -28
-1090 -3487 -1827; 210 4 -16
-1062 -3448 -1776; 203 2 -16
-1002 -3350 -1784; 109 -4 -5
-967 -3443 -1839; -15 -2 -14
-916 -3538 -1921; -110 -3 -18
-984 -3391 -1980; -154 -11 -5
-1092 -3439 -1899; -126 -15 -5
-1110 -3609 -1967; -60 -16 -10
-1212 -3499 -2044; 47 -19 -2
-1186 -3465 -1926; 185 -24 6
-1157 -3555 -1877; 274 -27 3
-1062 -3630 -1887; 281 -30 9
-1077 -3458 -1885; 226 -29 18
-1055 -3519 -1769; 153 -29 21
-1118 -3548 -1675; 66 -29 23
-1076 -3467 -1704; 24 -27 29
-1166 -3465 -1770; 72 -24 33
-1059 -3428 -1829; 154 -24 28
-987 -3538 -1756; 222 -25 32
-971 -3332 -1752; 238 -23 40
-1034 -3470 -1817; 173 -26 39
-971 -3622 -1759; 55 -30 34
-1013 -3455 -1669; -2 -34 41
-1110 -3210 -1577; 53 -37 47
-1106 -3506 -1530; 61 -32 42
-1060 -3376 -1665; -64 -28 41
-1114 -3372 -1889; -238 -24 44
-1459 -3301 -2012; -346 -24 37
-1182 -3293 -2150; -381 -28 33
-1251 -3262 -2256; -327 -28 29
-1004 -3355 -1800; 81 -36 18
-1016 -3382 -1496; 274 -40 19
-1140 -3289 -1832; -267 -12 7
-1155 -3364 -1805; -423 -4 6
-1129 -3369 -1773; -405 -3 1
-1157 -3506 -1794; -349 11 -5
-1163 -3550 -1895; -344 31 -5
-1217 -3368 -1914; -340 38 4
-1157 -3166 -1864; -306 47 6
-1158 -3387 -2017; -277 67 4
-1182 -3525 -2056; -220 77 7
-1052 -3325 -2177; -150 78 16
-1062 -3267 -2220; -88 84 21
-1213 -3290 -2462; -68 86 22
-1197 -3167 -2455; -88 74 24
-1084 -3017 -2364; -104 58 24
-1005 -3302 -2341; -54 48 20
-865 -3405 -2177; -2 36 11
-1057 -3251 -2371; 53 27 16
-1128 -3201 -2341; 80 13 19
-998 -3165 -2306; 69 -7 9
-1037 -3153 -2258; 55 -22 4
-915 -3416 -2167; 17 -41 3
-1122 -3204 -2291; -21 -48 0
-1062 -3172 -2119; -35 -61 -5
-1026 -3258 -2151; -58 -78 -8
-1131 -3135 -2165; -76 -82 -14
-1070 -3304 -2040; -81 -92 -26
-1091 -3136 -2107; -94 -99 -31
-1133 -3231 -2145; -139 -106 -36
-1137 -3188 -2280; -165 -105 -45
-1211 -3237 -2201; -144 -110 -52
-1298 -3141 -2161; -117 -121 -57
-1177 -3319 -2205; -113 -121 -64
-1316 -3184 -2240; -118 -122 -70
-1309 -3259 -2243; -119 -127 -72
-1156 -3230 -2156; -90 -132 -79
-1107 -3188 -2166; -83 -133 -86
-1059 -3376 -2161; -99 -133 -86
-1102 -3158 -2179; -121 -136 -91
-1118 -3221 -2130; -143 -136 -97
-1090 -3322 -2124; -162 -136 -98
-1235 -3276 -2135; -188 -133 -99
-1226 -3291 -2193; -190 -125 -104
-1320 -3224 -2227; -131 -119 -104
-1301 -3174 -2180; -29 -117 -102
-1114 -3305 -2178; 19 -112 -102
-1130 -3197 -2097; -31 -108 -104
-1148 -3250 -2158; -107 -99 -103
-1121 -3156 -2134; -162 -90 -102
-1099 -3175 -2232; -198 -85 -102
-1079 -3218 -2206; -207 -82 -107
-987 -3253 -2220; -181 -76 -107
-1099 -3101 -2237; -134 -68 -103
-1079 -3237 -2208; -100 -66 -101
-1151 -3129 -2169; -117 -64 -99
-1064 -3133 -2173; -165 -59 -95
-1055 -3246 -2256; -175 -56 -89
-1038 -3077 -2230; -154 -53 -85
-983 -3123 -2289; -130 -54 -80
-959 -3217 -2311; -109 -58 -75
-1014 -3226 -2309; -92 -65 -65
-1012 -3180 -2284; -84 -71 -57
-1136 -3219 -2314; -90 -82 -48
-1292 -3025 -2274; -97 -97 -37
-1098 -3231 -2260; -107 -112 -27
-1138 -3162 -2349; -154 -132 -19
-1068 -3490 -2403; -211 -162 -6
-1014 -3560 -2584; -210 -196 10
-1165 -3558 -2723; -147 -232 26
-1272 -3771 -2666; -74 -282 42
-1191 -3820 -2703; -47 -345 58
-1176 -3948 -2891; -35 -414 72
-876 -4355 -3068; -45 -496 81
-931 -4278 -3376; -84 -587 88
-886 -4407 -3542; -62 -680 93
-866 -4595 -3691; -2 -781 83
-1071 -4473 -3827; 132 -881 69
-906 -4810 -3954; 273 -988 42
-1049 -4835 -3998; 368 -1070 4
-996 -5167 -3875; 341 -1132 -55
-1051 -5243 -3534; 340 -1158 -124
-1461 -5230 -3009; 461 -1129 -201
-1669 -5069 -2227; 604 -1046 -306
-1682 -4941 -2193; 879 -880 -426
-1638 -4984 -1596; 1164 -668 -567
-1645 -4647 -1059; 1296 -419 -697
-1779 -3842 -710; 1254 -135 -829
-1290 -3665 -816; 1177 170 -1034
-1081 -3705 326; 1192 512 -1259
-876 -3327 -486; 1217 979 -1448
-616 -3116 -660; 1303 1366 -1675
-29 -2781 -153; 1405 1655 -1921
318 -2365 -564; 1349 1996 -2150
719 -2008 -1112; 978 2322 -2384
1061 -2331 -1232; 607 2561 -2634
1459 -2010 -1402; 507 2767 -2832
1794 -1819 -1860; 388 2949 -2997
2126 -2038 -1962; 225 3074 -3176
2152 -2178 -2060; 90 3163 -3323
2271 -2263 -2505; 24 3231 -3419
2246 -2398 -2400; -10 3241 -3497
1979 -2408 -2618; -185 3229 -3569
2219 -2367 -2703; -459 3208 -3613
2183 -1934 -2689; -853 3152 -3619
2245 -2130 -2870; -1268 3089 -3614
2287 -2229 -3171; -1305 3015 -3594
2196 -2037 -3146; -1076 2907 -3546
2010 -2066 -3191; -1069 2776 -3507
1761 -2203 -3565; -1311 2633 -3475
1671 -2582 -3518; -1419 2447 -3401
1411 -2189 -3168; -1396 2227 -3280
1264 -2460 -2933; -1436 2011 -3181
1111 -2631 -3081; -1503 1794 -3077
939 -2783 -2938; -1500 1549 -2929
692 -2783 -2912; -1347 1279 -2764
745 -2950 -2935; -1299 999 -2601
581 -3235 -2872; -1352 704 -2422
550 -3325 -2836; -1371 401 -2209
453 -3319 -2841; -1335 100 -1997
481 -3538 -2606; -1201 -214 -1784
421 -3352 -2345; -1010 -534 -1533
427 -3103 -2151; -871 -831 -1274
523 -3436 -2107; -707 -1117 -1040
718 -3315 -2016; -469 -1403 -772
737 -2897 -1992; -339 -1676 -481
1075 -3041 -2085; -327 -1925 -218
1334 -3145 -2148; -302 -2162 48
1484 -2867 -2025; -157 -2390 339
1656 -2938 -2039; 32 -2585 620
1712 -2907 -2195; 214 -2758 892
1932 -3003 -2219; 414 -2925 1175
2119 -2946 -2232; 627 -3077 1462
2351 -3188 -2443; 770 -3192 1736
2220 -3335 -2702; 937 -3281 2005
2645 -3308 -2826; 1094 -3365 2280
2811 -3229 -2903; 1245 -3431 2546
2860 -3412 -3076; 1471 -3452 2793
2891 -3203 -3128; 1634 -3460 3035
2637 -3095 -3024; 1636 -3458 3254
2672 -3463 -3173; 1507 -3441 3423
2681 -3267 -3415; 1464 -3430 3574
2991 -3250 -3646; 1476 -3410 3704
2927 -3198 -3839; 1472 -3357 3771
2379 -3437 -4151; 1652 -3290 3803
2003 -3264 -3556; 1966 -3250 3842
1524 -3242 -3174; 1984 -3185 3850
1145 -3604 -3347; 1742 -3076 3773
663 -3707 -3562; 1680 -2985 3676
486 -3453 -3696; 1702 -2922 3579
-230 -3063 -3559; 1686 -2852 3426
-628 -3036 -3932; 1320 -2754 3184
-755 -3742 -3607; 1136 -2706 2896
-981 -3203 -3517; 1461 -2666 2671
-1045 -2678 -3012; 2028 -2601 2449
-868 -3033 -2842; 2494 -2495 2155
-1079 -3099 -2631; 2826 -2367 1874
-1681 -2960 -2287; 2741 -2256 1611
-1657 -3496 -1679; 2386 -2142 1301
-2022 -3169 -1698; 2008 -2014 1009
-2011 -3178 -1024; 1608 -1888 730
-1841 -3486 -808; 1134 -1741 416
-1776 -4059 -905; 876 -1549 81
-2007 -4043 -854; 932 -1346 -203
-2267 -3911 -7; 1026 -1138 -452
-2067 -4297 673; 889 -871 -725
-2269 -4393 578; 530 -552 -977
-2136 -4276 851; 43 -226 -1195
-1922 -4586 974; -339 90 -1425
-1411 -4960 1427; -556 430 -1637
-1408 -4607 988; -618 849 -1800
-1092 -4508 813; -711 1274 -1950
-831 -4312 994; -855 1644 -2105
-649 -3865 1033; -1114 2027 -2243
-193 -3403 737; -1453 2449 -2376
187 -2661 378; -1826 2838 -2501
765 -2263 106; -2232 3197 -2612
1746 -2101 -691; -2481 3545 -2711
2075 -1710 -1434; -2405 3866 -2801
2283 -1591 -1802; -1993 4128 -2879
2530 -1094 -1727; -1827 4328 -2966
2472 -911 -2665; -2141 4529 -3077
3004 -1433 -3033; -2350 4651 -3169
3247 -1052 -3485; -2293 4694 -3181
3559 -1295 -3948; -1915 4717 -3212
3498 -1870 -4235; -1446 4690 -3270
3412 -1861 -4478; -1299 4599 -3290
3391 -1945 -4968; -1377 4479 -3294
3341 -2301 -5173; -1316 4320 -3300
3057 -2038 -5352; -1255 4091 -3286
3058 -2008 -5292; -1309 3810 -3248
3173 -2240 -5405; -1291 3525 -3203
3224 -2508 -5550; -1223 3228 -3140
2077 -2445 -5339; -1101 2858 -3046
2136 -2805 -4800; -1038 2468 -2939
1392 -2904 -4931; -1022 2104 -2831
834 -2967 -4422; -971 1714 -2686
358 -2680 -3797; -994 1306 -2512
624 -2872 -3501; -1107 930 -2343
347 -3005 -3554; -1095 562 -2173
403 -2698 -3349; -930 175 -1969
493 -2433 -3133; -821 -201 -1747
472 -2493 -2911; -836 -547 -1539
652 -2513 -2818; -825 -886 -1337
336 -2358 -2668; -750 -1232 -1110
582 -2311 -2427; -703 -1548 -878
849 -2719 -2547; -703 -1816 -662
820 -2628 -2421; -618 -2081 -434
1068 -2604 -2379; -419 -2351 -193
1451 -2502 -2587; -178 -2594 36
1757 -2210 -2520; 21 -2809 279
2008 -1995 -2721; 127 -2994 533
2176 -1689 -3009; 240 -3169 764
2514 -1835 -3001; 416 -3349 983
2611 -2079 -2996; 597 -3496 1211
2559 -2136 -3127; 724 -3600 1454
2670 -2384 -3308; 878 -3690 1696
2821 -2822 -3358; 1075 -3767 1943
2809 -2913 -3421; 1303 -3809 2205
2584 -3357 -3180; 1501 -3819 2470
2252 -3438 -3176; 1531 -3806 2730
2377 -3640 -3429; 1614 -3774 2977
2549 -3522 -3496; 1955 -3714 3219
2127 -3288 -3799; 2412 -3606 3467
1934 -3174 -3880; 2812 -3486 3687
2033 -3170 -3207; 2979 -3366 3876
1760 -3071 -3024; 2527 -3225 4015
992 -3162 -2997; 1864 -3074 4074
399 -2944 -3312; 1372 -2958 4067
276 -2590 -3949; 1227 -2879 4014
298 -2572 -4120; 1356 -2829 3882
54 -2506 -4650; 1763 -2745 3691
-498 -2745 -4241; 2545 -2646 3512
-1594 -1784 -3219; 2915 -2564 3357
-2034 -1575 -2936; 2485 -2428 3098
-2191 -1992 -2858; 2025 -2318 2720
-2208 -1766 -2606; 1855 -2260 2373
-2375 -1288 -2410; 1887 -2191 2031
-2428 -1432 -2459; 1890 -2087 1606
-2404 -2023 -2761; 1959 -2000 1160
-2393 -2258 -2707; 2221 -1953 765
-2416 -2516 -2869; 2481 -1910 398
-5533 384 573; 2334 -1875 40
-2026 -740 -9915; 1738 -1713 -231
-858 -8038 941; 492 -1006 -831
-266 -8264 -5284; -241 -428 -1332
-1681 -5802 -5132; -170 -48 -1572
-2058 -7010 -2228; -285 -229 -1670
-1087 -3657 -2485; 76 -389 -1680
-1588 -4813 -2875; 579 -197 -2197
-1966 -6270 -2109; 169 -30 -2330
-2159 -4231 852; -278 79 -2188
-1796 -4249 -1437; -767 425 -2225
-2469 -4661 -1407; -1277 669 -2415
-968 -5902 499; -1264 774 -2472
-164 -4593 -1252; -1008 1113 -2352
-633 -4945 -1474; -552 1422 -2309
-298 -5386 -1128; -393 1604 -2314
141 -5443 -1816; -381 1843 -2243
97 -5353 -1868; -241 2069 -2142
169 -5388 -1315; -118 2232 -2067
235 -5093 -1679; 9 2421 -1979
36 -4966 -1365; 171 2582 -1869
334 -4808 -846; 245 2701 -1774
290 -4754 -1220; 60 2857 -1693
308 -4602 -1294; -91 3006 -1604
149 -3845 -765; -212 3104 -1505
26 -3039 -866; -489 3222 -1425
272 -2685 -887; -853 3322 -1385
448 -2409 -768; -1112 3388 -1347
871 -1828 -1291; -1102 3467 -1304
743 -1193 -1570; -963 3520 -1319
660 -842 -1865; -938 3530 -1385
892 -79 -2098; -928 3496 -1462
817 610 -2041; -971 3409 -1575
1173 613 -2624; -1029 3328 -1744
1446 1026 -3049; -1044 3216 -1909
1490 1271 -3535; -1269 3037 -2074
1556 576 -4026; -1439 2843 -2263
1632 674 -4664; -1455 2602 -2428
1771 336 -4639; -1578 2298 -2591
1857 -102 -4982; -1693 1981 -2745
1773 -471 -4940; -1692 1665 -2857
1632 -770 -4654; -1626 1323 -2916
1365 -1137 -4286; -1658 987 -2946
1241 -1676 -4209; -1771 665 -2944
1300 -2069 -4053; -2005 350 -2903
1441 -2478 -4050; -2183 53 -2825
1470 -2656 -3867; -2126 -223 -2704
1505 -2806 -3567; -2066 -500 -2542
1490 -3069 -3523; -1981 -772 -2357
1486 -3506 -3546; -1770 -1033 -2147
1457 -3702 -3525; -1569 -1290 -1898
1612 -3802 -3397; -1464 -1545 -1609
1567 -4042 -3431; -1364 -1785 -1301
1518 -4170 -3265; -1137 -2022 -992
1617 -4095 -3276; -833 -2256 -650
1865 -3866 -3315; -470 -2474 -285
2119 -3526 -3489; -133 -2680 79
2545 -3191 -3556; 165 -2859 442
2590 -3114 -3639; 464 -3002 809
2616 -3008 -3666; 699 -3130 1172
2716 -3306 -3506; 974 -3249 1520
2553 -3338 -3398; 1271 -3332 1865
2475 -3619 -3176; 1527 -3379 2206
2065 -3505 -2957; 1640 -3394 2524
2005 -3161 -3403; 1653 -3391 2805
2395 -2712 -4115; 1738 -3394 3046
2775 -2460 -4413; 1880 -3396 3240
2592 -2159 -5269; 2025 -3372 3389
2135 -2031 -5268; 2349 -3380 3496
1606 -2142 -4352; 2660 -3409 3568
1386 -2236 -3984; 2271 -3376 3591
656 -2303 -3891; 1528 -3325 3540
-16 -2270 -3875; 1259 -3315 3427
133 -2407 -3797; 1591 -3315 3284
64 -1991 -3836; 2049 -3272 3136
-124 -2066 -3913; 2567 -3172 2952
-682 -1679 -3896; 3309 -3039 2758
-1169 -1434 -3270; 3686 -2929 2569
-1661 -1180 -2567; 3499 -2819 2340
-2148 -1207 -2244; 2963 -2687 2031
-2273 -1805 -2012; 2418 -2550 1672
-2540 -1798 -1493; 2111 -2433 1337
-2717 -1805 -1213; 1908 -2300 992
-2525 -2427 -1168; 1812 -2147 596
-2516 -2783 -1387; 1925 -1991 231
-2530 -2585 -1468; 2155 -1839 -87
-2523 -2499 -1270; 2215 -1697 -406
-2316 -2872 -1180; 1887 -1553 -727
-2202 -3008 -724; 1256 -1413 -1016
-1936 -3179 -659; 566 -1255 -1291
-1598 -4059 -394; 57 -1055 -1568
-1598 -4424 -121; -142 -810 -1787
-1349 -4664 -216; -211 -538 -1946
-1268 -5476 217; -143 -252 -2083
-1412 -5321 -19; -50 77 -2177
-1556 -4989 351; -10 393 -2250
-911 -5616 907; -141 708 -2312
-666 -5637 456; -487 1094 -2311
-554 -5360 567; -774 1490 -2249
-243 -5798 338; -889 1896 -2185
233 -6004 170; -657 2280 -2122
197 -5591 -43; -316 2627 -2001
528 -5021 -396; -103 2944 -1873
825 -4719 -632; -168 3239 -1794
837 -4158 -845; -484 3505 -1707
1140 -3728 -1039; -923 3732 -1597
880 -3370 -1671; -1257 3933 -1500
810 -3609 -1913; -1167 4091 -1427
1299 -3106 -2297; -653 4203 -1349
1481 -2204 -2434; -134 4264 -1312
1467 -1638 -2607; -161 4275 -1372
1774 -1217 -2863; -652 4255 -1476
1808 -301 -2993; -1014 4204 -1553
2032 218 -3376; -1072 4129 -1641
2451 183 -3775; -927 4025 -1809
2628 612 -4263; -953 3877 -1990
2615 925 -4508; -1021 3695 -2167
2672 1145 -4469; -1024 3485 -2384
2612 987 -4489; -1065 3230 -2610
2632 731 -4502; -1183 2951 -2810
2478 228 -4509; -1405 2672 -2992
2500 -307 -4702; -1608 2401 -3153
2658 -846 -4315; -1693 2115 -3259
1936 -642 -4454; -1692 1813 -3312
2113 -1507 -4214; -1659 1531 -3349
1820 -2069 -4093; -1619 1247 -3354
1610 -2301 -4014; -1581 958 -3297
1617 -2550 -3718; -1613 674 -3214
1543 -2593 -3898; -1772 401 -3112
1476 -3166 -3915; -1921 120 -2990
1584 -2978 -3964; -1994 -156 -2830
1564 -2905 -3906; -1899 -438 -2651
1677 -3125 -3857; -1739 -727 -2476
1620 -3031 -3824; -1565 -1020 -2291
1658 -2912 -3701; -1406 -1314 -2084
1642 -3150 -3574; -1237 -1596 -1872
1488 -3015 -3400; -1096 -1873 -1654
1727 -2976 -3314; -1044 -2143 -1412
1735 -2934 -3350; -924 -2390 -1175
1755 -2838 -3551; -766 -2629 -944
2182 -2764 -3540; -649 -2888 -700
2499 -2718 -3663; -529 -3127 -444
2411 -2984 -3777; -254 -3312 -187
2396 -3005 -3862; 66 -3474 95
2305 -2951 -3561; 341 -3656 394
2312 -3399 -3572; 596 -3823 675
2441 -3146 -4032; 829 -3941 973
2761 -3065 -4422; 1041 -4054 1294
3254 -3429 -4525; 1248 -4149 1600
3384 -3825 -4712; 1516 -4186 1889
2948 -3987 -4379; 1929 -4206 2204
2082 -3978 -3630; 2462 -4215 2540
1835 -4013 -3769; 2840 -4153 2844
2236 -3572 -4572; 2996 -4046 3111
2625 -3175 -4710; 3104 -3965 3356
2659 -2529 -4552; 2766 -3873 3544
1953 -1638 -5212; 1896 -3751 3602
1240 -1348 -4840; 1272 -3700 3511
1240 -1463 -4660; 1601 -3653 3370
1148 -1070 -4693; 2447 -3535 3216
833 -777 -4468; 3266 -3401 3047
244 -162 -4282; 3929 -3240 2854
-291 140 -3767; 4116 -3052 2605
-1362 1155 -2223; 3505 -2873 2280
-2039 580 -2699; 2561 -2688 1833
-2010 435 -1513; 1833 -2560 1324
-1967 508 -2064; 1482 -2439 838
-2092 -2 -2487; 1351 -2275 323
-1927 -696 -2651; 1277 -2144 -220
-1646 -1847 -3562; 1198 -1988 -708
-1729 -2499 -3727; 1180 -1856 -1126
-1647 -3242 -3524; 1291 -1772 -1485
-1423 -3918 -2981; 1425 -1664 -1789
-1709 -4314 -2311; 1328 -1517 -2012
-1698 -4638 -1381; 912 -1344 -2173
-1195 -4658 -748; 470 -1121 -2295
-1342 -5270 -460; 190 -833 -2405
-1368 -5493 -2; 180 -556 -2469
-1243 -5535 555; 275 -259 -2477
-615 -5801 691; 311 161 -2421
-813 -6201 364; 106 593 -2346
-818 -6489 1079; -233 1001 -2229
-619 -6872 399; -735 1426 -2069
-436 -6723 230; -1012 1864 -1852
-402 -6787 -137; -930 2311 -1601
175 -6631 -634; -737 2723 -1337
405 -6244 -937; -409 3066 -1060
774 -5896 -1302; 126 3388 -798
1023 -5030 -1227; 619 3657 -565
1171 -4357 -1531; 668 3878 -392
1543 -4279 -1784; 504 4065 -270
1196 -3193 -1730; 501 4228 -148
983 -2321 -1893; 483 4357 -65
1677 -2230 -1693; 273 4414 -84
2023 -1813 -2118; 161 4460 -125
1847 -1003 -2550; 552 4492 -186
1778 -688 -2163; 1269 4464 -330
1532 571 -2346; 1670 4436 -554
1973 771 -2553; 1391 4389 -834
2185 817 -3177; 427 4271 -1131
2227 799 -3336; -461 4115 -1421
2469 934 -3742; -710 3947 -1690
2439 1339 -4143; -675 3744 -1937
2434 1366 -4798; -725 3508 -2230
2571 1174 -5007; -1040 3226 -2546
2804 871 -4930; -1326 2921 -2838
2802 662 -4939; -1490 2608 -3080
3010 721 -4868; -1753 2300 -3305
2908 271 -4983; -2075 2008 -3526
3160 -480 -5191; -2190 1710 -3696
2609 -662 -4819; -2220 1402 -3804
3053 -1214 -4528; -2322 1123 -3888
2882 -1823 -4616; -2491 865 -3961
2742 -1755 -4543; -2552 598 -3969
2616 -2136 -4208; -2434 330 -3921
2464 -2486 -4085; -2418 74 -3847
2120 -3155 -4387; -2508 -170 -3768
2491 -3894 -4488; -2491 -425 -3644
2354 -4265 -4394; -2343 -692 -3442
2004 -4199 -4475; -2178 -950 -3194
2208 -4475 -4352; -2075 -1213 -2933
2113 -4587 -4136; -1987 -1497 -2655
2120 -4966 -3982; -1722 -1780 -2349
2116 -4665 -3906; -1298 -2047 -2008
2191 -4387 -3634; -783 -2316 -1641
2292 -4065 -3560; -349 -2577 -1261
2517 -3621 -3468; -2 -2822 -883
2669 -3328 -3421; 319 -3041 -503
2651 -3208 -3585; 646 -3229 -122
2481 -3360 -3245; 994 -3413 251
2760 -3223 -3229; 1273 -3581 629
2926 -3247 -3415; 1514 -3693 1004
2895 -2965 -3434; 1702 -3776 1359
3171 -2899 -3473; 1903 -3845 1706
3326 -2525 -3513; 2194 -3888 2047
3202 -2463 -3590; 2557 -3899 2366
3272 -2357 -3782; 2927 -3885 2673
3291 -2163 -3931; 3268 -3851 2981
2960 -2131 -3533; 3128 -3799 3243
2913 -2377 -3918; 2351 -3730 3420
3009 -2091 -4541; 1819 -3695 3547
2985 -2242 -4732; 2004 -3684 3637
2767 -2114 -5191; 2552 -3615 3681
2417 -1819 -5496; 3305 -3500 3718
1575 -1952 -4802; 3956 -3407 3748
1233 -1877 -4572; 4124 -3272 3726
574 -1932 -4012; 4172 -3092 3659
-105 -1046 -3672; 3592 -2931 3551
-465 -1528 -4344; 2678 -2803 3339
-578 -872 -2903; 1988 -2740 3052
-867 -1366 -3781; 2319 -2654 2756
-1470 -1093 -3411; 2875 -2526 2458
-1642 -1417 -3343; 3538 -2424 2152
-2391 -994 -2958; 3955 -2308 1843
-2756 -1821 -2319; 3722 -2236 1482
-2598 -1710 -2745; 3421 -2146 1129
-2329 -1711 -2176; 3021 -2089 827
-2219 -2237 -1924; 2516 -2031 497
-2101 -2899 -1736; 2150 -1942 138
-2273 -2796 -903; 2000 -1861 -149
-2479 -2908 -193; 1906 -1751 -401
-2704 -3336 161; 1750 -1593 -679
-2542 -3188 717; 1548 -1432 -932
-2502 -3435 651; 1277 -1257 -1159
-2194 -3644 1273; 960 -1046 -1366
-2412 -3587 1717; 685 -758 -1544
-1760 -3585 1330; 347 -405 -1709
-1996 -4196 1440; 202 -96 -1896
-1531 -4110 1607; 142 179 -2031
-971 -4536 1642; 151 494 -2137
-1150 -4601 1603; 108 852 -2229
-705 -4261 1605; -59 1229 -2288
-443 -4351 1431; -277 1611 -2348
-142 -4228 1547; -515 1971 -2386
-67 -3794 1540; -778 2332 -2398
639 -4057 811; -894 2717 -2393
736 -3780 976; -787 3057 -2357
1141 -3240 439; -742 3371 -2321
1342 -3108 -7; -881 3661 -2302
1914 -2890 126; -1223 3886 -2269
1848 -2286 -621; -1703 4114 -2210
2090 -2041 -992; -2072 4310 -2145
2362 -1783 -1114; -2170 4427 -2080
2297 -1066 -1088; -2023 4526 -2010
2315 -1104 -2432; -1750 4616 -1979
2315 -379 -3234; -1478 4605 -2001
2465 -559 -3158; -1302 4494 -2081
3083 -299 -3642; -1447 4380 -2184
3336 -92 -4866; -1687 4268 -2290
3618 880 -5499; -2131 4084 -2384
