-2378 -3065 -927; 186 47 -45
-2324 -3617 -2339; -308 -353 -7
-2388 -3742 -2468; -78 -396 -40
-2339 -3734 -2629; 26 -454 -81
-2240 -3646 -2748; 91 -509 -128
-2201 -3690 -2962; 211 -551 -194
-2213 -3673 -2883; 369 -586 -269
-2301 -3526 -2895; 542 -615 -341
-2336 -3449 -2810; 667 -651 -436
-2272 -3389 -2240; 774 -725 -557
-2279 -3226 -2034; 908 -729 -676
-2329 -3235 -1488; 1031 -703 -806
-2405 -3212 -1060; 1152 -652 -940
-2475 -3273 -626; 1273 -561 -1073
-2506 -3319 -293; 1392 -448 -1212
-2467 -3416 -30; 1443 -315 -1345
-2267 -3592 75; 1449 -149 -1471
-2064 -3784 153; 1437 42 -1586
-1918 -4013 201; 1427 244 -1690
-1812 -4229 176; 1369 451 -1778
-1663 -4397 178; 1281 651 -1852
-1492 -4658 77; 1233 857 -1910
-1359 -4859 -36; 1260 1059 -1950
-1174 -5006 -152; 1359 1251 -1971
-1037 -5074 -363; 1478 1432 -1982
-1086 -5070 -553; 1605 1588 -1986
-1055 -4977 -633; 1680 1713 -1987
-919 -4996 -762; 1629 1818 -1990
-766 -4904 -883; 1561 1909 -1988
-832 -4742 -1097; 1594 1979 -1975
-924 -4628 -1251; 1601 2021 -1976
-811 -4366 -1272; 1443 2029 -1979
-649 -4121 -1485; 1172 2024 -1986
-605 -3795 -1668; 963 2006 -1992
-489 -3525 -1698; 863 1963 -2000
-333 -3371 -1814; 770 1903 -2017
-305 -3226 -1874; 660 1828 -2041
-344 -3076 -1896; 580 1740 -2070
-521 -2992 -1858; 497 1642 -2108
-624 -2733 -1776; 398 1528 -2146
-609 -2502 -1697; 312 1400 -2188
-568 -2360 -1749; 245 1273 -2235
-501 -2195 -1797; 201 1138 -2279
-396 -2050 -1906; 120 999 -2324
-330 -1964 -2018; -93 839 -2373
-219 -1905 -2075; -349 661 -2419
-93 -1845 -2243; -555 502 -2451
-59 -1857 -2267; -699 338 -2482
-53 -1834 -2238; -832 165 -2507
36 -1809 -2237; -972 -1 -2522
121 -1895 -2257; -1088 -161 -2527
216 -2006 -2316; -1200 -317 -2525
386 -2141 -2313; -1306 -468 -2511
495 -2096 -2320; -1408 -612 -2485
545 -2066 -2276; -1578 -748 -2458
618 -2085 -2237; -1741 -874 -2426
699 -2205 -2334; -1811 -987 -2378
795 -2358 -2380; -1830 -1098 -2317
856 -2491 -2415; -1874 -1205 -2245
887 -2374 -2422; -1958 -1312 -2151
931 -2296 -2238; -2085 -1400 -2062
935 -2713 -2366; -2221 -1461 -1993
885 -3166 -2266; -2401 -1519 -1897
823 -3680 -1747; -2563 -1581 -1755
944 -3802 -1553; -2657 -1612 -1571
1060 -4125 -1259; -2545 -1612 -1375
1038 -4447 -1212; -2344 -1598 -1178
953 -4797 -937; -2155 -1592 -956
1187 -5160 -466; -1876 -1603 -682
944 -5206 -823; -1507 -1590 -365
1062 -5354 -989; -1037 -1538 -27
1261 -5325 -951; -512 -1529 328
1361 -5145 -1317; -78 -1501 700
1460 -4959 -1549; 282 -1460 1073
1488 -4541 -1697; 590 -1435 1435
1625 -4222 -1903; 862 -1403 1775
1626 -3954 -2057; 1084 -1357 2094
1673 -3706 -2155; 1212 -1318 2392
1754 -3721 -2251; 1265 -1277 2656
1725 -3828 -2381; 1291 -1232 2888
1683 -3761 -2384; 1351 -1195 3103
1687 -3675 -2502; 1494 -1157 3303
1717 -3599 -2767; 1672 -1117 3479
1686 -3588 -3006; 1807 -1074 3631
1640 -3536 -3163; 1827 -1044 3754
1587 -3440 -3397; 1817 -1029 3859
1314 -3065 -3456; 1794 -1013 3932
930 -3159 -3480; 1618 -1029 3950
623 -3036 -3431; 1457 -1067 3952
472 -3282 -3302; 1382 -1094 3933
392 -3470 -3707; 1366 -1087 3910
108 -2958 -3605; 1385 -1100 3896
-257 -2957 -3129; 1535 -1141 3813
-707 -2819 -3203; 1660 -1145 3689
-1264 -2242 -2753; 1700 -1143 3562
-1826 -1911 -2168; 1728 -1145 3389
-2228 -2083 -2085; 1627 -1123 3145
-2460 -1788 -1937; 1437 -1109 2902
-2394 -1676 -1666; 1331 -1099 2642
-2429 -1980 -1657; 1353 -1055 2339
-2691 -2049 -1532; 1556 -998 2056
-2765 -1964 -1183; 1820 -945 1798
-2893 -2054 -1121; 1820 -884 1532
-3007 -2064 -1004; 1339 -827 1265
-2965 -2071 -1042; 507 -782 1017
-3001 -2395 -990; -333 -781 765
-2879 -2713 -886; -876 -804 528
-2573 -2992 -866; -1042 -743 336
-2468 -3187 -904; -889 -655 166
-2472 -3193 -1060; -641 -588 26
-2405 -3285 -1155; -454 -526 -95
-2408 -3376 -1212; -357 -467 -196
-2507 -3520 -1141; -372 -415 -274
-2470 -3669 -1052; -444 -369 -332
-2432 -3858 -965; -495 -318 -371
-2407 -4016 -936; -475 -264 -390
-2391 -4149 -1004; -430 -212 -393
-2324 -4157 -1053; -401 -165 -383
-2232 -4193 -1216; -351 -121 -363
-2166 -4164 -1349; -247 -83 -331
-2156 -4086 -1402; -110 -52 -296
-2226 -3997 -1481; 7 -27 -260
-2274 -3889 -1478; 85 -11 -219
-2268 -3812 -1451; 117 3 -179
-2239 -3782 -1447; 105 10 -142
-2274 -3655 -1390; 70 16 -105
-2284 -3590 -1410; 48 18 -70
-2265 -3489 -1429; 52 22 -38
-2241 -3361 -1452; 94 23 -7
-2286 -3294 -1492; 172 25 17
-2305 -3161 -1545; 260 21 39
-2321 -3041 -1510; 355 17 58
-2326 -2997 -1494; 422 14 70
-2421 -2854 -1415; 450 8 79
-2492 -2792 -1353; 422 1 81
-2502 -2745 -1323; 305 -5 79
-2458 -2691 -1272; 123 -15 79
-2462 -2715 -1197; -10 -20 70
-2513 -2706 -1196; -63 -17 61
-2544 -2684 -1186; -43 -18 55
-2507 -2676 -1221; 26 -17 46
-2480 -2640 -1264; 98 -11 37
-2511 -2590 -1260; 141 -10 24
-2540 -2573 -1271; 150 -12 12
-2528 -2560 -1230; 131 -12 -1
-2517 -2578 -1202; 80 -15 -16
-2536 -2607 -1151; 21 -17 -29
-2566 -2632 -1132; -18 -19 -41
-2596 -2675 -1138; -50 -20 -49
-2642 -2721 -1141; -91 -22 -55
-2608 -2768 -1170; -133 -25 -60
-2564 -2843 -1191; -156 -25 -64
-2559 -2897 -1218; -138 -28 -61
-2588 -2963 -1221; -94 -32 -58
-2565 -2990 -1210; -40 -36 -52
-2562 -2989 -1226; -1 -43 -45
-2546 -2987 -1229; 2 -50 -37
-2590 -2985 -1239; -38 -60 -28
-2568 -3001 -1219; -107 -69 -21
-2539 -3086 -1222; -148 -80 -13
-2576 -3080 -1229; -169 -92 -4
-2593 -3135 -1230; -178 -103 6
-2542 -3139 -1246; -153 -111 16
-2522 -3115 -1254; -95 -119 27
-2522 -3125 -1255; -47 -129 33
-2504 -3102 -1275; -21 -140 40
-2508 -3062 -1285; 3 -152 43
-2515 -3048 -1293; 48 -159 44
-2531 -2958 -1305; 112 -172 46
-2565 -2951 -1314; 141 -184 42
-2535 -2916 -1302; 119 -199 34
-2532 -2917 -1288; 51 -212 25
-2545 -2968 -1287; -10 -224 11
-2547 -3042 -1270; -48 -237 -3
-2550 -3095 -1291; -44 -245 -16
-2530 -3132 -1281; 27 -253 -30
-2554 -3207 -1354; 117 -256 -44
-2581 -3313 -1360; 181 -263 -57
-2528 -3407 -1382; 226 -273 -71
-2473 -3536 -1434; 228 -280 -87
-2491 -3654 -1443; 214 -291 -101
-2521 -3731 -1559; 230 -303 -116
-2582 -3887 -1643; 277 -315 -131
-2577 -3954 -1729; 305 -335 -148
-2567 -4092 -1726; 308 -359 -169
-2499 -4225 -1787; 335 -383 -192
-2481 -4325 -1777; 404 -407 -218
-2566 -4455 -1685; 587 -428 -255
-2672 -4406 -1588; 904 -441 -289
-2834 -4302 -1489; 1247 -456 -327
-2870 -4270 -1548; 1501 -475 -379
-2714 -4155 -1568; 1607 -502 -437
-2573 -4047 -1620; 1659 -530 -506
-2656 -3974 -1731; 1696 -548 -598
-2736 -3887 -1422; 1853 -568 -690
-2648 -3649 -1013; 2098 -578 -783
-2613 -3608 -720; 2369 -562 -896
-2572 -3331 -315; 2566 -539 -1018
-2556 -3217 -74; 2579 -506 -1159
-2365 -3042 153; 2463 -473 -1316
-2408 -2954 1089; 2321 -452 -1486
-2384 -3027 1734; 2076 -330 -1647
-2205 -2933 1707; 1765 -81 -1815
-1979 -2972 1944; 1524 138 -1991
-1663 -3344 1989; 1285 323 -2166
-1377 -3632 1837; 1108 532 -2319
-1208 -3913 1543; 998 751 -2440
-1052 -4215 1382; 861 945 -2543
-966 -4396 1114; 759 1123 -2617
-890 -4435 817; 754 1289 -2657
-746 -4547 678; 821 1419 -2687
-606 -4376 465; 886 1524 -2697
-597 -4291 237; 817 1605 -2697
-565 -4248 145; 546 1651 -2690
-611 -3954 -144; 140 1681 -2668
-472 -3860 -175; -250 1697 -2639
-419 -3681 -251; -564 1703 -2601
-486 -3489 -475; -850 1707 -2564
-633 -3509 -564; -1010 1690 -2535
-620 -3290 -633; -1000 1658 -2505
-542 -3227 -795; -867 1617 -2485
-545 -3221 -960; -678 1562 -2477
-521 -3249 -1023; -542 1489 -2481
-583 -3285 -1070; -547 1402 -2500
-761 -3097 -1085; -736 1294 -2525
-814 -2725 -1044; -1011 1174 -2554
-710 -2428 -1115; -1227 1058 -2598
-457 -2186 -1200; -1233 958 -2648
-150 -2085 -1295; -1105 860 -2704
92 -2244 -1437; -963 770 -2767
255 -2286 -1655; -911 673 -2826
299 -2298 -1777; -1094 530 -2886
395 -2282 -1706; -1396 377 -2947
507 -2193 -1678; -1569 241 -2988
719 -2313 -1624; -1537 130 -3015
914 -2448 -1628; -1410 22 -3035
1078 -2462 -1814; -1318 -85 -3042
1222 -2503 -1843; -1230 -187 -3036
1322 -2546 -1891; -1194 -278 -3018
1601 -2579 -2178; -1244 -390 -2989
1809 -2709 -2318; -1286 -573 -2949
1900 -2864 -2367; -1365 -713 -2879
1962 -2622 -2129; -1486 -849 -2783
1961 -2424 -1670; -1608 -963 -2696
1872 -2585 -2456; -1729 -1007 -2643
1917 -3197 -1963; -1834 -1111 -2595
1972 -2974 -1970; -1913 -1236 -2443
2027 -3149 -1793; -1892 -1369 -2307
2178 -3046 -2191; -1912 -1350 -2129
2111 -3185 -1824; -1858 -1453 -1986
2218 -3278 -1830; -1774 -1528 -1837
2202 -3318 -1729; -1727 -1602 -1655
2208 -3271 -1472; -1651 -1665 -1473
2195 -3338 -1555; -1574 -1718 -1287
2318 -3504 -1399; -1479 -1756 -1082
2243 -3432 -1269; -1342 -1795 -867
2123 -3291 -1252; -1198 -1790 -647
2245 -3421 -1280; -973 -1778 -429
2170 -3452 -1207; -657 -1815 -212
2170 -3394 -1374; -317 -1833 17
2174 -3261 -1599; -72 -1806 260
2168 -3223 -1728; 150 -1806 497
2368 -3070 -1720; 355 -1813 731
2268 -3133 -1748; 559 -1804 964
2160 -3008 -1823; 756 -1772 1197
2282 -2981 -1896; 936 -1744 1422
2365 -3103 -1887; 1107 -1730 1633
2180 -3095 -1865; 1283 -1678 1849
2571 -3024 -2274; 1470 -1581 2048
2403 -3073 -2051; 1685 -1573 2223
2245 -2999 -2084; 1827 -1475 2425
2188 -2903 -2300; 1921 -1378 2603
2125 -2959 -2213; 1961 -1295 2756
2044 -2889 -2256; 1977 -1213 2895
1898 -2878 -2295; 1949 -1121 3025
1728 -2977 -2247; 1807 -1051 3125
1579 -2953 -2201; 1605 -977 3203
1381 -3019 -2366; 1476 -907 3269
1205 -3172 -2468; 1436 -854 3320
1116 -3152 -2520; 1412 -811 3356
1099 -3081 -2615; 1427 -762 3375
901 -2908 -2749; 1590 -711 3379
520 -2529 -2657; 1637 -664 3348
205 -3610 -2965; 1181 -630 3269
-33 -3938 -3380; 481 -659 3225
-434 -1916 -3041; 106 -735 3294
-404 -3314 -2965; 146 -792 3194
-372 -3614 -3165; 240 -838 3025
-823 -2791 -2901; 653 -858 2971
-1109 -3209 -2826; 1279 -848 2843
-1457 -2944 -2904; 1531 -834 2701
-1570 -2424 -2705; 1338 -831 2590
-1964 -2730 -3035; 839 -807 2442
-1995 -2438 -2980; 326 -841 2292
-1885 -2501 -2834; 143 -913 2092
-1962 -2915 -2749; 342 -1002 1812
-2216 -3299 -1729; 833 -1098 1601
-2246 -3127 -1962; 1298 -968 1573
-2262 -2946 -2145; 1603 -877 1443
-2261 -2782 -1860; 1453 -861 1288
-2273 -2748 -1836; 764 -871 1134
-2444 -2918 -1807; -87 -877 988
-2514 -3068 -1431; -685 -908 845
-2595 -3383 -1498; -859 -910 704
-2727 -3263 -1367; -631 -867 575
-2477 -3277 -1566; -245 -766 470
-2371 -3224 -1618; 105 -705 361
-2330 -3273 -1617; 377 -667 263
-2307 -3282 -1658; 549 -616 183
-2337 -3317 -1579; 630 -573 111
-2423 -3325 -1474; 502 -537 42
-2407 -3257 -1393; 167 -506 -15
-2364 -3288 -1324; -204 -476 -66
-2269 -3323 -1272; -462 -441 -113
-2185 -3415 -1316; -552 -400 -150
-2109 -3455 -1385; -500 -354 -179
-2098 -3462 -1442; -335 -305 -200
-2118 -3425 -1493; -131 -260 -213
-2148 -3398 -1508; -2 -223 -223
-2180 -3343 -1515; -2 -192 -232
-2239 -3263 -1497; -75 -168 -237
-2282 -3293 -1468; -185 -145 -241
-2266 -3264 -1468; -300 -126 -243
-2204 -3304 -1493; -343 -105 -240
-2198 -3299 -1582; -312 -83 -233
-2207 -3275 -1621; -240 -61 -225
-2227 -3248 -1662; -154 -45 -215
-2221 -3228 -1660; -88 -30 -204
-2298 -3192 -1595; -41 -21 -191
-2317 -3199 -1549; 0 -10 -178
-2320 -3192 -1518; 14 -1 -163
-2314 -3157 -1489; 11 5 -147
-2282 -3131 -1538; 4 13 -132
-2325 -3060 -1521; 4 19 -115
-2287 -3015 -1520; 21 23 -99
-2232 -2995 -1499; 41 27 -85
-2225 -2961 -1495; 61 29 -71
-2237 -2952 -1558; 74 31 -57
-2240 -2929 -1564; 96 29 -44
-2248 -2907 -1594; 118 28 -31
-2244 -2882 -1630; 127 23 -21
-2239 -2850 -1621; 122 18 -9
-2284 -2816 -1609; 89 11 1
-2305 -2784 -1615; 23 1 8
-2323 -2773 -1575; -59 -10 13
-2308 -2762 -1551; -115 -16 19
-2328 -2754 -1499; -131 -21 23
-2363 -2805 -1521; -103 -25 26
-2353 -2831 -1535; -61 -29 29
-2331 -2850 -1581; -14 -32 32
-2342 -2816 -1613; 34 -35 36
-2375 -2810 -1616; 64 -41 38
-2387 -2790 -1613; 66 -49 41
-2402 -2821 -1593; 46 -57 44
-2403 -2800 -1579; 14 -63 46
-2416 -2832 -1580; -27 -71 46
-2457 -2837 -1549; -47 -77 48
-2443 -2838 -1553; -49 -81 51
-2429 -2859 -1585; -39 -84 51
-2446 -2823 -1546; -19 -89 55
-2433 -2827 -1573; 6 -90 55
-2420 -2842 -1604; 17 -94 56
-2392 -2825 -1603; 16 -99 59
-2391 -2840 -1615; 27 -101 59
-2411 -2793 -1589; 51 -103 58
-2416 -2790 -1569; 48 -107 58
-2417 -2792 -1565; 11 -109 56
-2418 -2777 -1549; -35 -110 54
-2426 -2815 -1552; -56 -112 51
-2443 -2821 -1563; -48 -110 48
-2448 -2815 -1556; -16 -105 46
-2438 -2808 -1530; 19 -103 45
-2438 -2807 -1525; 35 -100 41
-2433 -2826 -1495; 39 -94 38
-2427 -2818 -1478; 34 -87 32
-2432 -2819 -1478; 24 -82 29
-2479 -2803 -1471; 28 -75 25
-2499 -2793 -1490; 28 -68 21
-2491 -2818 -1518; -5 -65 14
-2464 -2788 -1521; -39 -60 8
-2494 -2797 -1575; -48 -53 3
-2489 -2821 -1572; -35 -49 -4
-2466 -2814 -1580; -16 -48 -8
-2430 -2812 -1609; 17 -42 -15
-2416 -2815 -1585; 60 -37 -19
-2448 -2788 -1585; 87 -37 -24
-2491 -2789 -1613; 92 -37 -29
-2440 -2792 -1606; 64 -39 -34
-2407 -2791 -1626; 19 -41 -38
-2400 -2794 -1626; -5 -44 -44
-2422 -2771 -1631; -5 -45 -49
-2442 -2758 -1618; 7 -44 -53
-2409 -2757 -1606; 13 -48 -56
-2417 -2792 -1639; 18 -50 -60
-2431 -2833 -1625; 19 -51 -64
-2447 -2818 -1621; 16 -56 -66
-2406 -2860 -1591; 14 -57 -67
-2379 -2851 -1581; 19 -57 -67
-2429 -2842 -1587; 37 -55 -69
-2460 -2821 -1589; 59 -56 -68
-2451 -2819 -1575; 68 -57 -69
-2405 -2820 -1584; 64 -56 -71
-2408 -2808 -1617; 45 -55 -73
-2387 -2794 -1601; 32 -58 -73
-2405 -2770 -1612; 48 -57 -76
-2416 -2762 -1572; 74 -57 -78
-2403 -2769 -1572; 82 -58 -80
-2429 -2756 -1549; 80 -55 -82
-2469 -2743 -1533; 79 -53 -84
-2441 -2743 -1556; 68 -52 -86
-2415 -2746 -1558; 47 -51 -90
-2437 -2782 -1581; 35 -49 -93
-2455 -2767 -1565; 31 -47 -94
-2436 -2797 -1562; 26 -45 -95
-2424 -2786 -1587; 17 -44 -96
-2446 -2780 -1576; 10 -43 -97
-2452 -2771 -1600; 25 -43 -97
-2453 -2790 -1594; 35 -41 -97
-2432 -2781 -1569; 32 -40 -97
-2409 -2783 -1583; 38 -40 -98
-2428 -2785 -1575; 54 -40 -97
-2433 -2772 -1568; 57 -39 -95
-2436 -2777 -1582; 52 -39 -94
-2439 -2769 -1559; 42 -39 -92
-2405 -2800 -1579; 31 -40 -90
-2405 -2818 -1586; 29 -40 -87
-2399 -2836 -1564; 36 -42 -83
-2387 -2842 -1606; 52 -42 -79
-2424 -2838 -1584; 79 -43 -72
-2425 -2813 -1551; 101 -45 -65
-2409 -2820 -1569; 108 -44 -60
-2407 -2814 -1560; 109 -47 -54
-2425 -2814 -1574; 100 -49 -50
-2407 -2814 -1615; 90 -52 -45
-2384 -2809 -1612; 92 -56 -39
-2406 -2797 -1618; 96 -58 -36
-2444 -2771 -1616; 104 -60 -33
-2415 -2762 -1623; 106 -65 -32
-2397 -2736 -1622; 113 -68 -30
-2392 -2744 -1602; 125 -69 -31
-2421 -2717 -1602; 123 -71 -29
-2431 -2730 -1572; 96 -73 -32
-2421 -2723 -1551; 64 -75 -34
-2426 -2731 -1539; 52 -75 -37
-2443 -2721 -1526; 55 -74 -39
-2474 -2746 -1547; 57 -72 -42
-2455 -2760 -1587; 60 -68 -45
-2435 -2734 -1622; 71 -68 -48
-2455 -2751 -1625; 81 -67 -49
-2447 -2755 -1616; 75 -68 -52
-2453 -2754 -1591; 52 -68 -55
-2454 -2774 -1558; 25 -69 -57
-2459 -2803 -1556; 4 -66 -58
-2440 -2810 -1559; 5 -65 -58
-2468 -2805 -1595; 24 -62 -58
-2463 -2799 -1581; 50 -60 -56
-2457 -2796 -1581; 68 -59 -55
-2438 -2808 -1610; 72 -56 -54
-2430 -2823 -1599; 62 -58 -53
-2419 -2826 -1613; 44 -57 -52
-2403 -2837 -1624; 32 -57 -50
-2399 -2825 -1641; 44 -58 -49
-2429 -2827 -1628; 67 -55 -46
-2413 -2791 -1609; 82 -56 -44
-2416 -2792 -1626; 85 -56 -44
-2401 -2792 -1620; 93 -52 -43
-2389 -2768 -1608; 94 -53 -43
-2364 -2769 -1614; 83 -54 -43
-2379 -2760 -1585; 90 -53 -43
-2401 -2766 -1579; 105 -51 -45
-2409 -2751 -1586; 110 -49 -45
-2397 -2749 -1560; 111 -49 -46
-2426 -2742 -1563; 103 -46 -47
-2428 -2767 -1587; 67 -44 -50
-2418 -2767 -1591; 33 -44 -51
-2390 -2774 -1600; 30 -41 -51
-2408 -2777 -1594; 45 -39 -53
-2412 -2776 -1622; 54 -37 -53
-2396 -2778 -1604; 55 -36 -53
-2385 -2795 -1612; 61 -35 -54
-2407 -2749 -1617; 70 -34 -53
-2412 -2763 -1596; 79 -34 -53
-2375 -2777 -1610; 75 -34 -55
-2371 -2774 -1586; 60 -34 -53
-2390 -2808 -1589; 55 -33 -54
-2416 -2807 -1571; 56 -31 -52
-2406 -2815 -1574; 62 -30 -50
-2425 -2816 -1580; 65 -27 -47
-2432 -2827 -1572; 63 -27 -46
-2432 -2845 -1560; 54 -25 -43
-2404 -2828 -1576; 42 -23 -41
-2402 -2825 -1579; 42 -22 -37
-2393 -2821 -1584; 53 -20 -35
-2396 -2814 -1598; 64 -21 -33
-2397 -2805 -1607; 80 -20 -30
-2400 -2788 -1597; 96 -20 -30
-2385 -2771 -1605; 105 -20 -29
-2387 -2769 -1612; 96 -21 -30
-2419 -2786 -1599; 71 -23 -29
-2433 -2773 -1589; 50 -22 -30
-2435 -2766 -1598; 47 -23 -30
-2412 -2766 -1604; 64 -25 -31
-2415 -2771 -1605; 87 -24 -32
-2426 -2753 -1602; 98 -24 -33
-2414 -2756 -1628; 92 -26 -35
-2439 -2772 -1607; 85 -29 -36
-2439 -2781 -1647; 79 -28 -37
-2428 -2808 -1644; 71 -33 -37
-2422 -2779 -1666; 64 -37 -36
-2412 -2808 -1642; 67 -39 -39
-2429 -2777 -1631; 78 -42 -39
-2441 -2756 -1609; 82 -43 -38
-2443 -2756 -1614; 81 -45 -41
-2441 -2748 -1599; 76 -47 -42
-2444 -2737 -1618; 62 -47 -45
-2415 -2769 -1653; 51 -49 -47
-2394 -2767 -1650; 46 -52 -49
-2384 -2785 -1662; 44 -55 -49
-2392 -2805 -1649; 45 -57 -48
-2400 -2786 -1643; 47 -60 -48
-2399 -2817 -1640; 46 -61 -50
-2387 -2789 -1614; 38 -63 -50
-2368 -2794 -1631; 39 -65 -51
-2404 -2792 -1623; 48 -65 -49
-2420 -2785 -1625; 50 -66 -48
-2396 -2784 -1622; 42 -69 -50
-2388 -2777 -1650; 34 -70 -52
-2402 -2766 -1613; 38 -70 -52
-2397 -2771 -1595; 49 -71 -52
-2384 -2764 -1586; 56 -68 -53
-2408 -2756 -1595; 63 -67 -54
-2421 -2768 -1598; 62 -65 -55
-2418 -2777 -1620; 50 -65 -56
-2423 -2768 -1600; 42 -61 -56
-2421 -2774 -1580; 46 -61 -59
