-929 -744 -3881; 191 -231 -75
-976 -996 -4074; -71 -45 -63
-1023 -994 -4094; -78 -25 -70
-1064 -940 -4134; -66 -15 -79
-1135 -935 -4239; 17 7 -85
-1155 -877 -4248; 123 21 -93
-1125 -961 -4105; 201 33 -102
-1062 -1039 -4185; 165 55 -107
-1096 -1094 -4157; 79 75 -110
-1101 -1030 -4143; 14 94 -114
-918 -1095 -4116; 1 122 -121
-950 -1006 -4064; 19 152 -125
-976 -886 -4082; 36 190 -125
-902 -958 -4047; 80 232 -136
-971 -821 -4035; 121 275 -147
-1015 -767 -4004; 144 327 -156
-966 -858 -3783; 143 378 -176
-992 -843 -3669; 112 431 -191
-879 -845 -3573; 107 490 -200
-875 -891 -3425; 140 550 -216
-978 -803 -3416; 140 611 -227
-919 -812 -3390; 184 677 -237
-902 -867 -3257; 264 733 -249
-1004 -823 -3174; 324 785 -255
-944 -886 -3044; 345 831 -258
-856 -1009 -3003; 371 861 -257
-838 -1061 -3087; 397 883 -248
-813 -1080 -3189; 474 892 -236
-770 -1012 -3269; 602 871 -212
-917 -1117 -3357; 708 829 -182
-925 -1215 -3580; 800 769 -148
-903 -1430 -3561; 833 658 -96
-936 -1422 -3470; 633 507 -17
-1081 -1551 -3787; 235 348 73
-1004 -1482 -4086; -21 173 172
-1194 -1928 -4167; 47 -31 259
-1330 -2060 -4163; 202 -276 371
-1523 -1909 -4226; 342 -546 528
-1726 -1716 -4422; 529 -835 668
-1444 -1729 -4429; 571 -1160 794
-1206 -1285 -4939; 375 -1510 934
-998 -1177 -5596; 218 -1872 1060
-692 -1154 -6084; 222 -2265 1161
-646 -1031 -6339; 401 -2669 1265
-481 -1120 -6587; 738 -3060 1355
-110 -1155 -6342; 1162 -3440 1437
-101 -1075 -5867; 1649 -3761 1558
-342 -1161 -5629; 1909 -3993 1680
-488 -1512 -4614; 1887 -4185 1778
-970 -1377 -3400; 1801 -4278 1870
-4934 16116 23328; 1653 -4517 2108
1673 10318 25905; 2428 -3310 1385
1380 7038 10699; 1951 3972 -2379
-2651 -9368 -19648; -5994 4443 -2655
-5248 3364 6237; -7146 552 -460
-1580 -13526 -21442; -1136 1447 -671
3030 -17360 -30281; 1346 3585 -1866
-4104 -2028 -1855; -2039 1591 -1130
59 5503 3350; -1335 1072 -407
463 -2091 -12845; 95 2460 -1101
-3395 -1487 -1188; -1485 1590 -1205
-1321 451 711; -1300 910 -608
156 -1486 -10243; -773 1642 -635
-2202 -3598 -4165; -1077 1139 -847
-1104 -666 -1612; -687 587 -527
-124 -793 -8679; -242 990 -460
-1558 -2960 -4913; -273 655 -651
-1166 -353 -2775; -62 248 -435
-426 -637 -6973; 184 480 -370
-1119 -2313 -4289; 94 261 -543
-1037 -240 -2507; 113 -15 -391
-649 -629 -5159; 323 160 -327
-968 -2158 -3671; 227 58 -469
-1027 -493 -2542; 91 -104 -362
-824 -654 -4161; 248 49 -290
-1107 -1752 -3262; 271 34 -393
-1117 -505 -2248; 174 -52 -320
-973 -432 -3109; 307 85 -254
-994 -1253 -2759; 129 135 -334
-842 -448 -2265; -178 110 -305
-562 -365 -2914; 2 223 -250
-592 -954 -2800; 113 290 -302
-579 -538 -2350; -57 293 -292
-533 -280 -2866; -130 379 -257
-645 -726 -3022; -270 445 -293
-652 -548 -2721; -444 451 -292
-655 -485 -3233; -489 510 -258
-697 -997 -3431; -388 554 -264
-745 -887 -3265; -307 554 -247
-705 -855 -3655; -211 584 -206
-730 -1103 -3802; -111 594 -191
-697 -1045 -3725; -79 568 -166
-688 -1054 -3876; -1 558 -122
-754 -1012 -3915; 35 538 -98
-967 -903 -3759; -8 487 -77
-860 -958 -3682; 53 437 -41
-686 -940 -3817; 44 386 -12
-662 -1075 -3907; -70 321 1
-628 -982 -3897; -13 239 35
-790 -948 -3808; 204 150 76
-977 -1049 -3674; 434 43 104
-960 -1065 -3548; 563 -85 149
-1208 -1022 -3896; 579 -226 208
-1647 -1391 -4314; 501 -407 272
-1642 -1639 -4786; 345 -661 361
-1109 -2058 -5040; 190 -970 465
-1156 -2096 -5781; 143 -1311 584
-1152 -2251 -6710; 86 -1695 733
-1057 -2581 -7271; 112 -2148 883
-1137 -2691 -8336; 485 -2635 1036
-583 -2505 -8794; 1152 -3155 1221
-24 -2255 -8872; 1937 -3688 1421
355 -1934 -8690; 2783 -4145 1664
580 -1422 -7816; 3595 -4545 1941
994 -1584 -6016; 4240 -4867 2220
4539 -13615 -9470; 4449 -5014 2514
-11405 22614 32764; 3720 -6095 3313
-2045 -16868 -17350; 4947 771 -906
6091 -12245 -28462; -2515 5138 -3576
-3490 -1876 -14770; -8154 3658 -2164
-5632 16547 32764; -6211 -519 -55
5987 5210 -114; -1119 2428 -1387
-2221 -3878 -15782; -331 3343 -1961
-7141 2393 11872; -1130 274 -620
-313 -9034 -9890; 361 1168 -626
923 -7492 -18469; 492 2401 -1572
-3152 -2594 1097; -1445 771 -1169
-601 2377 -1572; -978 672 -519
316 -1352 -12031; -777 1604 -949
-2214 -2904 -932; -1618 742 -1114
-1310 462 -1069; -1278 451 -656
-219 -1458 -9721; -796 1091 -670
-1639 -3515 -3264; -846 552 -861
-1111 -229 -2417; -331 211 -555
-384 -904 -8092; 306 637 -493
-1572 -2707 -4070; 136 297 -667
-1510 -293 -2546; -10 -8 -467
-673 -706 -6595; -82 274 -397
-1128 -2423 -3971; -631 87 -549
-1109 -514 -2771; -957 -138 -413
-668 -738 -5617; -385 90 -326
-1118 -2248 -3813; 224 24 -437
-1159 -589 -2513; 389 -128 -348
-867 -709 -4168; 667 51 -270
-1133 -1747 -3155; 619 50 -349
-1328 -565 -2124; 194 -40 -298
-1014 -598 -3463; 31 103 -245
-854 -1400 -3048; -165 139 -306
-934 -660 -2553; -417 94 -271
-855 -1161 -3157; 97 257 -263
-961 -599 -2617; 113 230 -242
-751 -644 -3145; 238 310 -212
-735 -952 -3039; 238 347 -236
-895 -582 -2578; -37 327 -222
-639 -472 -3125; -286 380 -199
-506 -621 -3185; -495 403 -212
-683 -528 -2925; -643 388 -196
-901 -505 -3328; -573 419 -168
-964 -808 -3354; -385 428 -172
-862 -667 -3176; -239 406 -154
-730 -567 -3412; -70 415 -125
-713 -815 -3214; 84 410 -117
-834 -567 -3032; 100 379 -94
-960 -405 -3122; 47 367 -64
-1117 -735 -3016; -58 347 -49
-1036 -718 -3107; -166 306 -20
-1169 -1031 -3396; -102 273 21
-1221 -1518 -3573; 279 224 73
-1329 -1623 -4070; 804 139 144
-1611 -1830 -4161; 1241 28 233
-1334 -1910 -3931; 1340 -126 338
-1192 -2026 -4109; 901 -321 458
-1031 -2064 -4915; 83 -553 596
-1003 -2360 -5801; -476 -839 739
-993 -2571 -6356; -544 -1196 908
-956 -2795 -7159; -276 -1584 1080
-731 -2844 -7907; 276 -2000 1241
-624 -2406 -8105; 1019 -2461 1435
-219 -2035 -8720; 1762 -2910 1631
142 -2029 -8925; 2619 -3343 1806
552 -1624 -8294; 3447 -3750 2031
513 -1218 -7410; 4051 -4056 2282
454 -1469 -6179; 4160 -4274 2493
-1948 -1675 -3670; 3932 -4416 2697
-10873 29791 32764; 3135 -4958 3230
3410 1985 3631; 4240 -2044 1089
2108 5412 6860; 1749 4058 -3338
-4470 9049 -8354; -6521 4008 -3020
-13497 12757 22384; -6803 56 -167
-2646 -19622 -9302; -1200 1729 -1199
1234 -19226 -27105; 947 3545 -2380
-2628 -3438 -1775; -1905 1151 -1050
1177 6364 -4630; -652 1186 -624
1292 -4603 -15273; 1321 2674 -1641
-2565 56 338; -1334 1640 -1506
-1433 2997 2847; -1570 1104 -735
368 -990 -8732; -428 2014 -918
-1233 -3755 -2751; -1179 1525 -1178
-1112 -1051 -336; -1307 992 -816
79 -1260 -8477; -720 1528 -676
-1089 -3696 -5122; -666 1222 -842
-1015 -1382 -2215; -282 738 -625
-47 -1101 -6948; 325 1039 -469
-821 -2552 -5040; 275 831 -611
-1043 -1152 -2154; 176 436 -478
-231 -480 -5606; 56 608 -338
-440 -2264 -4344; -496 490 -459
-819 -1198 -2461; -951 210 -380
-454 -544 -4828; -915 330 -246
-649 -2140 -4304; -671 294 -330
-842 -1320 -2801; -364 105 -284
-637 -714 -4202; 355 196 -165
-513 -1787 -3668; 946 207 -217
-836 -1059 -2251; 869 85 -200
-711 -341 -3069; 537 152 -121
-716 -1230 -2913; -8 182 -163
-624 -931 -2120; -669 112 -168
-565 -422 -3018; -904 179 -111
-390 -1092 -3129; -659 225 -135
-569 -917 -2549; -397 187 -141
-442 -365 -2993; -162 236 -98
-392 -829 -2922; 39 272 -114
-524 -678 -2405; 104 242 -122
-505 -344 -2492; 125 263 -96
-526 -604 -2519; 78 279 -110
-530 -589 -2213; -163 242 -112
-455 -256 -2703; -458 242 -87
-485 -722 -2659; -590 239 -91
-443 -730 -2513; -526 194 -78
-644 -456 -2814; -351 166 -36
-878 -871 -2982; -138 138 -25
-1159 -953 -3139; 138 70 2
-1409 -810 -3563; 413 -4 59
-1556 -1223 -3877; 552 -100 94
-1455 -1551 -3949; 391 -246 142
-1071 -1519 -4364; -13 -404 219
-1604 -2004 -5153; -402 -585 286
-1712 -2207 -5761; -709 -832 369
-1541 -2688 -6749; -702 -1118 466
-1313 -3100 -7759; -232 -1438 580
-1037 -2958 -8056; 560 -1824 725
-714 -2937 -8443; 1256 -2233 871
-461 -2864 -8879; 1615 -2654 1036
-210 -2800 -8934; 1942 -3098 1237
258 -2969 -8758; 2499 -3518 1439
378 -2982 -7883; 3230 -3885 1678
203 -2391 -6663; 3861 -4171 1980
325 -2372 -5215; 4134 -4365 2262
69 -2277 -3467; 4002 -4442 2520
-18085 26654 31064; 3184 -4833 3053
1386 7340 18972; 3149 -2915 1721
2370 8778 7601; 2117 3819 -2904
-1672 -6120 -16556; -5334 4196 -3210
-7663 6213 12274; -7297 322 -380
-3178 -7131 -11482; -2992 1239 -673
4294 -17318 -30320; 686 3595 -2139
-2055 -4937 -2774; -1720 1568 -1343
1232 8606 6091; -856 879 -415
477 -4933 -13182; 1448 2560 -1332
-1978 -2434 -852; -925 1845 -1543
-2204 955 5033; -1713 890 -765
244 -1377 -8274; -563 1789 -698
-1230 -4402 -5278; -1067 1534 -1084
-1445 -1903 354; -1428 746 -816
229 -703 -7865; -910 1213 -532
-1003 -3100 -6596; -889 1083 -722
-1467 -1831 -1693; -637 448 -614
-31 -462 -7099; -123 688 -370
-725 -2432 -6212; -44 598 -498
-1195 -1854 -2270; 46 117 -460
-536 -441 -5536; 274 248 -262
-663 -2089 -5045; 165 204 -350
-1011 -1730 -1981; -235 -139 -351
-822 -399 -4393; -447 -43 -197
-859 -1870 -4383; -457 -20 -251
-1114 -1750 -2439; -540 -238 -271
-924 -449 -4215; -303 -158 -153
-822 -1746 -4151; 327 -101 -170
-1178 -1656 -2471; 621 -234 -182
-982 -772 -3371; 538 -166 -97
-974 -1474 -3422; 429 -94 -108
-1015 -1239 -2400; 174 -166 -120
-780 -743 -3167; -68 -105 -70
-634 -1151 -3325; -180 -28 -83
-758 -1108 -2779; -349 -54 -104
-482 -861 -3202; -370 -6 -78
-496 -1133 -3539; -185 63 -90
-549 -1137 -3116; -46 53 -106
-463 -861 -3347; 39 87 -95
-432 -1060 -3578; 86 138 -110
-494 -1149 -3235; -46 128 -127
-479 -934 -3488; -291 147 -121
-542 -1156 -3722; -472 178 -133
-651 -1165 -3643; -614 171 -142
-571 -1092 -3901; -637 178 -137
-352 -1245 -4158; -531 193 -142
-291 -1311 -4105; -390 180 -147
-382 -1185 -4230; -207 178 -137
-343 -1285 -4184; 12 177 -134
-366 -1329 -3923; 150 157 -136
-344 -1155 -3919; 158 149 -128
-250 -1114 -3813; 73 139 -126
-249 -1004 -3636; -21 116 -128
-287 -925 -3611; -78 105 -122
-218 -990 -3448; -63 95 -120
-187 -981 -3319; 23 79 -118
-198 -904 -3240; 238 66 -109
-181 -853 -3059; 523 53 -100
-182 -911 -2865; 774 32 -91
-210 -773 -2767; 986 11 -73
-366 -633 -2653; 1227 -17 -52
-530 -749 -2472; 1376 -52 -32
-737 -761 -2361; 1302 -92 0
-892 -730 -2410; 1000 -140 40
-1028 -924 -2466; 560 -198 75
-1553 -781 -2530; 308 -266 128
-2089 -912 -2585; 393 -358 208
-2535 -1139 -2982; 241 -485 296
-2626 -1837 -3657; -218 -654 382
-2017 -2488 -4269; -518 -886 503
-1492 -2429 -5309; -703 -1175 646
-2027 -2554 -6603; -622 -1519 776
-2323 -2816 -7267; -307 -1923 928
-2256 -2497 -8044; -154 -2382 1095
-2151 -2881 -8551; 88 -2876 1212
-1657 -2424 -8939; 606 -3360 1345
-1309 -2034 -8689; 1331 -3805 1496
-827 -2151 -7928; 2077 -4173 1638
-786 -2412 -5926; 2571 -4444 1806
1257 7224 6677; 2456 -4829 2083
-1812 14844 30471; 1958 -4156 1717
4512 4735 10595; 2375 3710 -2139
-64 -17884 -31220; -4583 5021 -2624
-6590 -2081 828; -5982 725 -456
-1414 6276 -9146; -3612 760 -382
4676 -12947 -30605; -1016 3732 -1510
-2936 -2624 -3658; -1942 1856 -991
-2610 7105 14869; -87 522 -147
-179 132 -11860; 1926 2592 -685
-2225 -1973 -3721; 886 2050 -971
-3079 648 7361; 96 597 -457
370 -1003 -8490; 577 1641 -396
-977 -2523 -8823; -327 1654 -649
-2051 -1180 1599; -607 517 -446
-145 -1088 -7391; 222 1014 -279
-799 -2503 -8618; -12 1125 -412
-1837 -1709 -187; 129 256 -292
-248 -1136 -5876; 845 490 -114
-581 -2446 -7447; 767 614 -206
-1499 -1729 -1149; 838 -21 -121
-783 -1043 -4510; 1226 75 52
-728 -2383 -6068; 963 200 -16
-1376 -1731 -1428; 448 -251 32
-1053 -750 -3488; 270 -210 185
-970 -2094 -5153; 89 -66 132
-1399 -1605 -1940; -127 -363 143
-1100 -642 -3176; 92 -342 265
-917 -1834 -4503; 567 -181 229
-1317 -1572 -2104; 775 -354 222
-1246 -529 -2669; 925 -342 313
-984 -1393 -3762; 1079 -189 280
-1192 -1312 -2101; 871 -280 255
-1139 -487 -2473; 548 -264 311
-1019 -1298 -3347; 390 -135 272
-1142 -1388 -2274; 198 -170 241
-1306 -694 -2472; 62 -131 280
-1275 -1346 -3087; 142 -3 244
-1282 -1433 -2384; 282 4 211
-1052 -989 -2485; 341 49 237
-933 -1365 -2986; 321 163 212
-1053 -1324 -2664; 134 198 179
-1073 -1039 -2676; -5 245 191
-956 -1403 -3029; 1 346 173
-1086 -1419 -2838; 2 388 150
-1181 -1184 -2791; 49 428 162
-1004 -1375 -3140; 158 510 157
-983 -1387 -3065; 192 547 145
-847 -1321 -2973; 207 571 164
-758 -1437 -3221; 225 623 173
-707 -1494 -3217; 161 643 178
-782 -1349 -3169; 91 642 203
-842 -1506 -3335; 147 659 232
-780 -1721 -3334; 261 662 262
-883 -1716 -3345; 336 645 308
-904 -2087 -3513; 440 636 359
-805 -2293 -3545; 628 618 428
-907 -2229 -3421; 866 591 522
-1187 -2708 -3564; 1207 567 606
-1496 -2437 -3669; 1893 534 723
-2113 -2438 -3191; 2781 473 864
-2417 -2984 -2927; 3065 371 996
-1555 -3728 -2992; 2203 221 1150
-338 -3857 -4627; 468 13 1304
-513 -3956 -6792; -646 -278 1477
-943 -3799 -7400; -409 -680 1700
-855 -3800 -7917; 280 -1125 1887
-683 -3375 -8387; 945 -1607 2020
-97 -2624 -8363; 1552 -2119 2171
282 -2505 -8164; 1961 -2597 2313
179 -2364 -8020; 2173 -3009 2435
70 -2077 -6980; 2496 -3380 2549
-282 -1935 -4819; 2935 -3682 2645
-21165 1490 2081; 3048 -3819 2720
-2942 26709 32764; 1604 -4427 3184
7090 -3633 -13895; 3503 -158 -704
1327 -19745 -23244; -1265 3618 -3606
-4998 2581 -620; -7123 2204 -2030
-4040 17942 27756; -2876 15 -421
1092 1147 2324; 2540 2204 -2275
-1817 -2966 -6272; -1018 2458 -2452
-2725 1556 3377; -3390 823 -1120
675 -14186 -6407; -355 1595 -1307
334 -8755 -12052; 60 2208 -1990
-2014 -1797 -1074; -1925 1303 -1551
-375 -5 -3296; -1178 1416 -1173
62 -2850 -7718; -681 1872 -1372
-1140 -2392 -1552; -1381 1287 -1301
-439 -1176 -3195; -1139 1186 -993
-70 -3114 -7659; -532 1453 -1021
-890 -3135 -3724; -515 1023 -1022
-296 -1772 -3963; -223 825 -793
-38 -2747 -6788; 20 953 -785
-591 -2967 -3975; -222 624 -820
-692 -1605 -3659; -245 436 -652
-564 -2136 -5593; -286 510 -631
-873 -2809 -3440; -526 295 -685
-988 -1686 -3112; -413 156 -562
-487 -1992 -4446; 46 223 -522
-746 -2598 -3202; 329 96 -570
-570 -1602 -2737; 400 -1 -486
-721 -1705 -3783; 417 53 -448
-531 -2273 -3021; 128 -27 -494
-800 -1498 -2624; -166 -100 -434
-718 -1589 -3385; -183 -56 -398
-713 -2222 -2853; -167 -96 -434
-720 -1493 -2862; -199 -143 -392
-657 -1537 -3529; -95 -108 -363
-668 -2090 -3086; 14 -133 -385
-926 -1602 -2984; -38 -166 -354
-902 -1702 -3361; -5 -145 -330
-769 -1985 -3054; 82 -163 -342
-763 -1741 -2940; 79 -183 -311
-775 -1756 -3181; 70 -163 -283
-767 -1940 -3059; 38 -171 -287
-746 -1724 -2938; -9 -188 -266
-477 -1637 -3032; -71 -175 -245
-522 -1738 -2982; -210 -175 -251
-577 -1541 -3010; -361 -179 -242
-633 -1504 -3252; -376 -163 -228
-615 -1763 -3194; -262 -159 -231
-706 -1776 -3210; -132 -163 -221
-733 -1779 -3336; -25 -153 -206
-747 -1870 -3357; 21 -148 -202
-819 -1793 -3251; -27 -154 -192
-805 -1649 -3331; -189 -149 -183
-654 -1764 -3370; -390 -149 -183
-688 -1706 -3435; -493 -149 -177
-770 -1705 -3668; -453 -138 -171
-705 -1839 -3667; -244 -138 -173
-657 -1668 -3639; 4 -139 -166
-623 -1671 -3618; 172 -135 -165
-532 -1653 -3473; 237 -140 -167
-565 -1572 -3335; 168 -146 -164
-539 -1550 -3338; 16 -148 -167
-477 -1582 -3253; -106 -156 -172
-481 -1532 -3277; -135 -162 -169
-519 -1617 -3268; -7 -165 -166
-519 -1651 -3112; 208 -178 -160
-519 -1611 -3007; 367 -190 -146
-555 -1528 -2961; 431 -201 -133
-568 -1445 -2782; 477 -221 -120
-578 -1399 -2707; 494 -241 -101
-675 -1492 -2701; 533 -267 -80
-762 -1553 -2730; 741 -302 -49
-928 -1599 -2900; 1012 -345 -5
-1149 -1608 -3068; 1286 -402 48
-1424 -1679 -2975; 1613 -495 125
-1387 -1965 -2656; 1726 -625 228
-1308 -2218 -2487; 1165 -777 352
-1293 -2697 -2743; 119 -957 502
-1775 -2892 -3775; -785 -1166 673
-1614 -3674 -4376; -1182 -1448 854
-1324 -4387 -5297; -1239 -1791 1041
-1183 -4512 -6608; -952 -2144 1266
-1269 -4402 -7365; -211 -2536 1504
-1033 -4026 -7815; 564 -2975 1736
-628 -3666 -8177; 1179 -3382 1968
-531 -3333 -8263; 1682 -3739 2192
-207 -3134 -7474; 2152 -4049 2393
-409 -2997 -5499; 2488 -4277 2586
-5025 17039 14752; 2122 -4628 2936
-103 16559 30121; 1819 -3671 2164
1702 7317 9943; 2717 3696 -2941
-1946 -18102 -27888; -5760 4637 -3323
-3399 177 -649; -6708 657 -461
2772 5627 -16721; -32 962 -716
4232 -24271 -31005; 3860 3437 -2363
-3058 -1113 -1872; -2404 1589 -1368
-153 8596 9965; -2024 723 -339
733 -3621 -12354; 858 2357 -1347
-2898 -2527 -2003; -1363 1642 -1380
-1806 -22 4813; -1135 673 -551
299 -2373 -9370; 210 1588 -640
-1911 -4812 -5173; -516 1254 -885
-1491 -1666 447; -438 491 -463
333 -2169 -8260; 230 996 -367
-1664 -3962 -5705; -19 783 -547
-1222 -1378 -1215; 189 204 -273
-179 -1729 -6576; 669 491 -165
-1035 -3328 -4901; 574 345 -331
-1293 -1213 -1480; 653 -64 -141
-643 -1400 -4712; 872 120 -37
-1007 -2959 -3755; 496 48 -192
-1235 -1211 -1441; 91 -218 -76
-1152 -1020 -3728; 107 -74 11
-1162 -2404 -3273; 60 -76 -131
-1505 -1170 -1857; -19 -229 -85
-1016 -841 -3101; 324 -117 -19
-1209 -1980 -2804; 520 -81 -135
-1281 -1236 -1858; 316 -154 -140
-1219 -903 -2621; 249 -58 -105
-1237 -1799 -2499; 55 -9 -203
-1271 -1358 -1959; -315 -31 -229
-1274 -1004 -2564; -506 52 -212
-1252 -1797 -2716; -657 118 -291
-1312 -1562 -2593; -758 126 -318
-1239 -1362 -3042; -552 197 -299
-1223 -1975 -2987; -339 253 -346
-1090 -1699 -2854; -375 268 -365
-1199 -1427 -3077; -438 320 -354
-1143 -1804 -3201; -538 362 -392
-962 -1661 -3156; -647 371 -410
-877 -1518 -3338; -639 403 -398
-892 -1713 -3448; -552 430 -431
-746 -1627 -3557; -501 438 -416
-824 -1846 -3681; -511 449 -432
-783 -1832 -3728; -648 437 -432
-901 -1741 -3879; -736 430 -412
-797 -1870 -4001; -704 423 -409
-770 -1902 -4030; -634 401 -400
-676 -1787 -4018; -482 380 -374
-713 -1838 -4094; -342 362 -364
-583 -1831 -3979; -250 336 -351
-546 -1712 -3883; -219 311 -328
-552 -1710 -3846; -245 287 -317
-606 -1669 -3732; -263 262 -305
-561 -1607 -3648; -251 235 -285
-561 -1569 -3645; -271 213 -274
-430 -1558 -3589; -301 192 -263
-396 -1505 -3614; -261 171 -247
-419 -1491 -3613; -117 151 -232
-415 -1483 -3550; 79 126 -217
-371 -1475 -3450; 242 102 -199
-400 -1473 -3348; 357 75 -181
-479 -1414 -3186; 413 47 -163
-512 -1448 -3167; 414 18 -139
-533 -1499 -3101; 459 -11 -113
-493 -1557 -3000; 685 -43 -81
-453 -1566 -2931; 1019 -75 -39
-580 -1650 -2840; 1358 -109 7
-750 -1510 -2765; 1683 -150 63
-1000 -1627 -2667; 2036 -204 135
-1272 -1796 -2473; 2442 -270 224
-1744 -1832 -2031; 2633 -359 346
-2003 -1756 -1627; 2000 -487 481
-1511 -1443 -1880; 339 -659 613
-842 -1319 -3350; -1219 -861 736
-947 -1830 -4185; -1556 -1138 876
-1317 -2479 -4455; -1119 -1488 1041
-1332 -2802 -5979; -967 -1860 1215
-939 -3579 -6999; -872 -2309 1381
-950 -3826 -8036; -469 -2794 1573
-838 -3725 -9079; 137 -3263 1788
-595 -3955 -8786; 879 -3764 1989
-242 -3621 -8477; 1668 -4199 2221
159 -3406 -7546; 2402 -4523 2478
-5410 -3698 -4387; 2871 -4770 2721
-4338 28905 32764; 1847 -5607 3360
6107 -5467 8971; 2625 -2266 1050
2326 10407 9593; 182 4660 -3620
-3056 6488 -19509; -6969 5021 -3367
-14643 11203 22243; -4614 67 -266
-2473 -20853 -7804; 1114 1259 -1027
