1780 -542 -3530; 19 -67 -15
1176 -3643 -4060; 1980 -189 -1214
1155 -3627 -3628; 1969 -288 -1612
908 -3082 -3734; 1729 -464 -2106
493 -2689 -4285; 1358 -617 -2499
649 -2230 -4404; 1148 -676 -2773
1179 -1397 -3140; 1076 -626 -2948
487 -1269 -3322; 342 -504 -2986
702 -1352 -3231; 283 -519 -2917
685 -1340 -3089; 474 -556 -2843
556 -1168 -3461; 674 -568 -2838
580 -789 -3391; 777 -492 -2861
470 -505 -3762; 736 -403 -2882
634 -1 -3826; 631 -263 -2926
458 694 -3566; 483 -60 -2960
502 1124 -2954; 511 80 -2892
564 1279 -2455; 532 87 -2718
642 1262 -2688; 518 -102 -2472
856 1276 -3470; 631 -336 -2243
708 1363 -3918; 1069 -458 -2005
913 1269 -3393; 1290 -346 -1810
766 1285 -3384; 353 191 -1733
360 1677 -1906; 166 628 -1673
-458 1829 -1493; 749 550 -1635
-483 2630 -2157; 589 151 -1526
-251 2019 -2885; 108 -136 -1110
-36 2268 -3203; 378 -276 -839
-22 3115 -3589; 695 -376 -715
-567 3579 -4083; 1123 -442 -467
-848 3377 -4178; 1412 -351 -93
-1312 3279 -3396; 1462 -63 230
-1673 3337 -2989; 1323 77 419
-1933 3217 -3573; 1070 -125 584
-2125 3304 -4962; 915 -504 713
-2278 3556 -6017; 700 -760 796
-2255 4052 -7268; 363 -777 867
-2129 4876 -7803; 194 -513 951
-2487 5614 -8126; 194 -108 1167
-2347 5791 -7815; 273 302 1555
-2764 5414 -7937; -153 689 2043
-2722 5391 -7584; -475 1000 2477
-3435 5529 -6990; -723 1271 2809
-3666 4927 -7452; -1302 1383 3171
-3710 4301 -8205; -1937 1402 3561
-3897 4130 -8641; -2229 1523 3830
-4033 4058 -8521; -2315 1753 4066
-4110 4092 -8300; -2382 1996 4351
-4306 4232 -8168; -2242 2144 4662
-4548 4177 -8050; -2116 2245 5036
-4905 4116 -7468; -1961 2363 5510
-5543 3854 -6968; -1725 2432 6000
-6059 3487 -6946; -1676 2417 6503
-6640 2186 -7827; -1651 2340 7080
-7282 296 -8354; -1672 2442 7680
-8043 -1718 -8018; -1785 2867 8115
-8563 -2738 -6534; -1843 3494 8330
-9005 -5406 -5172; -1932 4042 8512
-8674 -7291 -3260; -1878 4238 8117
-7984 -6298 -2517; -1933 3889 7204
-7633 -3398 -3082; -1701 3172 6344
-7932 -2760 -5048; -1683 2458 6209
-8341 -4998 -6334; -1881 2160 6725
-8326 -8467 -6885; -2023 2280 7206
-7975 -11635 -6400; -2214 2653 7295
-7543 -13635 -5167; -2329 3053 6892
-6705 -14459 -3153; -2375 3463 6126
-5546 -13294 -1277; -2338 3696 5114
-4124 -10796 877; -2092 3508 4105
-2983 -7810 1214; -1579 2679 3299
-2099 -6391 18; -1253 1693 3021
-1556 -6552 -914; -930 1170 3071
-1185 -7052 -638; -826 1174 3037
-826 -7404 -107; -796 1288 2832
-478 -7437 -18; -701 1163 2547
20 -6984 -247; -550 890 2239
342 -6359 -329; -197 592 1986
550 -6116 -637; 159 350 1838
547 -6273 -385; 270 189 1711
633 -6514 -1087; 99 61 1469
704 -7061 -1280; -69 -14 1124
927 -6433 -1389; -152 -25 533
1105 -4704 -1824; -394 -130 -145
1402 -3012 -2369; -532 -241 -566
1583 -2160 -2513; -401 -268 -595
1599 -1762 -2557; -32 -288 -385
1553 -1673 -2569; 290 -338 -141
1471 -1717 -2354; 441 -354 62
1319 -1968 -2257; 384 -361 199
1365 -2414 -2404; 110 -388 266
1251 -2641 -2625; -162 -391 255
1254 -2479 -2650; -131 -351 176
1349 -2570 -2853; -182 -307 171
1352 -2505 -2886; 46 -285 231
1446 -2567 -2939; 338 -260 341
1442 -2509 -2693; 716 -227 472
1419 -2554 -2454; 1053 -220 596
1323 -2939 -2330; 1182 -237 709
1347 -3178 -2377; 1168 -250 737
1335 -3200 -2260; 1061 -240 656
1302 -3174 -2316; 803 -229 538
1307 -3092 -2271; 533 -223 445
1361 -3013 -2199; 343 -225 384
1313 -3239 -2342; 163 -256 372
1342 -3435 -2308; 95 -290 361
1253 -3502 -2409; -58 -301 296
1323 -3327 -2519; -231 -295 196
1226 -3187 -2534; -254 -268 132
1246 -3163 -2507; -150 -248 117
1213 -3063 -2443; -37 -242 110
1182 -3054 -2369; 92 -247 107
1179 -3032 -2216; 170 -271 106
1199 -3028 -2116; 285 -338 103
1252 -3034 -2526; 294 -455 100
1270 -2864 -2756; 337 -519 76
1312 -2763 -2765; 344 -481 66
1362 -2839 -2725; 400 -422 98
1344 -2954 -2833; 486 -403 134
1377 -2984 -2957; 604 -382 140
1308 -2939 -2929; 613 -329 124
1302 -2880 -2819; 536 -226 94
1287 -2702 -2663; 388 -131 75
1242 -2699 -2663; 242 -83 101
1241 -2758 -2495; 214 -51 157
1198 -2825 -2477; 214 -44 214
1202 -2933 -2515; 249 -62 263
1189 -2867 -2599; 362 -66 289
1257 -2810 -2621; 420 -26 304
1261 -2733 -2567; 504 31 335
1328 -2805 -2812; 710 60 394
1388 -2797 -2654; 961 93 469
1433 -2881 -2822; 1174 132 535
1350 -3086 -2944; 1276 204 610
1400 -3033 -2613; 1605 298 678
1316 -3166 -2483; 1600 363 758
1314 -2861 -1463; 1593 368 849
1121 -3122 -1850; 1399 198 1008
1186 -3528 -2456; 944 102 1178
1136 -4111 -3077; 449 149 1297
1237 -5321 -3427; 285 346 1438
1195 -6417 -3070; 467 617 1543
1000 -7151 -2501; 657 871 1502
936 -7701 -2142; 509 1023 1348
711 -8156 -1948; 385 1087 1185
558 -8660 -1832; 522 1126 1062
110 -9549 -1594; 781 1159 961
-265 -10625 -1536; 839 1228 817
-670 -10877 -1192; 1035 1315 500
-1108 -10971 -634; 1238 1396 107
-1557 -11278 236; 1390 1389 -224
-1887 -11366 1143; 1736 1205 -566
-2055 -10979 1375; 2096 774 -999
-2016 -10325 556; 2502 145 -1455
-1736 -9190 -963; 2708 -432 -1886
-1457 -8055 -2114; 2945 -769 -2183
-1313 -7366 -2578; 3213 -845 -2291
-1274 -7167 -2611; 3377 -806 -2288
-1227 -6960 -2651; 3411 -815 -2293
-1086 -6717 -2850; 3424 -896 -2318
-1043 -6650 -3164; 3474 -1022 -2323
-1029 -6445 -3522; 3498 -1113 -2356
-1071 -6094 -3631; 3422 -1086 -2436
-1281 -5667 -3290; 3369 -999 -2510
-1338 -5388 -2748; 3355 -924 -2555
-1371 -4935 -2414; 3494 -987 -2610
-1398 -4666 -2396; 3569 -1150 -2695
-1129 -4051 -2042; 3584 -1277 -2863
-1006 -3105 -2069; 3380 -1396 -3148
-776 -2095 -2640; 3045 -1539 -3404
-331 -1078 -3473; 2814 -1602 -3503
118 -393 -3855; 2779 -1568 -3381
414 -457 -3872; 2808 -1380 -3031
613 -1038 -3243; 2923 -1105 -2636
622 -1747 -1998; 3058 -856 -2386
677 -1622 -1383; 2958 -785 -2425
867 -1237 -1191; 2794 -849 -2631
1109 -713 -1445; 2532 -944 -2889
1368 610 -1926; 2236 -991 -3177
1613 1801 -2206; 2006 -942 -3381
1837 2072 -2544; 1890 -860 -3481
1993 2191 -2829; 1909 -763 -3624
2783 6974 -2772; 1900 -492 -3452
2596 3862 -1003; 1885 0 -2016
2607 1054 704; 2139 291 -940
2790 1502 1342; 2005 115 -965
2731 2046 1080; 1802 -261 -1208
2897 2249 322; 1566 -576 -1287
3144 3050 -263; 1313 -677 -1343
3355 3910 -779; 1004 -626 -1325
3507 4090 -788; 882 -476 -1062
3555 3515 -367; 966 -288 -617
3444 2581 246; 1073 -138 -182
3317 1791 724; 1060 -77 90
3256 1214 985; 916 -91 205
3248 776 957; 760 -153 233
3380 611 826; 580 -228 200
3390 586 829; 466 -233 164
3485 479 823; 378 -252 171
3609 188 596; 374 -290 244
3679 -112 343; 413 -303 315
3694 -390 350; 478 -243 364
3683 -490 738; 564 -142 380
3701 -639 1189; 562 -80 372
3759 -946 1231; 516 -123 347
3814 -1062 1023; 412 -218 257
3873 -828 827; 264 -265 116
3902 -509 773; 115 -253 7
3923 -476 740; 44 -229 7
3922 -774 632; 75 -206 86
3850 -942 657; 165 -150 141
3808 -1113 932; 221 -62 150
3828 -1082 1163; 244 0 122
3780 -993 1090; 235 -3 71
3824 -875 1178; 234 -29 35
3820 -860 1181; 262 -49 26
3773 -784 1356; 277 -61 14
3740 -711 1442; 300 -101 25
3819 -673 1149; 296 -160 44
3859 -430 973; 407 -206 76
3890 -503 880; 614 -213 173
3811 -892 1120; 648 -161 265
3754 -982 1079; 522 -110 236
3700 -750 1499; 492 -57 153
3693 -639 1454; 457 -44 103
3757 -433 1396; 401 -77 82
3797 -433 1231; 532 -119 126
3840 -589 1167; 696 -126 192
3860 -777 1191; 779 -106 241
3928 -855 1229; 818 -101 246
3979 -944 940; 880 -121 238
3909 -971 833; 1014 -116 234
4150 -991 732; 1110 -87 214
4025 -1021 878; 1220 -31 193
4046 -1118 1036; 1467 46 198
4034 -1260 1277; 1609 84 175
3841 -1114 1403; 1732 60 129
3932 -1066 1392; 1885 -22 71
3946 -1062 1313; 1837 -39 43
3968 -1036 1275; 1817 14 25
3985 -1165 1292; 1879 64 28
3991 -1240 1470; 2051 132 16
3938 -1661 1286; 2206 177 -47
3894 -1295 1664; 2479 200 -173
3841 -1105 1790; 2542 175 -326
3723 -653 1861; 2691 121 -462
3689 -286 1499; 2481 67 -569
3842 -10 1470; 2089 110 -595
3038 -60 1417; 1835 231 -503
3592 255 2239; 1850 341 -379
3627 68 2289; 1193 344 -338
3388 80 2294; 1008 262 -260
3565 -11 2224; 757 207 -190
3615 -132 2346; 526 174 -153
3545 -250 2350; 516 145 -130
3647 -215 2455; 482 108 -122
3692 -112 2337; 394 43 -143
3671 27 2084; 436 -27 -122
3651 80 1908; 525 -48 -73
3771 -124 2053; 528 -2 2
3740 -307 2361; 481 55 76
3698 -434 2606; 350 66 74
3708 -326 2719; 206 11 27
3762 -232 2441; 86 -106 -22
3818 -179 2021; 92 -235 -32
3865 -189 1623; 81 -268 -28
3861 -214 1676; 24 -188 -30
3810 -312 1887; -47 -78 -44
3766 -292 1898; -123 -32 -79
3789 -259 1884; -132 -20 -105
3732 -239 1924; -78 16 -106
3704 -46 2060; -60 57 -98
3648 52 2397; -54 91 -70
3540 -157 2577; -74 60 2
3488 -234 2542; -115 -30 38
3474 -339 2472; -188 -122 34
3477 -468 2433; -195 -187 37
3510 -393 2247; -108 -262 24
3388 -233 1967; -71 -296 -20
3317 -226 2176; -90 -225 -50
3215 -211 2466; -199 -101 -68
3106 -61 2821; -217 -40 -68
2987 -42 3097; -104 -20 -15
2798 -114 3475; 44 -26 48
2716 -63 3857; 233 -84 113
2660 -201 3992; 416 -211 175
2563 -488 4066; 502 -367 222
2501 -672 4097; 564 -513 227
2469 -655 3990; 618 -658 207
2393 -711 3899; 682 -776 212
2252 -886 3938; 700 -841 237
2109 -932 4197; 686 -867 218
1934 -823 4428; 671 -903 156
1808 -688 4695; 704 -1001 116
1574 -783 4697; 811 -1164 124
1393 -745 4513; 897 -1381 127
1259 -566 4108; 1021 -1613 132
1166 -561 3677; 1153 -1806 186
1040 -858 3398; 1272 -1923 285
997 -1001 3301; 1386 -2013 367
860 -914 3172; 1451 -2114 392
800 -980 3108; 1464 -2214 415
644 -1380 2611; 1561 -2376 499
458 -1615 1998; 1638 -2546 551
219 -1475 1815; 1653 -2597 526
21 -1078 2057; 1677 -2595 507
-230 -1075 2086; 1738 -2693 571
-317 -1450 1454; 1908 -2932 711
-313 -1735 657; 2116 -3213 847
-269 -1948 4; 2125 -3374 902
-202 -2178 -516; 2061 -3427 933
-78 -2131 -1356; 2087 -3521 1010
-131 -1858 -2140; 2093 -3568 1135
-173 -1806 -2096; 2057 -3385 1298
-368 -1780 -1279; 2070 -3133 1417
-463 -1941 -958; 1934 -3112 1466
-454 -2057 -1542; 1854 -3388 1553
-359 -1893 -2526; 1858 -3759 1752
-402 -1874 -3223; 1604 -3942 2057
-669 -4091 -3770; 1340 -3932 2262
-354 -3590 -4323; 1262 -3812 1921
-30 -2920 -4902; 1234 -3750 1666
52 -3183 -5545; 1524 -3788 1765
102 -3646 -6097; 1808 -3820 1958
68 -3755 -6356; 1779 -3642 2012
240 -3462 -6088; 1463 -3281 2001
573 -3095 -6235; 1164 -3078 2055
980 -3414 -7493; 1088 -3172 2243
1280 -4125 -9022; 1323 -3348 2465
1928 -4584 -10229; 1484 -3164 2532
1864 -5038 -10361; 1309 -2479 2480
2398 -5341 -8700; 1111 -1703 2338
2464 -5753 -8530; 490 -1266 2112
2687 -5940 -9956; 21 -1286 1845
2522 -5024 -10995; 552 -1241 1411
2563 -3639 -11203; 1256 -896 991
2429 -2498 -10558; 1429 -343 765
2377 -2083 -9500; 1102 199 754
2237 -2395 -9454; 432 494 868
1981 -2531 -9991; -109 629 916
2305 -1861 -11091; -568 912 812
1198 -1091 -11179; -299 1316 734
977 -578 -10469; 1 1849 796
304 -556 -9220; -418 2305 1019
359 -1297 -9334; -1279 2370 1295
328 -2723 -9740; -2480 2330 1621
535 -4180 -10437; -3316 2304 1839
579 -4967 -11522; -3376 2286 1805
91 -4976 -10943; -2594 2500 1587
-433 -4140 -9087; -2505 2984 1281
-681 -3105 -7464; -2909 3296 1059
-525 -2342 -6717; -3595 3184 1051
-408 -2135 -7868; -4280 2753 1236
-1047 -708 -10283; -4984 2308 1428
-1682 1106 -11278; -5582 2518 1723
-3274 626 -9544; -5759 3278 2529
-4853 -1788 -6959; -6136 3916 3573
-5275 -4691 -5443; -7511 4132 4281
-5284 -6552 -4375; -9094 3880 4438
-4576 -6918 -4788; -10268 3167 4072
-3639 -4777 -7019; -10603 2120 3451
-3504 -1976 -9109; -9522 1044 3080
-4012 -746 -11699; -8611 416 3359
-5087 -625 -13914; -7873 395 4150
-6035 -2699 -14967; -7125 849 5263
-7226 -7806 -14547; -6732 1454 6517
-7509 -12693 -13767; -7162 2052 7180
-6731 -14058 -12440; -7962 2610 6730
-5656 -12271 -10660; -8058 2987 5633
-5170 -9333 -9306; -7723 2982 4686
-4912 -6965 -7680; -7636 2891 4205
-5040 -6638 -5990; -7582 2945 4226
-4778 -7203 -4025; -7081 3016 4404
-3955 -7194 -2373; -6165 2893 4424
-3132 -5432 -1703; -5077 2372 4319
-2014 -4228 -1269; -4084 1726 4428
-623 -4193 -671; -3397 1187 4911
-169 -6951 -1221; -2929 765 5628
288 -11125 -2540; -2369 500 6262
198 -13583 -3493; -1240 411 6341
-287 -14913 -3400; -489 637 5718
-369 -15298 -934; -12 1172 4504
-238 -13422 1422; 145 1508 2781
605 -9236 2536; 75 1232 877
1363 -4656 1104; -118 400 -594
2163 -1514 -501; -141 -294 -1283
2880 -302 -1414; -146 -573 -1435
3353 444 -2174; -124 -658 -1491
3629 1050 -2676; -235 -666 -1497
3801 1028 -3012; -450 -587 -1266
3365 74 -3443; -828 -355 -801
3051 -985 -1928; -1185 121 -510
2522 -1049 -1217; -1668 514 -622
2439 -339 -342; -1989 730 -860
2488 345 769; -2147 722 -924
2657 166 637; -1871 285 -717
2918 184 -356; -1341 -277 -437
3326 215 -1551; -870 -677 -235
3532 -58 -2101; -329 -847 -6
3801 -143 -2530; 102 -861 145
3965 29 -2825; 301 -804 174
4031 158 -2871; 372 -712 190
3939 180 -2760; 339 -597 233
3734 -51 -2393; 277 -469 285
3588 -530 -2137; 106 -376 329
3505 -865 -2064; -30 -347 292
3477 -887 -2165; -86 -375 184
3527 -748 -2157; -78 -393 60
3598 -432 -2147; -43 -373 -28
3632 -154 -2222; -55 -348 -89
3675 13 -2238; -69 -323 -100
3683 118 -2231; -66 -312 -90
3680 -158 -2170; -24 -316 -62
3651 -433 -2165; -56 -331 -59
3587 -586 -2315; -92 -383 -132
3655 -427 -2404; -82 -425 -251
3811 -49 -2550; -49 -433 -348
3822 464 -2688; 105 -430 -370
3855 711 -2592; 313 -382 -295
3758 595 -2684; 430 -329 -132
3940 449 -2655; 464 -274 2
3596 280 -2734; 520 -218 103
3654 -95 -2521; 532 -172 195
3603 -437 -2363; 430 -117 219
3455 -350 -2196; 378 -130 153
3452 -137 -2109; 385 -160 84
3411 -41 -2192; 406 -216 74
3385 -52 -2244; 459 -255 108
3391 69 -2155; 540 -263 147
3405 420 -2003; 660 -269 182
3163 258 -2040; 715 -287 288
3270 -244 -1798; 724 -303 419
3228 -521 -1830; 751 -373 460
3316 -569 -2075; 810 -510 425
3333 -817 -2550; 727 -590 396
3388 -790 -2912; 576 -569 337
3354 -695 -2828; 502 -422 236
3310 -666 -2550; 352 -237 153
3270 -796 -2253; 255 -116 88
3277 -847 -2157; 95 -88 -2
3258 -603 -2258; -78 -124 -115
3280 -380 -2338; -95 -176 -175
3305 -189 -2303; 28 -201 -165
3270 -51 -2294; 91 -200 -117
3202 -115 -2322; 129 -192 -34
3133 -227 -2163; 264 -180 46
3074 -465 -1995; 387 -180 78
3105 -578 -2054; 341 -208 42
3075 -471 -2097; 368 -255 -49
3151 -303 -2276; 384 -291 -137
3133 -185 -2295; 447 -306 -198
3126 -233 -2327; 430 -286 -221
3203 -225 -2039; 598 -256 -209
3075 -137 -1928; 941 -311 -167
3092 -262 -2154; 966 -435 -94
3019 -570 -2257; 866 -522 6
2941 -1014 -2324; 812 -536 62
2817 -1341 -2483; 708 -496 30
2820 -1331 -2111; 681 -411 -91
2893 -1142 -1978; 508 -355 -249
3004 -709 -2164; 388 -375 -402
3041 -300 -2059; 674 -463 -460
3013 -471 -2420; 870 -549 -390
3122 -881 -2842; 354 -504 -317
3218 -720 -2719; -9 -380 -356
3352 -235 -2592; -156 -284 -408
3375 57 -2611; -281 -266 -347
3307 -113 -2843; -271 -291 -167
3243 -368 -2792; -125 -276 10
3168 -574 -2631; -59 -220 96
3159 -663 -2499; -141 -181 100
3202 -633 -2507; -356 -192 54
3333 -473 -2646; -446 -235 28
3443 -289 -2891; -367 -302 46
3581 -326 -2998; -239 -333 128
3725 -536 -3138; -69 -346 241
3896 -623 -3438; 24 -377 302
4076 -570 -3709; -4 -423 299
4202 -544 -4220; -146 -442 297
4143 -560 -4630; -275 -373 301
4077 -494 -4823; -431 -156 289
4002 -450 -4537; -522 200 290
3920 -163 -3818; -466 525 311
3781 -22 -3354; -410 676 379
3730 -230 -3046; -293 684 530
3691 -586 -3052; -101 621 684
3769 -939 -3265; -33 552 757
3854 -1041 -3764; -143 545 708
3780 -948 -4019; -179 642 580
3590 -980 -3774; -65 853 454
3317 -1086 -3277; -135 1099 337
2973 -1211 -2660; -319 1305 201
2500 -1420 -2161; -564 1443 86
2144 -1610 -1800; -809 1541 -28
1640 -1712 -1245; -889 1633 -136
1167 -1930 -486; -908 1697 -239
779 -1967 762; -759 1608 -473
419 -1319 1172; -737 1322 -793
-232 -771 1259; -601 988 -941
-819 -762 1560; -235 700 -896
-1499 -1139 2079; -3 524 -794
-1578 -1809 3007; 73 372 -761
-1390 -2792 4013; 119 169 -826
-1492 -3384 4921; 448 -192 -1009
-1986 -3690 4688; 1158 -973 -1252
-1934 -3888 3735; 1653 -2114 -1720
-1764 -2240 1435; 1873 -3245 -2415
-1309 -580 -940; 1597 -4049 -2731
-695 55 -3136; 1622 -4372 -2521
-303 -569 -4077; 1943 -4296 -1917
-15 -2250 -4520; 2295 -3954 -1205
302 -3786 -4497; 2680 -3505 -772
454 -4637 -4322; 3337 -3246 -620
581 -5042 -5508; 3911 -3239 -555
391 -5306 -6523; 3925 -3347 -455
32 -5433 -6731; 4354 -3123 -338
-322 -5213 -5668; 4649 -2546 -255
-248 -6045 -4556; 4557 -2044 -93
-120 -8090 -4590; 4855 -1973 199
-455 -9891 -4861; 5625 -2391 335
-611 -10574 -6833; 5481 -2834 58
-704 -9747 -7863; 4877 -2874 -523
-819 -8389 -7407; 4787 -2428 -963
-915 -8302 -4351; 5128 -1823 -981
-617 -9315 -2685; 5369 -1661 -808
-489 -10244 -2411; 5842 -2203 -738
393 -10781 -5174; 6283 -3260 -800
1221 -11175 -8533; 6595 -4275 -872
1677 -12143 -11312; 6711 -4676 -862
2063 -12903 -11107; 6797 -3961 -908
2211 -12788 -7245; 6675 -2685 -1150
2252 -12660 -3360; 6382 -1914 -1459
2392 -13281 -2095; 6339 -2280 -1580
1953 -14057 -4103; 6718 -4063 -1591
1547 -14939 -8398; 6753 -6020 -1797
894 -15829 -13596; 5862 -7188 -2370
884 -14196 -18289; 4969 -7132 -3419
999 -11003 -18353; 4389 -5549 -4565
965 -7913 -14670; 3702 -3423 -5431
872 -4810 -11373; 3158 -1974 -5941
920 -2115 -9871; 2994 -1544 -6087
1177 -571 -9726; 2858 -1488 -5912
1172 -45 -9628; 2497 -1199 -5586
1014 327 -8715; 2043 -616 -5304
668 1248 -7517; 1766 60 -5135
350 1811 -6079; 1621 747 -4992
111 2026 -3970; 1665 1471 -4807
-52 1712 -2190; 1628 2065 -4651
680 1589 -553; 1919 2313 -4476
453 3706 2039; 2494 2108 -3884
768 2796 2298; 2848 1278 -2609
874 1197 192; 3258 121 -1463
1066 85 -1347; 3586 -642 -774
1047 -1165 -3256; 3068 -892 -457
734 -1401 -3604; 2220 -648 -343
474 -1586 -2989; 1470 69 -427
301 -1284 -1320; 878 881 -759
47 -1060 1053; 736 1429 -1215
79 446 2613; 748 1314 -1710
160 1809 2314; 653 612 -1904
541 1817 1215; 695 -7 -1633
677 1209 50; 736 -316 -1144
736 389 -522; 1024 -403 -615
1266 -1407 -1301; 1252 -429 -166
1292 -1732 -790; 959 -36 -205
1418 -1144 872; 750 379 -538
1506 -253 1830; 718 455 -847
1671 520 1963; 680 164 -913
1872 707 1211; 467 -271 -773
2012 487 444; 326 -561 -525
2134 256 -496; 344 -651 -311
2527 297 -944; 431 -575 -153
2657 -129 -1039; 388 -325 35
2791 -747 -55; 394 73 212
2888 -1094 1026; 396 327 267
2918 -1070 1525; 330 305 181
3020 -855 1509; 215 93 55
3087 -642 964; 74 -145 -31
3180 -500 297; -81 -288 -66
3241 -352 -128; -112 -287 -54
3306 -268 -175; -99 -160 -8
3285 -350 195; -82 36 55
3316 -454 844; -151 210 85
3332 -438 1548; -220 286 76
3419 -338 1832; -249 205 50
3465 -204 1673; -295 1 27
3530 -265 1360; -366 -185 43
3624 -472 1121; -452 -275 81
3668 -563 913; -507 -309 97
3777 -361 761; -490 -308 96
3870 -273 781; -430 -270 148
